source,stocklong,stockid,dietid,region,area,location,pred_type,class,order,family,species,comm_name,reference,n_units,n_yr,diet_yn,diet_prop,name,nprey,prey1,prey1_prop,nprey_impt,prey_impt,prey_impt_prop,prey_prop,prey1_stocks,prey1_stocks_notes,prey_add_stocks
Free et al. (in prep),Atlantic puffin Hernyken Island (number of occupied burrows),NA,Atlantic puffin Europe,Europe,Norwegian Sea,Hernyken Island,birds,Aves,Charadriiformes,Alcidae,Fratercula arctica,Atlantic puffin,Anker-Nilssen and Aarvak 2006 Tabell 3.1,number of occupied burrows,23,Y,1.377794872,Atlantic puffin (Fratercula arctica),4,Lesser sand-eel,0.818461538,2,"Atlantic herring (spring spawning), Lesser sand-eel",1.260461538,1.377794872,no overlap,"In Norwegian Sea, too far north of North Sea",no overlap
Free et al. (in prep),"Black-legged kittiwake Isle of May (nests, completed)",NA,Black-legged kittiwake Europe,Europe,Scotland,Isle of May,birds,Aves,Ciconiiformes,Laridae,Rissa tridactyla,Black-legged kittiwake,"Frederiksen et al 2004 Figure 1, Frederiksen et al 2004 Figure 3, Frederiksen et al 2004 Figure 5","nests, completed",28,Y,1.604325,Black-legged kittiwake (Rissa tridactyla),3,Lesser sand-eel,0.8315,3,"Atlantic herring (spring spawning), Lesser sand-eel, Sandeel spp.",1.604325,1.604325,SANDEELSA4,,HERRNORSS
Free et al. (in prep),Common guillemot All Shetland Islands colonies (index relative to 1978),NA,Common guillemot Europe,Europe,Shetland Islands,All Shetland Islands colonies,birds,Aves,Charadriiformes,Alcidae,Uria aalge,Common guillemot,Dunnet and Heubeck 1995 Figure 8,index relative to 1978,18,Y,1.624488889,Common guillemot (Uria aalge),4,European sprat,0.6865,3,"European sprat, Lesser sand-eel, Sandeel spp.",1.592488889,1.624488889,SPRATNS,,SANDEELSA7
Free et al. (in prep),Arctic tern Foula (occupied territory),NA,Arctic tern Europe,Europe,Shetland Islands,Foula,birds,Aves,Ciconiiformes,Laridae,Sterna paradisaea,Arctic tern,JNCC Data,occupied territory,38,Y,1,Arctic tern (Sterna paradisaea),1,Lesser sand-eel,1,1,Lesser sand-eel,1,1,SANDEELSA7,,
Free et al. (in prep),Guanay cormorant 6-14°S (number of adults),NA,Guanay cormorant Humboldt,Humboldt,Peru,6-14°S,birds,Aves,Ciconiiformes,Phalacrocoracidae,Phalacrocorax bougainvillii,Guanay cormorant,Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3,number of adults,30,Y,0.335,Guanay cormorant (Phalacrocorax bougainvillii),1,Peruvian anchoveta,0.335,1,Peruvian anchoveta,0.335,0.335,PANCHPERUNC,,
Free et al. (in prep),Peruvian booby 6-14°S (number of adults),NA,Peruvian booby Humboldt,Humboldt,Peru,6-14°S,birds,Aves,Ciconiiformes,Sulidae,Sula variegata,Peruvian booby,Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 4,number of adults,30,Y,0.795671429,Peruvian booby (Sula variegata),1,Peruvian anchoveta,0.795671429,1,Peruvian anchoveta,0.795671429,0.795671429,PANCHPERUNC,,
Free et al. (in prep),Peruvian pelican 6-14°S (number of adults),NA,Peruvian pelican Humboldt,Humboldt,Peru,6-14°S,birds,Aves,Ciconiiformes,Pelecanidae,Pelecanus thagus,Peruvian pelican,Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 5,number of adults,30,Y,0.8,Peruvian pelican (Pelecanus thagus),1,Peruvian anchoveta,0.8,1,Peruvian anchoveta,0.8,0.8,PANCHPERUNC,,
Free et al. (in prep),Guanay cormorant Peru (number of adults),NA,Guanay cormorant Humboldt,Humboldt,Peru,Peru,birds,Aves,Ciconiiformes,Phalacrocoracidae,Phalacrocorax bougainvillii,Guanay cormorant,IMARPE.Renato,number of adults,64,Y,0.335,Guanay cormorant (Phalacrocorax bougainvillii),1,Peruvian anchoveta,0.335,1,Peruvian anchoveta,0.335,0.335,PANCHPERUNC,,
Free et al. (in prep),Peruvian booby Peru (number of adults),NA,Peruvian booby Humboldt,Humboldt,Peru,Peru,birds,Aves,Ciconiiformes,Sulidae,Sula variegata,Peruvian booby,IMARPE.Renato,number of adults,64,Y,0.795671429,Peruvian booby (Sula variegata),1,Peruvian anchoveta,0.795671429,1,Peruvian anchoveta,0.795671429,0.795671429,PANCHPERUNC,,
Free et al. (in prep),Peruvian pelican Peru (number of adults),NA,Peruvian pelican Humboldt,Humboldt,Peru,Peru,birds,Aves,Ciconiiformes,Pelecanidae,Pelecanus thagus,Peruvian pelican,IMARPE.Renato,number of adults,64,Y,0.8,Peruvian pelican (Pelecanus thagus),1,Peruvian anchoveta,0.8,1,Peruvian anchoveta,0.8,0.8,PANCHPERUNC,,
Free et al. (in prep),Guanay cormorant Peruvian Sea (number of individuals),NA,Guanay cormorant Humboldt,Humboldt,Peru,Peruvian Sea,birds,Aves,Ciconiiformes,Phalacrocoracidae,Phalacrocorax bougainvillii,Guanay cormorant,Jahncke 1998 Figuera 1,number of individuals,44,Y,0.335,Guanay cormorant (Phalacrocorax bougainvillii),1,Peruvian anchoveta,0.335,1,Peruvian anchoveta,0.335,0.335,PANCHPERUNC,,
Free et al. (in prep),Peruvian booby Peruvian Sea (number of individuals),NA,Peruvian booby Humboldt,Humboldt,Peru,Peruvian Sea,birds,Aves,Ciconiiformes,Sulidae,Sula variegata,Peruvian booby,Jahncke 1998 Figuera 1,number of individuals,44,Y,0.795671429,Peruvian booby (Sula variegata),1,Peruvian anchoveta,0.795671429,1,Peruvian anchoveta,0.795671429,0.795671429,PANCHPERUNC,,
Free et al. (in prep),Peruvian pelican Peruvian Sea (number of individuals),NA,Peruvian pelican Humboldt,Humboldt,Peru,Peruvian Sea,birds,Aves,Ciconiiformes,Pelecanidae,Pelecanus thagus,Peruvian pelican,Jahncke 1998 Figuera 1,number of individuals,44,Y,0.8,Peruvian pelican (Pelecanus thagus),1,Peruvian anchoveta,0.8,1,Peruvian anchoveta,0.8,0.8,PANCHPERUNC,,
Cury et al. (2011),Pigeon guillemot Farallon (breeding adults),NA,Pigeon guillemot California Current,California Current,California Current,Farallon,birds,Aves,Charadriiformes,Alcidae,Cepphus columba,Pigeon guillemot,Warzybok et al 2009,breeding adults,30,Y,0.2,Pigeon guillemot (Cepphus columba),1,Rockfish spp.,0.2,1,Rockfish spp.,0.2,0.2,ROCKSEFI3,,
Cury et al. (2011),Common guillemot Farallon (breeding adults),NA,Common guillemot California Current,California Current,California Current,Farallon,birds,Aves,Charadriiformes,Alcidae,Uria aalge,Common guillemot,Warzybok et al 2014,breeding adults,26,Y,0.43,Common guillemot (Uria aalge),1,Rockfish spp.,0.43,1,Rockfish spp.,0.43,0.43,ROCKSEFI3,,
Cury et al. (2011),Atlantic puffin Hernyken (apparently occupied burrows),NA,Atlantic puffin Norwegian Sea,Norwegian Sea,Norwegian Sea,Hernyken,birds,Aves,Charadriiformes,Alcidae,Fratercula arctica,Atlantic puffin,Anker-Nilssen and Aarvak 2006,apparently occupied burrows,23,Y,0.56,Atlantic puffin (Fratercula arctica),1,Herring,0.56,1,Herring,0.56,0.56,ATLHERRROST,,
Cury et al. (2011),Red-billed gull Kaikoura (breeders),NA,Red-billed gull New Zealand,New Zealand,New Zealand,Kaikoura,birds,Aves,Charadriiformes,Laridae,Larus novaehollandiae scopulinus,Red-billed gull,Mills et al 2008,breeders,22,Y,0.84,Red-billed gull (Larus novaehollandiae scopulinus),1,Krill,0.84,1,Krill,0.84,0.84,no overlap,primary prey isn't a forage fish,
Cury et al. (2011),Gentoo penguin S Georgia (breeding pairs),NA,Gentoo penguin Scotia Sea,Scotia Sea,Scotia Sea,S Georgia,birds,Aves,Sphenisciformes,Spheniscidae,Pygoscelis papua,Gentoo penguin,Boyd and Murray 2001,breeding pairs,21,Y,0.525,Gentoo penguin (Pygoscelis papua),1,Krill,0.525,1,Krill,0.525,0.525,no overlap,primary prey isn't a forage fish,
Cury et al. (2011),African penguin W Cape (pairs),NA,African penguin Benguela Current,Benguela Current,Benguela Current,W Cape,birds,Aves,Sphenisciformes,Spheniscidae,Spheniscus demersus,African penguin,Crawford et al 2008,pairs,20,Y,0.86,African penguin (Spheniscus demersus),1,Sardine/anchovy,0.86,1,Sardine/anchovy,0.86,0.86,SARDSA,,
Cury et al. (2011),Cape gannet W Cape (pairs),NA,Cape gannet Benguela Current,Benguela Current,Benguela Current,W Cape,birds,Aves,Suliformes,Sulidae,Morus capensis,Cape gannet,Crawford et al 2008,pairs,18,Y,0.61,Cape gannet (Morus capensis),1,Sardine/anchovy,0.61,1,Sardine/anchovy,0.61,0.61,SARDSA,,
Cury et al. (2011),Cape gannet E Cape (pairs),NA,Cape gannet Benguela Current,Benguela Current,Benguela Current,E Cape,birds,Aves,Suliformes,Sulidae,Morus capensis,Cape gannet,Crawford et al 2008,pairs,15,Y,0.61,Cape gannet (Morus capensis),1,Sardine/anchovy,0.61,1,Sardine/anchovy,0.61,0.61,SARDSA,,
Towell et al. (2016),Northern fur seal St. George,NA,Northern fur seal Pribolof Islands,Bering Sea,Pribolof Islands,St. George,mammals,Mammalia,Carnivora,Otariidae,Callorhinus ursinus,Northern fur seal,Towell et al 2016 Figure 2,# of males (harem males + idle males),41,Y,0.930191258,Northern fur seal (Callorhinus ursinus),2,Walleye pollock,0.573704203,2,"Armhook squid, Walleye pollock",0.930191258,0.930191258,WPOLLEBS,,
Towell et al. (2016),Northern fur seal St. Paul,NA,Northern fur seal Pribolof Islands,Bering Sea,Pribolof Islands,St. Paul,mammals,Mammalia,Carnivora,Otariidae,Callorhinus ursinus,Northern fur seal,Towell et al 2016 Figure 2,# of males (harem males + idle males),42,Y,0.930191258,Northern fur seal (Callorhinus ursinus),2,Walleye pollock,0.573704203,2,"Armhook squid, Walleye pollock",0.930191258,0.930191258,WPOLLEBS,,
