"pred_type","pred_comm_name","pred_species","ocean","region","area","reference","prey_species","prey_comm_name","n_data","years","season","year1","month1","month_name1","year2","month2","month_name2","method_length","method_diet","comment","n_samples","pred_stage1","pred_stage2","prey_mm_min","prey_mm_max","prey_mm_range","prey_mm_med","prey_mm_avg","prey_mm_sd","prop_diet_by_wt","prop_diet_by_wt_type","prop_diet_by_n","prop_diet_by_energy","prop_diet_by_occur","prop_diet_by_occur_sd","prop_diet_by_index"
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","San Nicolas Island","Lowry and Carreta 1999","Sardinops sagax","Pacific sardine","YES","1981-1995",NA,1981,NA,NA,1995,NA,NA,NA,"scat and spewing samples",NA,2980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","Sta Barbara Island","Lowry and Carreta 1999","Sardinops sagax","Pacific sardine","YES","1981-1995",NA,1981,NA,NA,1995,NA,NA,NA,"scat and spewing samples",NA,736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,NA,NA
"bony fishes","Coho salmon","Oncorhynchus kisutch","NE Pacific","OR/WA","OR/WA","Emmet et al. 2005","Sardinops sagax","Pacific sardine","YES","1999-2002","Sep-Jun",1999,9,"Sep",2002,6,"Jun","otolith length_fork length","stomach sampling",NA,NA,"juvenile","juvenile",27,86,"27-86",NA,NA,NA,NA,NA,NA,NA,44.4,NA,NA
"bony fishes","Coho salmon","Oncorhynchus kisutch","NE Pacific","CA/OR","CA/OR","Baldwin et al. 2008","Sardinops sagax","Pacific sardine","YES","2000-","Aug",2000,8,"Aug",NA,8,"Aug",NA,"stomach sampling","Prey was adult",16,"adult","sub-adult",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,10.3,NA,NA
"bony fishes","Coho salmon","Oncorhynchus kisutch","NE Pacific","OR/WA","OR/WA","Emmet et al. 2005","Sardinops sagax","Pacific sardine","YES","1999-2002","Sep-Jun",1999,9,"Sep",2002,6,"Jun","otolith length_fork length","stomach sampling",NA,NA,"adult","adult",190,205,"190-205",NA,NA,NA,NA,NA,NA,NA,66.6,NA,NA
"bony fishes","Coho salmon","Oncorhynchus kisutch","NE Pacific","Washington","West Port","Silliman 1941","Sardinops sagax","Pacific sardine","YES","1938","Aug",1938,8,"Aug",1938,8,"Aug",NA,"stomach sampling",NA,56,"adult","adult",NA,NA,NA,NA,NA,NA,26.8,NA,NA,NA,NA,NA,NA
"bony fishes","Coho salmon","Oncorhynchus kisutch","NE Pacific","Washington","West Port","Silliman 1941","Sardinops sagax","Pacific sardine","YES","1938","Aug",1938,8,"Aug",1938,8,"Aug",NA,"stomach sampling",NA,25,"adult","adult",NA,NA,NA,NA,NA,NA,21.5,NA,NA,NA,NA,NA,NA
"bony fishes","Coho salmon","Oncorhynchus kisutch","NE Pacific","Washington","West Port","Silliman 1941","Sardinops sagax","Pacific sardine","YES","1938","Sep",1938,9,"Sep",1938,9,"Sep",NA,"stomach sampling",NA,67,"adult","adult",NA,NA,NA,NA,NA,NA,39.2,NA,NA,NA,NA,NA,NA
"bony fishes","Coho salmon","Oncorhynchus kisutch","NE Pacific","Washington","West Port","Silliman 1941","Sardinops sagax","Pacific sardine","YES","1938","Oct",1938,10,"Oct",1938,10,"Oct",NA,"stomach sampling",NA,169,"adult","adult",NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA
"bony fishes","Coho salmon","Oncorhynchus kisutch","NE Pacific","OR/WA","OR/WA","Emmet et al. 2005","Sardinops sagax","Pacific sardine","YES","1999-2002","Sep-Jun",1999,9,"Sep",2002,6,"Jun","otolith length_fork length","stomach sampling",NA,NA,"juvenile","juvenile",20,56,"20-56",NA,NA,NA,NA,NA,NA,NA,57.9,NA,NA
"bony fishes","Coho salmon","Oncorhynchus kisutch","NE Pacific","OR/WA","OR/WA","Emmet et al. 2005","Sardinops sagax","Pacific sardine","YES","1999-2002","Sep-Jun",1999,9,"Sep",2002,6,"Jun","otolith length_fork length","stomach sampling",NA,NA,"adult","adult",125,250,"125-250",NA,NA,NA,NA,NA,NA,NA,100,NA,NA
"bony fishes","Coho salmon","Oncorhynchus kisutch","NE Pacific","Washington","West Port","Silliman 1941","Sardinops sagax","Pacific sardine","YES","1938","Apr",1938,4,"Apr",1938,4,"Apr",NA,"stomach sampling",NA,75,"adult","adult",NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA
"bony fishes","Coho salmon","Oncorhynchus kisutch","NE Pacific","Washington","West Port","Silliman 1941","Sardinops sagax","Pacific sardine","YES","1938","Jul",1938,7,"Jul",1938,7,"Jul",NA,"stomach sampling",NA,59,"adult","adult",NA,NA,NA,NA,NA,NA,14.9,NA,NA,NA,NA,NA,NA
"bony fishes","Coho salmon","Oncorhynchus kisutch","NE Pacific","Washington","West Port","Silliman 1941","Sardinops sagax","Pacific sardine","YES","1938","Aug",1938,8,"Aug",1938,8,"Aug",NA,"stomach sampling",NA,32,"adult","adult",NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA
"bony fishes","Coho salmon","Oncorhynchus kisutch","NE Pacific","Washington","West Port","Silliman 1941","Sardinops sagax","Pacific sardine","YES","1938","Aug",1938,8,"Aug",1938,8,"Aug",NA,"stomach sampling",NA,75,"adult","adult",NA,NA,NA,NA,NA,NA,23.52,NA,NA,NA,NA,NA,NA
"bony fishes","Coho salmon","Oncorhynchus kisutch","NE Pacific","Washington","West Port","Silliman 1941","Sardinops sagax","Pacific sardine","YES","1938","Sep",1938,9,"Sep",1938,9,"Sep",NA,"stomach sampling",NA,47,"adult","adult",NA,NA,NA,NA,NA,NA,19.75,NA,NA,NA,NA,NA,NA
"bony fishes","Coho salmon","Oncorhynchus kisutch","NE Pacific","Washington","Neah Bay","Silliman 1941","Sardinops sagax","Pacific sardine","YES","1938","Aug",1938,8,"Aug",1938,8,"Aug",NA,"stomach sampling",NA,21,"adult","adult",NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA,NA
"bony fishes","Pacific hake","Merluccius productus","NE Pacific","OR/WA","OR/WA","Emmet et al. 2005","Sardinops sagax","Pacific sardine","YES","1999-2002","Sep-Jun",1999,9,"Sep",2002,6,"Jun","otolith length_fork length","stomach sampling",NA,NA,NA,NA,190,215,"190-215",NA,NA,NA,NA,NA,NA,NA,75,NA,NA
"bony fishes","Pacific hake","Merluccius productus","NE Pacific","OR/WA","OR/WA","Emmett and Krutzikowsky 2008","Sardinops sagax","Pacific sardine","YES","1998","Apr-Aug",1998,4,"Apr",1998,8,"Aug",NA,"stomach sampling",NA,1136,NA,"stlength150-680mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA
"bony fishes","Pacific hake","Merluccius productus","NE Pacific","OR/WA","Columbia River","Emmett and Krutzikowsky 2008","Sardinops sagax","Pacific sardine","YES","2002","Apr-Aug",2002,4,"Apr",2002,8,"Aug",NA,"stomach sampling",NA,229,NA,"stlength350-680mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA
"bony fishes","Pacific hake","Merluccius productus","NE Pacific","OR/WA","Columbia River","Emmett and Krutzikowsky 2008","Sardinops sagax","Pacific sardine","YES","2003","Apr-Aug",2003,4,"Apr",2003,8,"Aug",NA,"stomach sampling",NA,813,NA,"stlength320-720mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA
"bony fishes","Jack mackerel","Trachurus symmetricus","NE Pacific","OR/WA","Columbia River","Emmett and Krutzikowsky 2008","Sardinops sagax","Pacific sardine","YES","2004","Apr-Aug",2004,4,"Apr",2004,8,"Aug",NA,"stomach sampling",NA,76,NA,"stlength230-580mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,NA,NA
"bony fishes","Jack mackerel","Trachurus symmetricus","NE Pacific","OR/WA","OR/WA","Emmet et al. 2005","Sardinops sagax","Pacific sardine","YES","1999-2002","Sep-Jun",1999,9,"Sep",2002,6,"Jun","otolith length_fork length","stomach sampling",NA,NA,NA,NA,99,145,"99-145",NA,NA,NA,NA,NA,NA,NA,69.2,NA,NA
"cartilaginous fishes","Blue shark","Prionace glauca","NE Pacific","OR/WA","OR/WA","Emmet et al. 2005","Sardinops sagax","Pacific sardine","YES","1999-2002","Sep-Jun",1999,9,"Sep",2002,6,"Jun","otolith length_fork length","stomach sampling","Only 1 stomach sample",NA,NA,NA,NA,NA,NA,NA,210,NA,NA,NA,NA,NA,100,NA,NA
"cartilaginous fishes","Blue shark","Prionace glauca","NE Pacific","Mexico","Baja California","Markaida and Sosa 2010","Sardinops sagax","Pacific sardine","YES","1995-1997","Apr-May",1995,4,"Apr",1997,5,"May","standard length","stomach sampling",NA,893,NA,NA,65,172,"65-172",NA,118.5,75.6,1.86,NA,0.88,NA,3.14,NA,NA
"cartilaginous fishes","Blue shark","Prionace glauca","NE Pacific","Mexico","Baja California","Markaida and Sosa 2010","Sardinops sagax","Pacific sardine","YES","1995","May",1995,5,"May",1995,5,"May",NA,"stomach sampling",NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
"cartilaginous fishes","Blue shark","Prionace glauca","NE Pacific","Mexico","Baja California","Markaida and Sosa 2010","Sardinops sagax","Pacific sardine","YES","1995","Sep",1995,9,"Sep",1995,9,"Sep",NA,"stomach sampling",NA,39,NA,"totallengthmean170.4cm_sd27.9cm",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
"cartilaginous fishes","Blue shark","Prionace glauca","NE Pacific","Mexico","Baja California","Markaida and Sosa 2010","Sardinops sagax","Pacific sardine","YES","1996","Feb",1996,2,"Feb",1996,2,"Feb",NA,"stomach sampling",NA,47,NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA,2.5,NA,NA,NA,NA
"cartilaginous fishes","Blue shark","Prionace glauca","NE Pacific","Mexico","Baja California","Markaida and Sosa 2010","Sardinops sagax","Pacific sardine","YES","1996","Mar",1996,3,"Mar",1996,3,"Mar",NA,"stomach sampling",NA,19,NA,NA,NA,NA,NA,NA,NA,NA,9.3,NA,4,NA,NA,NA,NA
"cartilaginous fishes","Blue shark","Prionace glauca","NE Pacific","Mexico","Baja California","Markaida and Sosa 2010","Sardinops sagax","Pacific sardine","YES","1996","Mar",1996,3,"Mar",1996,3,"Mar",NA,"stomach sampling",NA,65,NA,"totallengthmean115.1cm_sd20.2cm",NA,NA,NA,NA,NA,NA,29.5,NA,2,NA,NA,NA,NA
"cartilaginous fishes","Blue shark","Prionace glauca","NE Pacific","CA/OR/WA","CA/OR/WA","Preti et al. 2012","Sardinops sagax","Pacific sardine","YES","2002-2008",NA,2002,NA,NA,2008,NA,NA,NA,"stomach sampling",NA,114,NA,"totallengthrange70-250cm",NA,NA,NA,NA,NA,NA,0.51,NA,0.33,NA,0.88,NA,NA
"cartilaginous fishes","Soupfin shark","Galeorhinus galeus","NE Pacific","OR/WA","OR/WA","Emmet et al. 2005","Sardinops sagax","Pacific sardine","NO","1999-2002","Sep-Jun",1999,9,"Sep",2002,6,"Jun",NA,"stomach sampling",NA,NA,NA,NA,200,240,"200-240",NA,NA,NA,NA,NA,NA,NA,15.4,NA,NA
"cartilaginous fishes","Common thresher shark","Alopias vulpinus","NE Pacific","CA/OR","CA/OR","Preti et al. 2004","Sardinops sagax","Pacific sardine","YES","1998-1999","Aug-Jan",1998,8,"Aug",1999,1,"Jan",NA,"stomach sampling","Warm-water period",107,NA,NA,NA,NA,NA,NA,NA,NA,3.97,NA,4.46,NA,7.48,NA,NA
"cartilaginous fishes","Common thresher shark","Alopias vulpinus","NE Pacific","CA/OR","CA/OR","Preti et al. 2004","Sardinops sagax","Pacific sardine","YES","1999-2000","Jul-May",1999,7,"Jul",2000,5,"May",NA,"stomach sampling","Cool-water period",67,NA,"totallengthrange70-270cm",NA,NA,NA,NA,NA,NA,12.76,NA,7.73,NA,19.4,NA,NA
"cartilaginous fishes","Common thresher shark","Alopias vulpinus","NE Pacific","CA/OR/WA","CA/OR/WA","Preti et al. 2012","Sardinops sagax","Pacific sardine","YES","2002-2008",NA,2002,NA,NA,2008,NA,NA,NA,"stomach sampling",NA,157,NA,"totallengthrange100-230cm",NA,NA,NA,NA,NA,NA,31.38,NA,25.85,NA,26.75,NA,NA
"cartilaginous fishes","Shortfin mako shark","Isurus oxyrinchus","NE Pacific","CA/OR/WA","CA/OR/WA","Preti et al. 2012","Sardinops sagax","Pacific sardine","NO","2002-2008",NA,2002,NA,NA,2008,NA,NA,NA,"stomach sampling",NA,238,NA,"totallengthrange50-250cm",NA,NA,NA,NA,NA,NA,2.11,NA,15.22,NA,12.61,NA,NA
"cartilaginous fishes","Smooth hammerhead shark","Sphyrna zygaena","NE Pacific","Mexico","Baja California","Ochoa Diaz 2009","Sardinops sagax","Pacific sardine","NO","2000-2004","Jan-Aug",2000,1,"Jan",2004,8,"Aug",NA,"stomach sampling",NA,NA,"female","female",NA,NA,NA,NA,NA,NA,0.04,NA,2.1,NA,8.3,NA,NA
"cartilaginous fishes","Smooth hammerhead shark","Sphyrna zygaena","NE Pacific","Mexico","Baja California","Ochoa Diaz 2009","Sardinops sagax","Pacific sardine","NO","2000-2004","Jan-Aug",2000,1,"Jan",2004,8,"Aug",NA,"stomach sampling",NA,NA,"male","male",NA,NA,NA,NA,NA,NA,0.01,NA,15,NA,8.3,NA,NA
"cartilaginous fishes","Smooth hammerhead shark","Sphyrna zygaena","NE Pacific","Mexico","Baja California","Ochoa Diaz 2009","Sardinops sagax","Pacific sardine","NO","2000-2004","Jan-Aug",2000,1,"Jan",2004,8,"Aug",NA,"stomach sampling",NA,NA,"juvenile","juvenile",NA,NA,NA,NA,NA,NA,0.09,NA,4.6,NA,16.7,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Sardinops sagax","Pacific sardine","YES","1993-2013",NA,1993,NA,NA,2013,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.9,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Sardinops sagax","Pacific sardine","YES","1993",NA,1993,NA,NA,1993,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.28,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Sardinops sagax","Pacific sardine","YES","1994",NA,1994,NA,NA,1994,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.34,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Sardinops sagax","Pacific sardine","YES","1995",NA,1995,NA,NA,1995,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.79,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Sardinops sagax","Pacific sardine","YES","1996",NA,1996,NA,NA,1996,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.46,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Sardinops sagax","Pacific sardine","YES","1997",NA,1997,NA,NA,1997,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.29,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Sardinops sagax","Pacific sardine","YES","1998",NA,1998,NA,NA,1998,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.76,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Sardinops sagax","Pacific sardine","YES","1999",NA,1999,NA,NA,1999,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Sardinops sagax","Pacific sardine","YES","2000",NA,2000,NA,NA,2000,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Sardinops sagax","Pacific sardine","YES","2001",NA,2001,NA,NA,2001,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Sardinops sagax","Pacific sardine","YES","2002",NA,2002,NA,NA,2002,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Sardinops sagax","Pacific sardine","YES","2004",NA,2004,NA,NA,2004,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.47,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Sardinops sagax","Pacific sardine","YES","2007",NA,2007,NA,NA,2007,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Sardinops sagax","Pacific sardine","YES","2008",NA,2008,NA,NA,2008,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Sardinops sagax","Pacific sardine","YES","2009",NA,2009,NA,NA,2009,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Sardinops sagax","Pacific sardine","YES","2010",NA,2010,NA,NA,2010,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Sardinops sagax","Pacific sardine","YES","2011",NA,2011,NA,NA,2011,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Sardinops sagax","Pacific sardine","YES","2012",NA,2012,NA,NA,2012,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Sardinops sagax","Pacific sardine","YES","2013",NA,2013,NA,NA,2013,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,NA,NA,NA,NA
"bony fishes","Albacore tuna","Thunnus alalunga","NE Pacific","CA/OR/WA","CA/OR/WA","Glaser 2010","Sardinops sagax","Pacific sardine","YES","2005-2006",NA,2005,NA,NA,2006,NA,NA,"otolith length_standard length regressions","stomach sampling","size is a mean of individuals from the three areas",128,"juvenile","juvenile",NA,NA,NA,NA,49.2,16.9,NA,NA,NA,NA,NA,NA,NA
"bony fishes","Albacore tuna","Thunnus alalunga","NE Pacific","CA/OR/WA","Northern California Current","Glaser 2010","Sardinops sagax","Pacific sardine","YES","1968-1969",NA,1968,NA,NA,1969,NA,NA,NA,"stomach sampling",NA,NA,"juvenile","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"bony fishes","Albacore tuna","Thunnus alalunga","NE Pacific","CA/OR/WA","Northern California Current","Glaser 2010","Sardinops sagax","Pacific sardine","YES","2005-2006",NA,2005,NA,NA,2006,NA,NA,NA,"stomach sampling",NA,NA,"juvenile","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA
"bony fishes","Albacore tuna","Thunnus alalunga","NE Pacific","CA/OR/WA","Central California Current","Glaser 2010","Sardinops sagax","Pacific sardine","YES","1949-1950",NA,1949,NA,NA,1950,NA,NA,NA,"stomach sampling",NA,NA,"juvenile","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
