"pred_stock_orig","pred_type","pred_comm_name","pred_species","area","prey_stock","prey_comm_name","prey_species","impt","impt_avg"
"Chinook salmon adult CA_OR ","bony fishes","Chinook salmon","Oncorhynchus tshawytscha","CA_OR ","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",0.2,0.2
"Chinook salmon adult OR_WA","bony fishes","Chinook salmon","Oncorhynchus tshawytscha","OR_WA","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",0.4,0.25
"Coho salmon adult OR_WA","bony fishes","Coho salmon","Oncorhynchus kisutch","OR_WA","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",10.3,4.95
"Coho salmon juvenile CA_OR ","bony fishes","Coho salmon","Oncorhynchus kisutch","CA_OR ","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",0.1,0.1
"Common murre  MonterreyBay","sea birds","Common guillemot","Uria aalge","MonterreyBay","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",19.3,17.65
"Common murre adult Coast_FarallonGulf","sea birds","Common guillemot","Uria aalge","Coast_FarallonGulf","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",20,12
"Common murre adult Midshelf_FarallonGulf","sea birds","Common guillemot","Uria aalge","Midshelf_FarallonGulf","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",61,61
"Common murre adult OuterShelf_FarrallonGulf","sea birds","Common guillemot","Uria aalge","OuterShelf_FarrallonGulf","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",47,21
"Common murre chicks FarallonIs","sea birds","Common guillemot","Uria aalge","FarallonIs","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",2,1.25
"Common thresher shark  CA_OR","cartilaginous fishes","Common thresher shark","Alopias vulpinus","CA_OR","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",6.06,3.09
"Common thresher shark  CA_OR_WA","cartilaginous fishes","Common thresher shark","Alopias vulpinus","CA_OR_WA","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",0.1,0.1
"Curlfin sole_turbot  MonterreyBay","bony fishes","Curlfin sole","Pleuronichthys decurrens","MonterreyBay","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",36,36
"Dalls porpoise  VancouverIs_SanJuanIs","cetaceans","Dall's porpoise","Phocoenoides dalli","VancouverIs_SanJuanIs","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",1.2,1.2
"Elegant tern  LosAngelesHarbor_BolsaChica_SouthBaySaltWorks","sea birds","Elegant tern","Thalasseus elegans","LosAngelesHarbor_BolsaChica_SouthBaySaltWorks","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",50,4.426315789
"Glaucous-winged gull  MonterreyBay","sea birds","Glaucous-winged gull","Larus glaucescens","MonterreyBay","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",55,55
"Harbor porpoise  MonterreyBay","cetaceans","Harbor porpoise","Phocoena phocoena","MonterreyBay","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",47.71,32.46
"Harbor porpoise  VancouverIs_SanJuanIs","cetaceans","Harbor porpoise","Phocoena phocoena","VancouverIs_SanJuanIs","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",54.8,54.8
"Heermann gull  MonterreyBay","sea birds","Heermann gull","Larus heermanni","MonterreyBay","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",25.6,25.6
"Humboldt_jumbo_squid   CA_OR_WA","invertebrates","Humboldt squid","Dosidicus gigas","CA_OR_WA","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",1.5,1.5
"Lincod  OR","bony fishes","Lingcod","Ophiodon elongatus","OR","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",0.93,0.93
"Long-beaked common dolphin  CA","cetaceans","Long-beaked common dolphin","Delphinus capensis","CA","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",49.94,49.94
"Mew gull  MonterreyBay","sea birds","Mew gull","Larus canus","MonterreyBay","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",26.7,26.7
"North pacific albacora  CA_OR_WA","bony fishes","Albacore tuna","Thunnus alalunga","CA_OR_WA","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",0.4,0.4
"North pacific albacora  SouthernCA_OR_WA","bony fishes","Albacore tuna","Thunnus alalunga","SouthernCA_OR_WA","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",0.1,0.1
"Northern fulmar  MonterreyBay","sea birds","Northern fulmar","Fulmarus glacialis","MonterreyBay","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",29.6,29.6
"Pacific bonito  SCACoast_OffshoreIs","bony fishes","Eastern Pacific bonito","Sarda chiliensis","SCACoast_OffshoreIs","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",18.6,18.6
"Pacific bonito  SCACoast_OffshoreIs_BajaCal","bony fishes","Eastern Pacific bonito","Sarda chiliensis","SCACoast_OffshoreIs_BajaCal","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",17.7,17.7
"Pacific harbor seal  StraitOfGeorgia","pinnipeds","Pacific harbor seal","Phoca vitulina","StraitOfGeorgia","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",5.5,4.2
"Pacific harbor seal  UmpquaRiver","pinnipeds","Pacific harbor seal","Phoca vitulina","UmpquaRiver","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",12.8,5.433333333
"Pacific harbor seal adult SanFranciscoBay","pinnipeds","Pacific harbor seal","Phoca vitulina","SanFranciscoBay","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",0.1,0.05
"Pacific sanddab  MonterreyBay","bony fishes","Pacific sanddab","Citharichthys sordidus","MonterreyBay","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",18,18
"Pacific white-sided dolphin  MonterreyBay","cetaceans","Pacific white-sided dolphin","Lagenorhynchus obliquidens","MonterreyBay","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",5,5
"Pink-footed  shearwater   MonterreyBay","sea birds","Pink-footed shearwater","Puffinus creatopus","MonterreyBay","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",71.2,71.2
"Rhinoceros auklet  MonterreyBay","sea birds","Rhinoceros auklet","Cerorhinca monocerata","MonterreyBay","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",70.4,66.2
"Rhinoceros auklet chicks AnioNuevoIs","sea birds","Rhinoceros auklet","Cerorhinca monocerata","AnioNuevoIs","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",30,30
"Short-beaked common dolphin  CA","cetaceans","Short-beaked common dolphin","Delphinus delphis","CA","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",44.79,44.79
"Short-tailed shearwater   MonterreyBay","sea birds","Short-tailed shearwater","Ardenna tenuirostris","MonterreyBay","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",91.7,91.7
"Shortfin mako shark  CA_OR_WA","cartilaginous fishes","Shortfin mako shark","Isurus oxyrinchus","CA_OR_WA","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",0.01,0.01
"Sooty shearwater   MonterreyBay","sea birds","Sooty shearwater","Ardenna grisea","MonterreyBay","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",36.6,28.3
"Western gull chicks AnacapaIs","sea birds","Western gull","Larus occidentalis","AnacapaIs","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",3,3
"Western gull chicks PrinceIs","sea birds","Western gull","Larus occidentalis","PrinceIs","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",58,28.5
"Western gull chicks SanNicolasIs","sea birds","Western gull","Larus occidentalis","SanNicolasIs","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",26,17
"Western gull chicks StaBarbaraIs","sea birds","Western gull","Larus occidentalis","StaBarbaraIs","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",12,6.2
"Yellowtail rockfish  CA_OR_WA_BC","bony fishes","Yellowtail rockfish","Sebastes flavidus","CA_OR_WA_BC","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",1.7,1.7
"Yellowtail rockfish  HacetaBank","bony fishes","Yellowtail rockfish","Sebastes flavidus","HacetaBank","California market squid Pacific Coast","California market squid","Doryteuthis opalescens",14.9,14.9
"Arrowtooth flounder  NorthCapeBlanco","bony fishes","Arrowtooth flounder","Atheresthes stomias","NorthCapeBlanco","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",83.57,83.57
"Arrowtooth flounder  SouthCapeBlanco","bony fishes","Arrowtooth flounder","Atheresthes stomias","SouthCapeBlanco","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",36.21,36.21
"Blue shark  BajaCal","cartilaginous fishes","Blue shark","Prionace glauca","BajaCal","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",26.5,12.98
"Blue shark  CA_OR_WA","cartilaginous fishes","Blue shark","Prionace glauca","CA_OR_WA","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",0.01,0.01
"Blue shark  OR_WA","cartilaginous fishes","Blue shark","Prionace glauca","OR_WA","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",53.9,53.9
"Brandt cormorant  MonterreyBay","sea birds","Brandt cormorant","Phalacrocorax penicillatus","MonterreyBay","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",0.5,0.25
"CA Sea Lion  GOC","pinnipeds","California sea lion","Zalophus californianus","GOC","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",1.04,1.04
"CA Sea Lion  SanClementeIs","pinnipeds","California sea lion","Zalophus californianus","SanClementeIs","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",24.8,24.8
"CA Sea Lion  SanNicolasIs","pinnipeds","California sea lion","Zalophus californianus","SanNicolasIs","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",31.2,31.2
"CA Sea Lion  StaBarbaraIs","pinnipeds","California sea lion","Zalophus californianus","StaBarbaraIs","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",39.4,39.4
"CA Sea Lion adult CA","pinnipeds","California sea lion","Zalophus californianus","CA","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",45,27.18
"CA Sea Lion juvenile CA","pinnipeds","California sea lion","Zalophus californianus","CA","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",37,21.3
"Chinook salmon adult OR_WA","bony fishes","Chinook salmon","Oncorhynchus tshawytscha","OR_WA","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",10,10
"Common murre  Coast_FarallonGulf","sea birds","Common guillemot","Uria aalge","Coast_FarallonGulf","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",5,5
"Common murre  Midshelf_FarallonGulf","sea birds","Common guillemot","Uria aalge","Midshelf_FarallonGulf","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",99,97
"Common murre  OuterShelf_FarrallonGulf","sea birds","Common guillemot","Uria aalge","OuterShelf_FarrallonGulf","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",18,18
"Common thresher shark  CA_OR","cartilaginous fishes","Common thresher shark","Alopias vulpinus","CA_OR","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",9.17,5.135
"Common thresher shark  CA_OR_WA","cartilaginous fishes","Common thresher shark","Alopias vulpinus","CA_OR_WA","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",21.78,21.78
"Dalls porpoise  VancouverIs_SanJuanIs","cetaceans","Dall's porpoise","Phocoenoides dalli","VancouverIs_SanJuanIs","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",5.7,5.7
"Harbor porpoise  MonterreyBay","cetaceans","Harbor porpoise","Phocoena phocoena","MonterreyBay","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",20.42,12.98666667
"Harbor porpoise  VancouverIs_SanJuanIs","cetaceans","Harbor porpoise","Phocoena phocoena","VancouverIs_SanJuanIs","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",12.2,12.2
"Humboldt_jumbo_squid   CA_OR_WA","invertebrates","Humboldt squid","Dosidicus gigas","CA_OR_WA","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",28,19.65
"Indo-pacific blue marlin  BajaCal","bony fishes","Indo-pacific blue marlin","Makaira mazara","BajaCal","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",80.75,35.2275
"Jack mackerel  OffColumbiaRiver","bony fishes","Jack mackerel","Trachurus symmetricus","OffColumbiaRiver","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",20.9,20.9
"Lincod  OR","bony fishes","Lingcod","Ophiodon elongatus","OR","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",2.47,2.47
"Long-beaked common dolphin  CA","cetaceans","Long-beaked common dolphin","Delphinus capensis","CA","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",51.91,51.91
"North pacific albacora  CA","bony fishes","Albacore tuna","Thunnus alalunga","CA","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",37.3,37.3
"North pacific albacora  CA_OR_WA","bony fishes","Albacore tuna","Thunnus alalunga","CA_OR_WA","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",0.1,0.1
"North pacific albacora  CA_OR_WA_BC","bony fishes","Albacore tuna","Thunnus alalunga","CA_OR_WA_BC","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",27.1,27.1
"North pacific albacora  OR_WA_BC","bony fishes","Albacore tuna","Thunnus alalunga","OR_WA_BC","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",16.5,16.5
"North pacific albacora  SouthCA","bony fishes","Albacore tuna","Thunnus alalunga","SouthCA","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",0,0
"Northern fur seal  SaintGeorgeIs","pinnipeds","Northern fur seal","Callorhinus ursinus","SaintGeorgeIs","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",0.17,0.17
"Northern fur seal  SaintPaulIs","pinnipeds","Northern fur seal","Callorhinus ursinus","SaintPaulIs","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",0.1,0.1
"Pacific bonito  SCACoast_OffshoreIs","bony fishes","Eastern Pacific bonito","Sarda chiliensis","SCACoast_OffshoreIs","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",0.1,0.1
"Pacific bonito  SCACoast_OffshoreIs_BajaCal","bony fishes","Eastern Pacific bonito","Sarda chiliensis","SCACoast_OffshoreIs_BajaCal","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",0.1,0.1
"Pacific hake  CA","bony fishes","Pacific hake","Merluccius productus","CA","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",4.44,4.44
"Pacific hake  OffColumbiaRiver","bony fishes","Pacific hake","Merluccius productus","OffColumbiaRiver","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",0.4,0.4
"Pacific hake  OR_WA","bony fishes","Pacific hake","Merluccius productus","OR_WA","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",0.1,0.1
"Pacific hake  SouthCapeBlanco","bony fishes","Pacific hake","Merluccius productus","SouthCapeBlanco","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",75.94,75.94
"Pacific harbor seal  StraitOfGeorgia","pinnipeds","Pacific harbor seal","Phoca vitulina","StraitOfGeorgia","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",42.6,42.6
"Pacific harbor seal  UmpquaRiver","pinnipeds","Pacific harbor seal","Phoca vitulina","UmpquaRiver","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",41.6,28.83333333
"Pacific white-sided dolphin  CA_WA","cetaceans","Pacific white-sided dolphin","Lagenorhynchus obliquidens","CA_WA","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",34,34
"Sablefish  NorthCapeBlanco","bony fishes","Sablefish","Anoplopoma fimbria","NorthCapeBlanco","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",20.19,20.19
"Sablefish  SouthCapeBlanco","bony fishes","Sablefish","Anoplopoma fimbria","SouthCapeBlanco","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",3.34,3.34
"Short-beaked common dolphin  CA","cetaceans","Short-beaked common dolphin","Delphinus delphis","CA","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",60.88,60.88
"Shortspine thornyhead  NorthCapeBlanco","bony fishes","Shortspine thornyhead","Sebastolobus alascanus","NorthCapeBlanco","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",0.54,0.54
"Shortspine thornyhead  SouthCapeBlanco","bony fishes","Shortspine thornyhead","Sebastolobus alascanus","SouthCapeBlanco","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",66.85,33.425
"Soupfin shark  OR_WA","cartilaginous fishes","Soupfin shark","Galeorhinus galeus","OR_WA","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",81.1,81.1
"Spiny dogfish  MonterreyBay","cartilaginous fishes","Spiny dogfish","Squalus acanthias","MonterreyBay","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",2.76,2.76
"Spiny dogfish  OR_WA","cartilaginous fishes","Spiny dogfish","Squalus acanthias","OR_WA","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",31.2,18.66666667
"Steller Sea Lion  CA_OR","pinnipeds","Steller sea lion","Eumetopias jubatus","CA_OR","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",87.1,73.05
"Steller Sea Lion  SouthEastAK","pinnipeds","Steller sea lion","Eumetopias jubatus","SouthEastAK","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",16,6.16
"Striped marlin  BajaCal","bony fishes","Striped marlin","Kajikia audax","BajaCal","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",19.75,13.0125
"Western gull chicks AnacapaIs","sea birds","Western gull","Larus occidentalis","AnacapaIs","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",3,3
"Western gull chicks PrinceIs","sea birds","Western gull","Larus occidentalis","PrinceIs","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",19,6.75
"Western gull chicks SanNicolasIs","sea birds","Western gull","Larus occidentalis","SanNicolasIs","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",14,3.75
"Western gull chicks StaBarbaraIs","sea birds","Western gull","Larus occidentalis","StaBarbaraIs","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",3,2.333333333
"Widow rockfish  CA","bony fishes","Widow rockfish","Sebastes entomelas","CA","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",6.8,6.8
"Widow rockfish  OR_WA","bony fishes","Widow rockfish","Sebastes entomelas","OR_WA","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",0.7,0.7
"Yellowtail rockfish  OR_WA","bony fishes","Yellowtail rockfish","Sebastes flavidus","OR_WA","Pacific hake Pacific Coast","Pacific hake","Merluccius productus",32.5,16.3
"Blue shark  BajaCal","cartilaginous fishes","Blue shark","Prionace glauca","BajaCal","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",30,9.575
"Blue shark  CA_OR_WA","cartilaginous fishes","Blue shark","Prionace glauca","CA_OR_WA","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",2.85,2.85
"Bluefin tuna  CA_BajaCal","bony fishes","Pacific bluefin tuna","Thunnus orientalis","CA_BajaCal","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",0.01,0.01
"Brandt cormorant  MonterreyBay","sea birds","Brandt cormorant","Phalacrocorax penicillatus","MonterreyBay","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",0.2,0.15
"CA Sea Lion  SanClementeIs","pinnipeds","California sea lion","Zalophus californianus","SanClementeIs","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",10.3,10.3
"CA Sea Lion  SanNicolasIs","pinnipeds","California sea lion","Zalophus californianus","SanNicolasIs","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",15.5,15.5
"CA Sea Lion  StaBarbaraIs","pinnipeds","California sea lion","Zalophus californianus","StaBarbaraIs","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",8,8
"CA Sea Lion adult CA","pinnipeds","California sea lion","Zalophus californianus","CA","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",15,4
"CA Sea Lion juvenile CA","pinnipeds","California sea lion","Zalophus californianus","CA","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",7.4,1.533333333
"Common thresher shark  CA_OR","cartilaginous fishes","Common thresher shark","Alopias vulpinus","CA_OR","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",24.7,13.245
"Common thresher shark  CA_OR_WA","cartilaginous fishes","Common thresher shark","Alopias vulpinus","CA_OR_WA","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",7.84,7.84
"Elegant tern  LosAngelesHarbor_BolsaChica_SouthBaySaltWorks","sea birds","Elegant tern","Thalasseus elegans","LosAngelesHarbor_BolsaChica_SouthBaySaltWorks","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",27.8,2.027368421
"Humboldt_jumbo_squid   GOC","invertebrates","Humboldt squid","Dosidicus gigas","GOC","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",20,14.5
"Indo-pacific blue marlin  BajaCal","bony fishes","Indo-pacific blue marlin","Makaira mazara","BajaCal","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",4.18,4.18
"Long-beaked common dolphin  CA","cetaceans","Long-beaked common dolphin","Delphinus capensis","CA","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",5,5
"North pacific albacora  CA_OR_WA","bony fishes","Albacore tuna","Thunnus alalunga","CA_OR_WA","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",0.1,0.1
"Pacific hake  OR_WA","bony fishes","Pacific hake","Merluccius productus","OR_WA","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",0.1,0.1
"Pacific harbor seal  UmpquaRiver","pinnipeds","Pacific harbor seal","Phoca vitulina","UmpquaRiver","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",4.6,3.066666667
"Sailfish  BajaCal_GOC","bony fishes","Indo-Pacific sailfish","Istiophorus platypterus","BajaCal_GOC","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",14.2,14.2
"Short-beaked common dolphin  CA","cetaceans","Short-beaked common dolphin","Delphinus delphis","CA","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",16.67,16.67
"Shortfin mako shark  CA_OR_WA","cartilaginous fishes","Shortfin mako shark","Isurus oxyrinchus","CA_OR_WA","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",4.09,4.09
"Silky shark  PuntaBelcher_BajaCal","cartilaginous fishes","Silky shark","Carcharhinus falciformis","PuntaBelcher_BajaCal","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",17.7,17.7
"Silky shark  PuntaLobos_BajaCal","cartilaginous fishes","Silky shark","Carcharhinus falciformis","PuntaLobos_BajaCal","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",0.7,0.7
"Smooth Hammershead shark  Female BajaCal","cartilaginous fishes","Smooth hammerhead shark","Sphyrna zygaena","BajaCal","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",0.06,0.06
"Smooth Hammershead shark  juvenile GOC","cartilaginous fishes","Smooth hammerhead shark","Sphyrna zygaena","GOC","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",26.84,19.475
"Steller Sea Lion  CA_OR","pinnipeds","Steller sea lion","Eumetopias jubatus","CA_OR","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",2.1,1.05
"Striped marlin  BajaCal","bony fishes","Striped marlin","Kajikia audax","BajaCal","Pacific chub mackerel Pacific Coast","Pacific chub mackerel","Scomber japonicus",41.91,26.598
"Atlantic bluefin tuna  Cape Cod Bay","bony fishes","Atlantic bluefin tuna","Thunnus thynnus","Cape Cod Bay","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",3.1,3.1
"Atlantic bluefin tuna  Great South Channel","bony fishes","Atlantic bluefin tuna","Thunnus thynnus","Great South Channel","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",48.4,48.4
"Atlantic bluefin tuna  Jeffreys Ledge","bony fishes","Atlantic bluefin tuna","Thunnus thynnus","Jeffreys Ledge","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",87.2,87.2
"Atlantic bluefin tuna  South of Marthas Vineyards","bony fishes","Atlantic bluefin tuna","Thunnus thynnus","South of Marthas Vineyards","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",2.5,2.5
"Atlantic bluefin tuna  Stellwagen Bank","bony fishes","Atlantic bluefin tuna","Thunnus thynnus","Stellwagen Bank","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",6,6
"Atlantic cod  Georges Bank","bony fishes","Atlantic cod","Gadus morhua","Georges Bank","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",12,12
"Atlantic cod  Gulf of Maine","bony fishes","Atlantic cod","Gadus morhua","Gulf of Maine","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",22,22
"Atlantic cod  Scotian shelf","bony fishes","Atlantic cod","Gadus morhua","Scotian shelf","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",10,10
"Atlantic cod  Southern New England","bony fishes","Atlantic cod","Gadus morhua","Southern New England","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",16,16
"Atlantic halibut  North Atlantic Bight","bony fishes","Atlantic halibut","Hippoglossus hippoglossus","North Atlantic Bight","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",4,4
"Atlantic mackerel  Georges Bank","bony fishes","Atlantic mackerel","Scomber scombrus","Georges Bank","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",1.8,1.8
"Barndoor skate  Georges Bank","cartilaginous fishes","Barndoor skate","Dipturus laevis","Georges Bank","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",7.2,7.2
"Black sea bass  Inshore of South Cape Hatteras","bony fishes","Black sea bass","Centropristis striata","Inshore of South Cape Hatteras","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",2,2
"Blue shark  ","cartilaginous fishes","Blue shark","Prionace glauca","","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",0.4,0.4
"Bluefish  Georges Bank","bony fishes","Bluefish","Pomatomus saltatrix","Georges Bank","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",18.7,18.7
"Bluefish  Inshore of North Cape Hatteras","bony fishes","Bluefish","Pomatomus saltatrix","Inshore of North Cape Hatteras","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",0.2,0.2
"Bluefish  South New England","bony fishes","Bluefish","Pomatomus saltatrix","South New England","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",2.2,2.2
"Bluefish adult Georges Bank","bony fishes","Bluefish","Pomatomus saltatrix","Georges Bank","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",17.6,14.45
"Bluefish adult Hatteras-Montauk","bony fishes","Bluefish","Pomatomus saltatrix","Hatteras-Montauk","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",0.1,0.1
"Fin whale  Georges Bank-Gulf of Maine","cetaceans","Fin whale","Balaenoptera physalus","Georges Bank-Gulf of Maine","Atlantic herring Northwestern Atlantic Coast","Atlantic herring","Clupea harengus",50,30.85714286
