"stocklong","stocklong_orig","stockid","ocean","region","area","type","species","comm_name","nyr","n_units","reference"
"Scup Northwestern Atlantic Coast","Scup Atlantic Coast RAM NA","SCUPNWATLC","NW Atlantic","US East Coast","Northwestern Atlantic Coast","fish","Stenotomus chrysops","Scup",24,"ram","RAM"
"Short-beaked common dolphin CA/OR/WA [abundance (geometric mean)]","Short-beaked common dolphin Geometric mean abundance CA_OR_WA",NA,"NE Pacific","CA/OR/WA","CA/OR/WA","mammals","Delphinus delphis","Short-beaked common dolphin",2,"abundance (geometric mean)","NOAA 2008, NOAA 2011"
"Short-beaked common dolphin CA/OR/WA [abundance (weighted mean)]","Short-beaked common dolphin Weigthed average abundance CA_OR_WA",NA,"NE Pacific","CA/OR/WA","CA/OR/WA","mammals","Delphinus delphis","Short-beaked common dolphin",2,"abundance (weighted mean)","NOAA 2000, NOAA 2003"
"Shortfin mako shark Northwest Atlantic [cpue (standardized)]","Shortfin mako shark StandarizedCPUE North West Atlantic ",NA,"NW Atlantic","NW Atlantic","Northwest Atlantic","fish","Isurus oxyrinchus","Shortfin mako shark",21,"cpue (standardized)","Cortes et al. 2007"
"Shortfin mako shark Scotian Shelf, Canada [cpue (standardized)]","Shortfin mako shark StandarizedCPUE Scotian Shelf_Canada",NA,"NW Atlantic","NW Atlantic","Scotian Shelf, Canada","fish","Isurus oxyrinchus","Shortfin mako shark",16,"cpue (standardized)","Campana et al. 2005"
"Shortspine thornyhead Pacific Coast","Shortspine thornyhead Pacific Coast RAM NA","SSTHORNHPCOAST","NE Pacific","US West Coast","Pacific Coast","fish","Sebastolobus alascanus","Shortspine thornyhead",105,"ram","RAM"
"Silky shark Northwest Atlantic [cpue (standardized)]","Silky shark StandarizedCPUE North West Atlantic ",NA,"NW Atlantic","NW Atlantic","Northwest Atlantic","fish","Carcharhinus falciformis","Silky shark",14,"cpue (standardized)","Cortes et al. 2007"
"Silver hake Gulf of Maine / Georges Bank","Silver hake Gulf of Maine / Northern Georges Bank RAM NA","SHAKEGOMNGB","NW Atlantic","US East Coast","Gulf of Maine / Georges Bank","fish","Merluccius bilinearis","Silver hake",0,"ram","RAM"
"Silver hake Southern Georges Bank / Mid-Atlantic","Silver hake Southern Georges Bank / Mid-Atlantic RAM NA","SHAKESGBMATL","NW Atlantic","US East Coast","Southern Georges Bank / Mid-Atlantic","fish","Merluccius bilinearis","Silver hake",0,"ram","RAM"
"Smooth dogfish Northwest Atlantic Coast [biomass (pred.)]","Smooth dogfish Predicted Biomass Northwest Atlantic Coast",NA,"NW Atlantic","Northwest Atlantic Coast","Northwest Atlantic Coast","fish","Mustelus canis","Smooth dogfish",32,"biomass (pred.)","SEDAR 2015"
"Sooty shearwater Southern California [density (fall)]","Sooty Shearwater Density Autumn Southern CA ",NA,"NE Pacific","California","Southern California","birds","Ardenna grisea","Sooty shearwater",11,"density (fall)","Hyrenbach and Veit 2003"
"Sooty shearwater Southern California [density (spring)]","Sooty Shearwater Density Spring Southern CA ",NA,"NE Pacific","California","Southern California","birds","Ardenna grisea","Sooty shearwater",12,"density (spring)","Hyrenbach and Veit 2003"
"Sooty shearwater Southern California [density (summer)]","Sooty Shearwater Density Summer Southern CA ",NA,"NE Pacific","California","Southern California","birds","Ardenna grisea","Sooty shearwater",11,"density (summer)","Hyrenbach and Veit 2003"
"Sooty shearwater Southern California [density (winter)]","Sooty Shearwater Density Winter Southern CA ",NA,"NE Pacific","California","Southern California","birds","Ardenna grisea","Sooty shearwater",11,"density (winter)","Hyrenbach and Veit 2003"
"Spinner shark Florida-Maryland & Gulf Coast-Louisiana [cpue (standardized)]","Spinner shark StandardizedCPUE FromFlorida_TO_Maryland_andGulfCoast_to_Lousiana",NA,"NW Atlantic","NW Atlantic","Florida-Maryland & Gulf Coast-Louisiana","fish","Carcharhinus brevipinna","Spinner shark",16,"cpue (standardized)","Carlson et al. 2012"
"Spiny dogfish Atlantic Coast","Spiny dogfish Atlantic Coast RAM NA","SDOGATLC","NW Atlantic","US East Coast","Atlantic Coast","fish","Squalus acanthias","Spiny dogfish",16,"ram","RAM"
"Spotted spiny dogfish Pacific Coast","Spotted spiny dogfish Pacific Coast RAM NA","SPSDOGPCOAST","NE Pacific","US West Coast","Pacific Coast","fish","Squalus suckleyi","Spotted spiny dogfish",96,"ram","RAM"
"Steller sea lion California [abundance (total)]","Steller Sea Lion Total Counts CA",NA,"NE Pacific","California","California","mammals","Eumetopias jubatus","Steller sea lion",10,"abundance (total)","NOAA 2013"
"Steller sea lion Oregon [abundance (total)]","Steller Sea Lion Total Counts OR",NA,"NE Pacific","Oregon","Oregon","mammals","Eumetopias jubatus","Steller sea lion",9,"abundance (total)","NOAA 2013"
"Steller sea lion Washington [abundance (total)]","Steller Sea Lion Total Counts WA",NA,"NE Pacific","Washington","Washington","mammals","Eumetopias jubatus","Steller sea lion",13,"abundance (total)","NOAA 2013"
"Striped bass Gulf of Maine / Cape Hatteras","Striped bass Gulf of Maine / Cape Hatteras RAM NA","STRIPEDBASSGOMCHATT","NW Atlantic","US East Coast","Gulf of Maine / Cape Hatteras","fish","Morone saxatilis","Striped bass",31,"ram","RAM"
"Striped marlin North Pacific","Striped marlin North Pacific RAM NA",NA,"NE Pacific","Pacific Ocean","North Pacific","fish","Kajikia audax","Striped marlin",53,"ram","RAM"
"Summer flounder Mid-Atlantic Coast","Summer flounder Mid-Atlantic Coast RAM NA","SFLOUNMATLC","NW Atlantic","US East Coast","Mid-Atlantic Coast","fish","Paralichthys dentatus","Summer flounder",31,"ram","RAM"
"Swordfish Northern Atlantic","Swordfish North Atlantic RAM NA","SWORDNATL","NW Atlantic","Atlantic Ocean","Northern Atlantic","fish","Xiphias gladius","Swordfish",60,"ram","RAM"
"Weakfish Atlantic Coast","Weakfish Atlantic Coast RAM NA","WEAKFISHATLC","NW Atlantic","US East Coast","Atlantic Coast","fish","Cynoscion regalis","Weakfish",28,"ram","RAM"
"Western Atlantic harbor seal Maine coast [abundance (est.)]","Western Atlantic harbor seal  Abundance Estimate Maine coast",NA,"NW Atlantic","NW Atlantic","Maine coast","mammals","Phoca vitulina concolor","Western Atlantic harbor seal",2,"abundance (est.)","NOAA 2012, NOAA 2015"
"Western Atlantic harbor seal Maine coast [abundance (min est.)]","Western Atlantic harbor seal  Minimum abundance estimate Maine coast",NA,"NW Atlantic","NW Atlantic","Maine coast","mammals","Phoca vitulina concolor","Western Atlantic harbor seal",4,"abundance (min est.)","NOAA 1998, NOAA 2001"
"Western Atlantic harbor seal Maine coast [abundance (min est.)].1","Western Atlantic harbor seal  Minimum abundance estimate Maine coast ",NA,"NW Atlantic","NW Atlantic","Maine coast","mammals","Phoca vitulina concolor","Western Atlantic harbor seal",1,"abundance (min est.)","NOAA 1998"
"White hake Gulf of Maine / Georges Bank","White hake Georges Bank / Gulf of Maine RAM NA","WHAKEGBGOM","NW Atlantic","US East Coast","Gulf of Maine / Georges Bank","fish","Urophycis tenuis","White hake",45,"ram","RAM"
"White marlin Atlantic Ocean","White marlin Atlantic RAM NA","WMARLINATL","NW Atlantic","Atlantic Ocean","Atlantic Ocean","fish","Kajikia albida","White marlin",56,"ram","RAM"
"Widow rockfish Pacific Coast","Widow rockfish Pacific Coast RAM NA","WROCKPCOAST","NE Pacific","US West Coast","Pacific Coast","fish","Sebastes entomelas","Widow rockfish",96,"ram","RAM"
"Xantus's murrellet Southern California [density (fall)]","Xantus Murrel Density Autumn Southern CA ",NA,"NE Pacific","California","Southern California","birds","Synthliboramphus hypoleucus","Xantus's murrellet",11,"density (fall)","Hyrenbach and Veit 2003"
"Xantus's murrellet Southern California [density (spring)]","Xantus Murrel Density Spring Southern CA ",NA,"NE Pacific","California","Southern California","birds","Synthliboramphus hypoleucus","Xantus's murrellet",12,"density (spring)","Hyrenbach and Veit 2003"
"Xantus's murrellet Southern California [density (summer)]","Xantus Murrel Density Summer Southern CA ",NA,"NE Pacific","California","Southern California","birds","Synthliboramphus hypoleucus","Xantus's murrellet",11,"density (summer)","Hyrenbach and Veit 2003"
"Xantus's murrellet Southern California [density (winter)]","Xantus Murrel Density Winter Southern CA ",NA,"NE Pacific","California","Southern California","birds","Synthliboramphus hypoleucus","Xantus's murrellet",11,"density (winter)","Hyrenbach and Veit 2003"
"Yellowfin tuna Atlantic Ocean","Yellowfin tuna Atlantic RAM NA","YFINATL","NW Atlantic","Atlantic Ocean","Atlantic Ocean","fish","Thunnus albacares","Yellowfin tuna",62,"ram","RAM"
"Yellowtail rockfish Northern Pacific Coast","Yellowtail rockfish Northern Pacific Coast RAM NA","YTROCKNPCOAST","NE Pacific","US West Coast","Northern Pacific Coast","fish","Sebastes flavidus","Yellowtail rockfish",39,"ram","RAM"
