"stocklong","stocklong_orig","reference","year","year_orig","n","n_units","catch"
"Pacific bluefin tuna Pacific Ocean [biomass (total)]","Bluefin tuna Total biomass Pacific stock","PBT Stock Assessment 2014",2005,2005,70470.4953,"biomass (total)",NA
"Pacific bluefin tuna Pacific Ocean [biomass (total)]","Bluefin tuna Total biomass Pacific stock","PBT Stock Assessment 2014",2006,2006,59773.6402,"biomass (total)",NA
"Pacific bluefin tuna Pacific Ocean [biomass (total)]","Bluefin tuna Total biomass Pacific stock","PBT Stock Assessment 2014",2007,2007,54986.1771,"biomass (total)",NA
"Pacific bluefin tuna Pacific Ocean [biomass (total)]","Bluefin tuna Total biomass Pacific stock","PBT Stock Assessment 2014",2008,2008,54629.0561,"biomass (total)",NA
"Pacific bluefin tuna Pacific Ocean [biomass (total)]","Bluefin tuna Total biomass Pacific stock","PBT Stock Assessment 2014",2009,2009,50579.6591,"biomass (total)",NA
"Pacific bluefin tuna Pacific Ocean [biomass (total)]","Bluefin tuna Total biomass Pacific stock","PBT Stock Assessment 2014",2010,2010,48745.4333,"biomass (total)",NA
"Pacific bluefin tuna Pacific Ocean [biomass (total)]","Bluefin tuna Total biomass Pacific stock","PBT Stock Assessment 2014",2011,2011,47649.7599,"biomass (total)",NA
"Pacific bluefin tuna Pacific Ocean [biomass (total)]","Bluefin tuna Total biomass Pacific stock","PBT Stock Assessment 2014",2012,2012,45076.4954,"biomass (total)",NA
"Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","Brown pelican Nesting pairs FromFlorida_TO_Maryland_andGulfCoast_to_Alabama","esasuccess.org",1970,1970,2796,"nesting pairs",NA
"Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","Brown pelican Nesting pairs FromFlorida_TO_Maryland_andGulfCoast_to_Alabama","esasuccess.org",1971,1971,3512,"nesting pairs",NA
"Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","Brown pelican Nesting pairs FromFlorida_TO_Maryland_andGulfCoast_to_Alabama","esasuccess.org",1972,1972,3748,"nesting pairs",NA
"Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","Brown pelican Nesting pairs FromFlorida_TO_Maryland_andGulfCoast_to_Alabama","esasuccess.org",1973,1973,3397,"nesting pairs",NA
"Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","Brown pelican Nesting pairs FromFlorida_TO_Maryland_andGulfCoast_to_Alabama","esasuccess.org",1974,1974,3398,"nesting pairs",NA
"Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","Brown pelican Nesting pairs FromFlorida_TO_Maryland_andGulfCoast_to_Alabama","esasuccess.org",1975,1975,4338,"nesting pairs",NA
"Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","Brown pelican Nesting pairs FromFlorida_TO_Maryland_andGulfCoast_to_Alabama","esasuccess.org",1976,1976,4222,"nesting pairs",NA
"Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","Brown pelican Nesting pairs FromFlorida_TO_Maryland_andGulfCoast_to_Alabama","esasuccess.org",1977,1977,5661,"nesting pairs",NA
"Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","Brown pelican Nesting pairs FromFlorida_TO_Maryland_andGulfCoast_to_Alabama","esasuccess.org",1979,1979,7542,"nesting pairs",NA
"Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","Brown pelican Nesting pairs FromFlorida_TO_Maryland_andGulfCoast_to_Alabama","esasuccess.org",1978,1978,8010,"nesting pairs",NA
"Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","Brown pelican Nesting pairs FromFlorida_TO_Maryland_andGulfCoast_to_Alabama","esasuccess.org",1980,1980,9039,"nesting pairs",NA
"Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","Brown pelican Nesting pairs FromFlorida_TO_Maryland_andGulfCoast_to_Alabama","esasuccess.org",1981,1981,8835,"nesting pairs",NA
"Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","Brown pelican Nesting pairs FromFlorida_TO_Maryland_andGulfCoast_to_Alabama","esasuccess.org",1983,1983,8544,"nesting pairs",NA
"Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","Brown pelican Nesting pairs FromFlorida_TO_Maryland_andGulfCoast_to_Alabama","esasuccess.org",1985,1985,10365,"nesting pairs",NA
"Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","Brown pelican Nesting pairs FromFlorida_TO_Maryland_andGulfCoast_to_Alabama","esasuccess.org",1989,1989,13906,"nesting pairs",NA
"Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","Brown pelican Nesting pairs FromFlorida_TO_Maryland_andGulfCoast_to_Alabama","esasuccess.org",1991,1991,13937,"nesting pairs",NA
"Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","Brown pelican Nesting pairs FromFlorida_TO_Maryland_andGulfCoast_to_Alabama","esasuccess.org",1993,1993,12281,"nesting pairs",NA
"Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","Brown pelican Nesting pairs FromFlorida_TO_Maryland_andGulfCoast_to_Alabama","esasuccess.org",1995,1995,11725,"nesting pairs",NA
"Brown pelican Florida-Maryland & Gulf Coast-Alabama [nesting pairs]","Brown pelican Nesting pairs FromFlorida_TO_Maryland_andGulfCoast_to_Alabama","esasuccess.org",1999,1999,15670,"nesting pairs",NA
"Dolphinfish Gulf of Mexico [cpue (standardized)]","Dolphinfish StandarizedCPUE Gulf of Mexico","Kleisner 2008",1987,1987,0.53,"cpue (standardized)",NA
"Dolphinfish Gulf of Mexico [cpue (standardized)]","Dolphinfish StandarizedCPUE Gulf of Mexico","Kleisner 2008",1988,1988,0.6,"cpue (standardized)",NA
"Dolphinfish Gulf of Mexico [cpue (standardized)]","Dolphinfish StandarizedCPUE Gulf of Mexico","Kleisner 2008",1989,1989,1.5,"cpue (standardized)",NA
"Dolphinfish Gulf of Mexico [cpue (standardized)]","Dolphinfish StandarizedCPUE Gulf of Mexico","Kleisner 2008",1990,1990,2.33,"cpue (standardized)",NA
"Dolphinfish Gulf of Mexico [cpue (standardized)]","Dolphinfish StandarizedCPUE Gulf of Mexico","Kleisner 2008",1991,1991,2.03,"cpue (standardized)",NA
"Dolphinfish Gulf of Mexico [cpue (standardized)]","Dolphinfish StandarizedCPUE Gulf of Mexico","Kleisner 2008",1992,1992,1.52,"cpue (standardized)",NA
"Dolphinfish Gulf of Mexico [cpue (standardized)]","Dolphinfish StandarizedCPUE Gulf of Mexico","Kleisner 2008",1993,1993,0.99,"cpue (standardized)",NA
"Dolphinfish Gulf of Mexico [cpue (standardized)]","Dolphinfish StandarizedCPUE Gulf of Mexico","Kleisner 2008",1994,1994,0.8,"cpue (standardized)",NA
"Dolphinfish Gulf of Mexico [cpue (standardized)]","Dolphinfish StandarizedCPUE Gulf of Mexico","Kleisner 2008",1995,1995,1.65,"cpue (standardized)",NA
"Dolphinfish Gulf of Mexico [cpue (standardized)]","Dolphinfish StandarizedCPUE Gulf of Mexico","Kleisner 2008",1996,1996,1.17,"cpue (standardized)",NA
"Dolphinfish Gulf of Mexico [cpue (standardized)]","Dolphinfish StandarizedCPUE Gulf of Mexico","Kleisner 2008",1997,1997,1.63,"cpue (standardized)",NA
"Dolphinfish Gulf of Mexico [cpue (standardized)]","Dolphinfish StandarizedCPUE Gulf of Mexico","Kleisner 2008",1998,1998,0.5,"cpue (standardized)",NA
"Dolphinfish Gulf of Mexico [cpue (standardized)]","Dolphinfish StandarizedCPUE Gulf of Mexico","Kleisner 2008",1999,1999,0.77,"cpue (standardized)",NA
"Dolphinfish Gulf of Mexico [cpue (standardized)]","Dolphinfish StandarizedCPUE Gulf of Mexico","Kleisner 2008",2000,2000,0.39,"cpue (standardized)",NA
"Dolphinfish Gulf of Mexico [cpue (standardized)]","Dolphinfish StandarizedCPUE Gulf of Mexico","Kleisner 2008",2001,2001,0.57,"cpue (standardized)",NA
"Dolphinfish Gulf of Mexico [cpue (standardized)]","Dolphinfish StandarizedCPUE Gulf of Mexico","Kleisner 2008",2002,2002,0.81,"cpue (standardized)",NA
"Dolphinfish Gulf of Mexico [cpue (standardized)]","Dolphinfish StandarizedCPUE Gulf of Mexico","Kleisner 2008",2003,2003,0.41,"cpue (standardized)",NA
"Dolphinfish Gulf of Mexico [cpue (standardized)]","Dolphinfish StandarizedCPUE Gulf of Mexico","Kleisner 2008",2004,2004,0.6,"cpue (standardized)",NA
"Dolphinfish Gulf of Mexico [cpue (standardized)]","Dolphinfish StandarizedCPUE Gulf of Mexico","Kleisner 2008",2005,2005,0.28,"cpue (standardized)",NA
"Dolphinfish Western Atlantic [cpue (standardized)]","Dolphinfish StandarizedCPUE Western Atlantic","Kleisner 2008",1992,1992,1.33,"cpue (standardized)",NA
"Dolphinfish Western Atlantic [cpue (standardized)]","Dolphinfish StandarizedCPUE Western Atlantic","Kleisner 2008",1993,1993,0.98,"cpue (standardized)",NA
"Dolphinfish Western Atlantic [cpue (standardized)]","Dolphinfish StandarizedCPUE Western Atlantic","Kleisner 2008",1994,1994,0.9,"cpue (standardized)",NA
"Dolphinfish Western Atlantic [cpue (standardized)]","Dolphinfish StandarizedCPUE Western Atlantic","Kleisner 2008",1995,1995,1.09,"cpue (standardized)",NA
"Dolphinfish Western Atlantic [cpue (standardized)]","Dolphinfish StandarizedCPUE Western Atlantic","Kleisner 2008",1996,1996,0.82,"cpue (standardized)",NA
"Dolphinfish Western Atlantic [cpue (standardized)]","Dolphinfish StandarizedCPUE Western Atlantic","Kleisner 2008",1997,1997,1.2,"cpue (standardized)",NA
"Dolphinfish Western Atlantic [cpue (standardized)]","Dolphinfish StandarizedCPUE Western Atlantic","Kleisner 2008",1998,1998,0.87,"cpue (standardized)",NA
"Dolphinfish Western Atlantic [cpue (standardized)]","Dolphinfish StandarizedCPUE Western Atlantic","Kleisner 2008",1999,1999,1.14,"cpue (standardized)",NA
"Dolphinfish Western Atlantic [cpue (standardized)]","Dolphinfish StandarizedCPUE Western Atlantic","Kleisner 2008",2000,2000,0.65,"cpue (standardized)",NA
"Dolphinfish Western Atlantic [cpue (standardized)]","Dolphinfish StandarizedCPUE Western Atlantic","Kleisner 2008",2001,2001,1.09,"cpue (standardized)",NA
"Dolphinfish Western Atlantic [cpue (standardized)]","Dolphinfish StandarizedCPUE Western Atlantic","Kleisner 2008",2002,2002,1.4,"cpue (standardized)",NA
"Dolphinfish Western Atlantic [cpue (standardized)]","Dolphinfish StandarizedCPUE Western Atlantic","Kleisner 2008",2003,2003,0.61,"cpue (standardized)",NA
"Fin whale Northwest Atlantic [abundance (est.)]","Fin whale Abundance Estimate North West Atlantic ","NOAA 2015",2011,2011,1618,"abundance (est.)",NA
"Fin whale Northwest Atlantic [abundance (est.)]","Fin whale Abundance Estimate North West Atlantic ","NOAA 2014",2007,2007,3522,"abundance (est.)",NA
"Fin whale Northwest Atlantic [abundance (est.)]","Fin whale Abundance Estimate North West Atlantic ","NOAA 2009",2006,2006,2269,"abundance (est.)",NA
"Fin whale Northwest Atlantic [abundance (est.)]","Fin whale Abundance Estimate North West Atlantic ","NOAA 2007",1999,1999,2814,"abundance (est.)",NA
"Fin whale Northwest Atlantic [abundance (est.)]","Fin whale Abundance Estimate North West Atlantic ","NOAA 2005",1995,1995,2200,"abundance (est.)",NA
"Fin whale Northwest Atlantic [abundance (est.)]","Fin whale Abundance Estimate North West Atlantic ","NOAA 1998",1992,1992,2700,"abundance (est.)",NA
"Harbor porpoise Gulf of Maine-Bay of Fundy [abundance (est.)].1","Harbor porpoise Abundance Estimate Gulf of Maine-Bay of Fundy","NOAA 2015",2011,2011,79883,"abundance (est.)",NA
"Harbor porpoise Gulf of Maine-Bay of Fundy [abundance (est.)].1","Harbor porpoise Abundance Estimate Gulf of Maine-Bay of Fundy","NOAA 2011",2006,2006,89054,"abundance (est.)",NA
"Harbor porpoise Gulf of Maine-Bay of Fundy [abundance (est.)].1","Harbor porpoise Abundance Estimate Gulf of Maine-Bay of Fundy","NOAA 2007",1999,1999,89700,"abundance (est.)",NA
"Grey seal Northwest Atlantic [abundance (est.)]","Gray seal Abundance Estimate North West Atlantic ","NOAA 2015",2012,2012,331000,"abundance (est.)",NA
"Grey seal Northwest Atlantic [abundance (est.)]","Gray seal Abundance Estimate North West Atlantic ","NOAA 2012",2010,2010,348900,"abundance (est.)",NA
"Grey seal Northwest Atlantic [abundance (est.)]","Gray seal Abundance Estimate North West Atlantic ","NOAA 2011",2004,2004,268990,"abundance (est.)",NA
"Grey seal Non-Sable Islands [pup production]","Gray seal Pup production Non-Sable Is ","Hemmil 2005",1984,1984,7004,"pup production",NA
"Grey seal Non-Sable Islands [pup production]","Gray seal Pup production Non-Sable Is ","Hemmil 2005",1985,1985,6395,"pup production",NA
"Grey seal Non-Sable Islands [pup production]","Gray seal Pup production Non-Sable Is ","Hemmil 2005",1986,1986,5515,"pup production",NA
"Grey seal Non-Sable Islands [pup production]","Gray seal Pup production Non-Sable Is ","Hemmil 2005",1989,1989,8928,"pup production",NA
"Grey seal Non-Sable Islands [pup production]","Gray seal Pup production Non-Sable Is ","Hemmil 2005",1990,1990,8184,"pup production",NA
"Grey seal Non-Sable Islands [pup production]","Gray seal Pup production Non-Sable Is ","Hemmil 2005",1996,1996,11100,"pup production",NA
"Grey seal Non-Sable Islands [pup production]","Gray seal Pup production Non-Sable Is ","Hemmil 2005",1997,1997,7259,"pup production",NA
"Grey seal Non-Sable Islands [pup production]","Gray seal Pup production Non-Sable Is ","Hemmil 2005",2000,2000,6182,"pup production",NA
"Grey seal Non-Sable Islands [pup production]","Gray seal Pup production Non-Sable Is ","Hemmil 2005",2004,2004,15900,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1962,1962,174,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1963,1963,314,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1964,1964,277,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1965,1965,275,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1967,1967,414,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1968,1968,625,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1969,1969,872,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1970,1970,870,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1971,1971,1081,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1972,1972,973,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1973,1973,1291,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1974,1974,1289,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1976,1976,2031,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1977,1977,2171,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1978,1978,2737,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1979,1979,2913,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1980,1980,3302,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1981,1981,3122,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1982,1982,4399,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1983,1983,5427,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1984,1984,5815,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1985,1985,5459,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1986,1986,6238,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1989,1989,9818,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1988,1988,8542,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1987,1987,7337,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1990,1990,10811,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1993,1993,15421,"pup production",NA
"Grey seal Sable Islands [pup production]","Gray seal Pup production Sable Is ","Bowen et al. 2003",1997,1997,25283,"pup production",NA
"Shortfin mako shark Scotian Shelf, Canada [cpue (standardized)]","Shortfin mako shark StandarizedCPUE Scotian Shelf_Canada","Campana et al. 2005",1988,1988,0.14,"cpue (standardized)",NA
"Shortfin mako shark Scotian Shelf, Canada [cpue (standardized)]","Shortfin mako shark StandarizedCPUE Scotian Shelf_Canada","Campana et al. 2005",1989,1989,-0.22,"cpue (standardized)",NA
"Shortfin mako shark Scotian Shelf, Canada [cpue (standardized)]","Shortfin mako shark StandarizedCPUE Scotian Shelf_Canada","Campana et al. 2005",1990,1990,0.12,"cpue (standardized)",NA
"Shortfin mako shark Scotian Shelf, Canada [cpue (standardized)]","Shortfin mako shark StandarizedCPUE Scotian Shelf_Canada","Campana et al. 2005",1991,1991,-0.06,"cpue (standardized)",NA
"Shortfin mako shark Scotian Shelf, Canada [cpue (standardized)]","Shortfin mako shark StandarizedCPUE Scotian Shelf_Canada","Campana et al. 2005",1992,1992,-0.05,"cpue (standardized)",NA
"Shortfin mako shark Scotian Shelf, Canada [cpue (standardized)]","Shortfin mako shark StandarizedCPUE Scotian Shelf_Canada","Campana et al. 2005",1993,1993,-0.08,"cpue (standardized)",NA
"Shortfin mako shark Scotian Shelf, Canada [cpue (standardized)]","Shortfin mako shark StandarizedCPUE Scotian Shelf_Canada","Campana et al. 2005",1994,1994,0.02,"cpue (standardized)",NA
"Shortfin mako shark Scotian Shelf, Canada [cpue (standardized)]","Shortfin mako shark StandarizedCPUE Scotian Shelf_Canada","Campana et al. 2005",1995,1995,0.01,"cpue (standardized)",NA
"Shortfin mako shark Scotian Shelf, Canada [cpue (standardized)]","Shortfin mako shark StandarizedCPUE Scotian Shelf_Canada","Campana et al. 2005",1996,1996,-0.08,"cpue (standardized)",NA
"Shortfin mako shark Scotian Shelf, Canada [cpue (standardized)]","Shortfin mako shark StandarizedCPUE Scotian Shelf_Canada","Campana et al. 2005",1997,1997,-0.04,"cpue (standardized)",NA
"Shortfin mako shark Scotian Shelf, Canada [cpue (standardized)]","Shortfin mako shark StandarizedCPUE Scotian Shelf_Canada","Campana et al. 2005",1998,1998,-0.03,"cpue (standardized)",NA
"Shortfin mako shark Scotian Shelf, Canada [cpue (standardized)]","Shortfin mako shark StandarizedCPUE Scotian Shelf_Canada","Campana et al. 2005",1999,1999,0.01,"cpue (standardized)",NA
"Shortfin mako shark Scotian Shelf, Canada [cpue (standardized)]","Shortfin mako shark StandarizedCPUE Scotian Shelf_Canada","Campana et al. 2005",2000,2000,-0.02,"cpue (standardized)",NA
"Shortfin mako shark Scotian Shelf, Canada [cpue (standardized)]","Shortfin mako shark StandarizedCPUE Scotian Shelf_Canada","Campana et al. 2005",2001,2001,-0.02,"cpue (standardized)",NA
"Shortfin mako shark Scotian Shelf, Canada [cpue (standardized)]","Shortfin mako shark StandarizedCPUE Scotian Shelf_Canada","Campana et al. 2005",2002,2002,-0.01,"cpue (standardized)",NA
"Shortfin mako shark Scotian Shelf, Canada [cpue (standardized)]","Shortfin mako shark StandarizedCPUE Scotian Shelf_Canada","Campana et al. 2005",2003,2003,0.01,"cpue (standardized)",NA
"Shortfin mako shark Northwest Atlantic [cpue (standardized)]","Shortfin mako shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1986,1986,1.6,"cpue (standardized)",NA
"Shortfin mako shark Northwest Atlantic [cpue (standardized)]","Shortfin mako shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1987,1987,1.6,"cpue (standardized)",NA
"Shortfin mako shark Northwest Atlantic [cpue (standardized)]","Shortfin mako shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1988,1988,1.28,"cpue (standardized)",NA
"Shortfin mako shark Northwest Atlantic [cpue (standardized)]","Shortfin mako shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1989,1989,1.45,"cpue (standardized)",NA
"Shortfin mako shark Northwest Atlantic [cpue (standardized)]","Shortfin mako shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1990,1990,1.16,"cpue (standardized)",NA
"Shortfin mako shark Northwest Atlantic [cpue (standardized)]","Shortfin mako shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1991,1991,1.05,"cpue (standardized)",NA
"Shortfin mako shark Northwest Atlantic [cpue (standardized)]","Shortfin mako shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1992,1992,1.24,"cpue (standardized)",NA
"Shortfin mako shark Northwest Atlantic [cpue (standardized)]","Shortfin mako shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1993,1993,1.08,"cpue (standardized)",NA
"Shortfin mako shark Northwest Atlantic [cpue (standardized)]","Shortfin mako shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1994,1994,1.07,"cpue (standardized)",NA
"Shortfin mako shark Northwest Atlantic [cpue (standardized)]","Shortfin mako shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1995,1995,1.02,"cpue (standardized)",NA
"Shortfin mako shark Northwest Atlantic [cpue (standardized)]","Shortfin mako shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1996,1996,0.92,"cpue (standardized)",NA
"Shortfin mako shark Northwest Atlantic [cpue (standardized)]","Shortfin mako shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1997,1997,0.8,"cpue (standardized)",NA
"Shortfin mako shark Northwest Atlantic [cpue (standardized)]","Shortfin mako shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1998,1998,0.74,"cpue (standardized)",NA
"Shortfin mako shark Northwest Atlantic [cpue (standardized)]","Shortfin mako shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1999,1999,0.72,"cpue (standardized)",NA
"Shortfin mako shark Northwest Atlantic [cpue (standardized)]","Shortfin mako shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",2000,2000,0.69,"cpue (standardized)",NA
"Shortfin mako shark Northwest Atlantic [cpue (standardized)]","Shortfin mako shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",2001,2001,0.74,"cpue (standardized)",NA
"Shortfin mako shark Northwest Atlantic [cpue (standardized)]","Shortfin mako shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",2002,2002,0.67,"cpue (standardized)",NA
"Shortfin mako shark Northwest Atlantic [cpue (standardized)]","Shortfin mako shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",2003,2003,0.72,"cpue (standardized)",NA
"Shortfin mako shark Northwest Atlantic [cpue (standardized)]","Shortfin mako shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",2004,2004,0.79,"cpue (standardized)",NA
"Shortfin mako shark Northwest Atlantic [cpue (standardized)]","Shortfin mako shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",2005,2005,0.93,"cpue (standardized)",NA
"Shortfin mako shark Northwest Atlantic [cpue (standardized)]","Shortfin mako shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",2006,2006,0.92,"cpue (standardized)",NA
"Common and bigeye thresher sharks Northwest Atlantic [cpue (standardized)]","Common and Bigeye Thresher shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1986,1986,1.37,"cpue (standardized)",NA
"Common and bigeye thresher sharks Northwest Atlantic [cpue (standardized)]","Common and Bigeye Thresher shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1987,1987,1.67,"cpue (standardized)",NA
"Common and bigeye thresher sharks Northwest Atlantic [cpue (standardized)]","Common and Bigeye Thresher shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1988,1988,1.69,"cpue (standardized)",NA
"Common and bigeye thresher sharks Northwest Atlantic [cpue (standardized)]","Common and Bigeye Thresher shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1989,1989,1.58,"cpue (standardized)",NA
"Common and bigeye thresher sharks Northwest Atlantic [cpue (standardized)]","Common and Bigeye Thresher shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1990,1990,1.2,"cpue (standardized)",NA
"Common and bigeye thresher sharks Northwest Atlantic [cpue (standardized)]","Common and Bigeye Thresher shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1991,1991,0.97,"cpue (standardized)",NA
"Common and bigeye thresher sharks Northwest Atlantic [cpue (standardized)]","Common and Bigeye Thresher shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1992,1992,0.97,"cpue (standardized)",NA
"Common and bigeye thresher sharks Northwest Atlantic [cpue (standardized)]","Common and Bigeye Thresher shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1993,1993,0.97,"cpue (standardized)",NA
"Common and bigeye thresher sharks Northwest Atlantic [cpue (standardized)]","Common and Bigeye Thresher shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1994,1994,0.72,"cpue (standardized)",NA
"Common and bigeye thresher sharks Northwest Atlantic [cpue (standardized)]","Common and Bigeye Thresher shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1995,1995,0.68,"cpue (standardized)",NA
"Common and bigeye thresher sharks Northwest Atlantic [cpue (standardized)]","Common and Bigeye Thresher shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1996,1996,0.66,"cpue (standardized)",NA
"Common and bigeye thresher sharks Northwest Atlantic [cpue (standardized)]","Common and Bigeye Thresher shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1997,1997,0.68,"cpue (standardized)",NA
"Common and bigeye thresher sharks Northwest Atlantic [cpue (standardized)]","Common and Bigeye Thresher shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1998,1998,0.47,"cpue (standardized)",NA
"Common and bigeye thresher sharks Northwest Atlantic [cpue (standardized)]","Common and Bigeye Thresher shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",1999,1999,0.53,"cpue (standardized)",NA
"Common and bigeye thresher sharks Northwest Atlantic [cpue (standardized)]","Common and Bigeye Thresher shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",2000,2000,0.53,"cpue (standardized)",NA
"Common and bigeye thresher sharks Northwest Atlantic [cpue (standardized)]","Common and Bigeye Thresher shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",2001,2001,0.44,"cpue (standardized)",NA
"Common and bigeye thresher sharks Northwest Atlantic [cpue (standardized)]","Common and Bigeye Thresher shark StandarizedCPUE North West Atlantic ","Cortes et al. 2007",2002,2002,0.44,"cpue (standardized)",NA
