"stocklong","reference","year","n","n_sd","n_units","catch","sp","sp_sd","prey1","prey1_sd1","prey1_sd2","prey1_name"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",2003,11181,0.471831877452842,"breeding adults",NA,5523,0.23306747689581,127.6,0.060571537073958,-357.351697756098,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",2004,16704,0.704899354348652,"breeding adults",NA,-5051,-0.213149343798793,599.6,0.284629260419634,114.648302243902,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",2005,11653,0.491750010549859,"breeding adults",NA,3919,0.165379583913576,2002.5,0.950583879236685,1517.5483022439,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",2006,15572,0.657129594463434,"breeding adults",NA,4989,0.210532978858083,1263.6,0.599829108516092,778.648302243902,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",2007,20561,0.867662573321518,"breeding adults",NA,-15744,-0.664387897202178,213.2,0.101205734358682,-271.751697756098,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",2008,4817,0.20327467611934,"breeding adults",NA,-3506,-0.147951217453686,146.6,0.0695908098357543,-338.351697756098,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",2009,1311,0.0553234586656539,"breeding adults",NA,3741,0.157868084567667,18.7,0.00887686319187316,-466.251697756098,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",2010,5052,0.213191543233321,"breeding adults",NA,-180,-0.00759589821496392,15,0.00712047849615494,-469.951697756098,"Northern anchovy"
"Brandt cormorant South Farallon Island [breeding adults]","Elliot et al. 2015",2011,4872,0.205595645018357,"breeding adults",NA,-1367,-0.0576866269991982,15.6,0.00740529763600114,-469.351697756098,"Northern anchovy"
"California gull Lake Mono [breeding adults]","Wrege et al. 2006",1983,45095,0.696813770937635,"breeding adults",NA,-181,-0.00279683540391866,1137,0.00983904465212876,-44206.75,"California market squid"
"California gull Lake Mono [breeding adults]","Wrege et al. 2006",1984,44914,0.694016935533717,"breeding adults",NA,-265,-0.00409481426540577,1137,0.00983904465212876,-44206.75,"California market squid"
"California gull Lake Mono [breeding adults]","Wrege et al. 2006",1985,44649,0.689922121268311,"breeding adults",NA,4963,0.0766889177328636,13072,0.113118726202838,-32271.75,"California market squid"
"California gull Lake Mono [breeding adults]","Wrege et al. 2006",1986,49612,0.766611039001174,"breeding adults",NA,-1868,-0.0288645775387848,23302,0.201644167532018,-22041.75,"California market squid"
"California gull Lake Mono [breeding adults]","Wrege et al. 2006",1987,47744,0.73774646146239,"breeding adults",NA,-2627,-0.0405927436800791,22923,0.198364485981308,-22420.75,"California market squid"
"California gull Lake Mono [breeding adults]","Wrege et al. 2006",1988,45117,0.69715371778231,"breeding adults",NA,-857,-0.0132424748130292,43572,0.377050882658359,-1771.75,"California market squid"
"California gull Lake Mono [breeding adults]","Wrege et al. 2006",1989,44260,0.683911242969281,"breeding adults",NA,17108,0.264355028122875,29932,0.25901696088612,-15411.75,"California market squid"
"California gull Lake Mono [breeding adults]","Wrege et al. 2006",1990,61368,0.948266271092157,"breeding adults",NA,-23880,-0.368996847765622,29175,0.252466251298027,-16168.75,"California market squid"
"California gull Lake Mono [breeding adults]","Wrege et al. 2006",1991,37488,0.579269423326534,"breeding adults",NA,27228,0.420730576673466,35047,0.30327968155071,-10296.75,"California market squid"
"California gull Lake Mono [breeding adults]","Wrege et al. 2006",1992,64716,1,"breeding adults",NA,-3724,-0.0575437295259287,17050,0.147542402215299,-28293.75,"California market squid"
"California gull Lake Mono [breeding adults]","Wrege et al. 2006",1993,60992,0.942456270474071,"breeding adults",NA,2181,0.0337010940107547,49635,0.429517133956386,4291.25,"California market squid"
"California gull Lake Mono [breeding adults]","Wrege et al. 2006",1994,63173,0.976157364484826,"breeding adults",NA,-13170,-0.203504542926015,57970,0.501644167532018,12626.25,"California market squid"
"California gull Lake Mono [breeding adults]","Wrege et al. 2006",1995,50003,0.772652821558811,"breeding adults",NA,-2374,-0.0366833549663144,85250,0.737712011076497,39906.25,"California market squid"
"California gull Lake Mono [breeding adults]","Wrege et al. 2006",1996,47629,0.735969466592496,"breeding adults",NA,2097,0.0324031151492676,112910,0.977068189685012,67566.25,"California market squid"
"California gull Lake Mono [breeding adults]","Wrege et al. 2006",1997,49726,0.768372581741764,"breeding adults",NA,-14435,-0.223051486494839,9662,0.0836102457597785,-35681.75,"California market squid"
"California gull Lake Mono [breeding adults]","Wrege et al. 2006",1998,35291,0.545321095246925,"breeding adults",NA,5217,0.0806137585759318,10609,0.0918051228798892,-34734.75,"California market squid"
"California gull Lake Mono [breeding adults]","Wrege et al. 2006",1999,40508,0.625934853822857,"breeding adults",NA,8758,0.135329748439335,115560,1,70216.25,"California market squid"
"California gull Lake Mono [breeding adults]","Wrege et al. 2006",2000,49266,0.761264602262192,"breeding adults",NA,-1531,-0.023657209963533,112910,0.977068189685012,67566.25,"California market squid"
"California gull Lake Mono [breeding adults]","Wrege et al. 2006",2001,47735,0.737607392298659,"breeding adults",NA,-1952,-0.030162556400272,93207,0.806568016614746,47863.25,"California market squid"
"California gull Lake Mono [breeding adults]","Wrege et al. 2006",2002,45783,0.707444835898387,"breeding adults",NA,-5748,-0.0888188392360467,42815,0.370500173070267,-2528.75,"California market squid"
"California sea lion Southern SCB [pups]","NOAA 2011",1975,12200,0.217050953600911,"pups",NA,-598,-0.0106390549387987,1892.7,0.898461976644831,1348.18946078125,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",1976,11602,0.206411898662112,"pups",NA,-201,-0.00357600341588386,550.127451,0.261144712332669,5.61691178125,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",1977,11401,0.202835895246228,"pups",NA,-102,-0.00181468830059778,550.127451,0.261144712332669,5.61691178125,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",1978,11299,0.201021206945631,"pups",NA,3274,0.0582479362368346,495.5,0.235213139656318,-49.01053921875,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",1979,14573,0.259269143182465,"pups",NA,2182,0.038820096783376,453.1,0.21508592044052,-91.4105392187499,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",1980,16755,0.298089239965841,"pups",NA,-797,-0.0141794762311415,550.127451,0.261144712332669,5.61691178125,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",1981,15958,0.2839097637347,"pups",NA,3274,0.0582479362368346,634.5,0.301196240387354,89.98946078125,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",1982,19232,0.342157699971534,"pups",NA,-6853,-0.121922146313692,330.5,0.156887876198614,-214.01053921875,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",1983,12379,0.220235553657842,"pups",NA,1586,0.0282166239681184,550.127451,0.261144712332669,5.61691178125,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",1984,13965,0.248452177625961,"pups",NA,1189,0.0211535724452035,415.5,0.197237254343492,-129.01053921875,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",1985,15154,0.269605750071164,"pups",NA,2182,0.038820096783376,550.127451,0.261144712332669,5.61691178125,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",1986,17336,0.30842584685454,"pups",NA,1983,0.0352796754910333,2106.6,1,1562.08946078125,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",1987,19319,0.343705522345574,"pups",NA,196,0.00348704810703103,483.4,0.229469287002753,-61.11053921875,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",1988,19515,0.347192570452605,"pups",NA,4367,0.0776935667520638,703.9,0.334140320896231,159.38946078125,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",1989,23882,0.424886137204668,"pups",NA,691,0.0122936236834614,173.9,0.0825500806987563,-370.61053921875,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",1990,24573,0.43717976088813,"pups",NA,5360,0.0953600910902363,76,0.036077091047185,-468.51053921875,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",1991,29933,0.532539851978366,"pups",NA,-9336,-0.166097352690009,394.8,0.187410994018798,-149.71053921875,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",1992,20597,0.366442499288358,"pups",NA,2281,0.0405814118986621,142.2,0.0675021361435488,-402.31053921875,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",1993,22878,0.40702391118702,"pups",NA,12707,0.226071021918588,128.4,0.0609512959270863,-416.11053921875,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",1994,35585,0.633094933105608,"pups",NA,594,0.0105678906917165,369.4,0.175353650431976,-175.11053921875,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",1995,36179,0.643662823797324,"pups",NA,5061,0.0900405636208369,146.2,0.0694009304091902,-398.31053921875,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",1996,41240,0.733703387418161,"pups",NA,196,0.00348704810703103,452.6,0.214848571157315,-91.9105392187499,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",1997,41436,0.737190435525192,"pups",NA,-26513,-0.471694420723029,261.4,0.12408620525966,-283.11053921875,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",1998,14923,0.265496014802163,"pups",NA,27302,0.485731568460006,100,0.0474698566410329,-444.51053921875,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",1999,42225,0.751227583262169,"pups",NA,7345,0.130675348704811,197.6,0.0938004367226811,-346.91053921875,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",2000,49570,0.88190293196698,"pups",NA,-399,-0.00709863364645602,186.2,0.0883888730656033,-358.31053921875,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",2001,49171,0.874804298320524,"pups",NA,-3677,-0.0654177341303729,371.7,0.176445457134719,-172.81053921875,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",2002,45494,0.809386564190151,"pups",NA,-8938,-0.159016510105323,164.3,0.0779929744612171,-380.21053921875,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",2003,36556,0.650370054084828,"pups",NA,11909,0.211873754625676,127.6,0.060571537073958,-416.91053921875,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",2004,48465,0.862243808710504,"pups",NA,7743,0.137756191289496,599.6,0.284629260419634,55.0894607812501,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",2005,56208,1,"pups",NA,-1889,-0.0336073156846001,2002.5,0.950583879236685,1457.98946078125,"Northern anchovy"
"California sea lion Southern SCB [pups]","NOAA 2011",2006,54319,0.9663926843154,"pups",NA,5458,0.0971036151437518,1263.6,0.599829108516092,719.08946078125,"Northern anchovy"
"Elegant tern San Diego Bay [breeding pairs]","Schaffner 1986",1959,29,0.00153878807173936,"breeding pairs",NA,8,0.000424493261169479,539.6,0.269463171036205,161.714328807692,"Northern anchovy"
"Elegant tern San Diego Bay [breeding pairs]","Schaffner 1986",1979,450,0.0238777459407832,"breeding pairs",NA,157,0.00833068025045102,453.1,0.226267166042447,75.2143288076923,"Northern anchovy"
"Elegant tern San Diego Bay [breeding pairs]","Schaffner 1986",1980,607,0.0322084261912342,"breeding pairs",NA,254,0.013477661042131,550.127451,0.274720325093633,172.241779807692,"Northern anchovy"
"Elegant tern San Diego Bay [breeding pairs]","Schaffner 1986",1981,861,0.0456860872333652,"breeding pairs",NA,-60,-0.00318369945877109,634.5,0.31685393258427,256.614328807692,"Northern anchovy"
"Elegant tern San Diego Bay [breeding pairs]","Schaffner 1986",1982,801,0.0425023877745941,"breeding pairs",NA,-364,-0.0193144433832113,330.5,0.165043695380774,-47.3856711923077,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1980,15141,0.152843673658921,"breeding pairs",NA,1391,0.0140417112515394,550.127451,0.261144712332669,116.00612746875,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1981,16532,0.16688538491046,"breeding pairs",NA,1390,0.0140316165633644,634.5,0.301196240387354,200.37867646875,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1982,17922,0.180917001473824,"breeding pairs",NA,2340,0.0236215703296925,330.5,0.156887876198614,-103.62132353125,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1983,20262,0.204538571803517,"breeding pairs",NA,1392,0.0140518059397145,550.127451,0.261144712332669,116.00612746875,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1984,21654,0.218590377743232,"breeding pairs",NA,3284,0.0331509559669702,415.5,0.197237254343492,-18.62132353125,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1985,24938,0.251741333710202,"breeding pairs",NA,-10912,-0.110153237366498,550.127451,0.261144712332669,116.00612746875,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1986,14026,0.141588096343704,"breeding pairs",NA,13223,0.133482061739113,2106.6,1,1672.47867646875,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1987,27249,0.275070158082817,"breeding pairs",NA,1865,0.0188265934465284,483.4,0.229469287002753,49.27867646875,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1988,29114,0.293896751529345,"breeding pairs",NA,918,0.00926692374472553,703.9,0.334140320896231,269.77867646875,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1989,30032,0.303163675274071,"breeding pairs",NA,-5706,-0.0576002907270194,173.9,0.0825500806987563,-260.22132353125,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1990,24326,0.245563384547051,"breeding pairs",NA,5651,0.0570450828773899,76,0.036077091047185,-358.12132353125,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1991,29977,0.302608467424441,"breeding pairs",NA,-10913,-0.110163332054673,394.8,0.187410994018798,-39.32132353125,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1992,19064,0.192445135369768,"breeding pairs",NA,2813,0.0283963578365064,142.2,0.0675021361435488,-291.92132353125,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1993,21877,0.220841493206275,"breeding pairs",NA,13693,0.138226565181402,128.4,0.0609512959270863,-305.72132353125,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1994,35570,0.359068058387676,"breeding pairs",NA,-1446,-0.014596919101169,369.4,0.175353650431976,-64.72132353125,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1995,34124,0.344471139286507,"breeding pairs",NA,12749,0.128697179544124,146.2,0.0694009304091902,-287.92132353125,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1996,46873,0.473168318830631,"breeding pairs",NA,21265,0.214663544043125,452.6,0.214848571157315,18.4786764687501,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1997,68138,0.687831862873756,"breeding pairs",NA,-68138,-0.687831862873756,261.4,0.12408620525966,-172.72132353125,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1998,0,0,"breeding pairs",NA,63821,0.644253094021926,100,0.0474698566410329,-334.12132353125,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1999,63821,0.644253094021926,"breeding pairs",NA,30258,0.305445074801639,197.6,0.0938004367226811,-236.52132353125,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2000,94079,0.949698168823565,"breeding pairs",NA,-44507,-0.449284286608387,186.2,0.0883888730656033,-247.92132353125,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2001,49572,0.500413882215178,"breeding pairs",NA,34514,0.34840806767479,371.7,0.176445457134719,-62.42132353125,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2002,84086,0.848821949889968,"breeding pairs",NA,-82362,-0.831418707476126,164.3,0.0779929744612171,-269.82132353125,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2003,1724,0.0174032424138418,"breeding pairs",NA,83253,0.840413074640124,127.6,0.060571537073958,-306.52132353125,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2004,84977,0.857816317053966,"breeding pairs",NA,-18008,-0.181785144656882,599.6,0.284629260419634,165.47867646875,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2005,66969,0.676031172397085,"breeding pairs",NA,11801,0.119127415154146,2002.5,0.950583879236685,1568.37867646875,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2006,78770,0.795158587551231,"breeding pairs",NA,-4286,-0.0432658335184026,1263.6,0.599829108516092,829.47867646875,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2007,74484,0.751892754032828,"breeding pairs",NA,24578,0.248107245967172,213.2,0.101205734358682,-220.92132353125,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2008,99062,1,"breeding pairs",NA,-91353,-0.922180048858291,146.6,0.0695908098357543,-287.52132353125,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2009,7709,0.0778199511417092,"breeding pairs",NA,-7125,-0.0719246532474612,18.7,0.00887686319187316,-415.42132353125,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2010,584,0.00589529789424805,"breeding pairs",NA,80887,0.81652904241788,15,0.00712047849615494,-419.12132353125,"Northern anchovy"
"Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2011,81471,0.822424340312128,"breeding pairs",NA,72529,0.732157638650542,15.6,0.00740529763600114,-418.52132353125,"Northern anchovy"
"Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",1991,147,0.00780006367398918,"breeding pairs",NA,-147,-0.00780006367398918,394.8,0.197153558052434,16.9143288076923,"Northern anchovy"
"Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",1992,0,0,"breeding pairs",NA,153,0.00811843361986628,142.2,0.0710112359550562,-235.685671192308,"Northern anchovy"
"Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",1993,153,0.00811843361986628,"breeding pairs",NA,-153,-0.00811843361986628,128.4,0.0641198501872659,-249.485671192308,"Northern anchovy"
"Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",1994,0,0,"breeding pairs",NA,1893,0.100445717924228,369.4,0.184469413233458,-8.48567119230773,"Northern anchovy"
"Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",1995,1893,0.100445717924228,"breeding pairs",NA,-1893,-0.100445717924228,146.2,0.0730087390761548,-231.685671192308,"Northern anchovy"
"Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",1996,0,0,"breeding pairs",NA,0,0,452.6,0.22601747815231,74.7143288076923,"Northern anchovy"
"Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",1997,0,0,"breeding pairs",NA,0,0,261.4,0.130536828963795,-116.485671192308,"Northern anchovy"
"Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",1998,0,0,"breeding pairs",NA,3061,0.162421734054972,100,0.0499375780274657,-277.885671192308,"Northern anchovy"
"Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",1999,3061,0.162421734054972,"breeding pairs",NA,-3061,-0.162421734054972,197.6,0.0986766541822722,-180.285671192308,"Northern anchovy"
"Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",2000,0,0,"breeding pairs",NA,0,0,186.2,0.0929837702871411,-191.685671192308,"Northern anchovy"
"Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",2001,0,0,"breeding pairs",NA,0,0,371.7,0.18561797752809,-6.18567119230772,"Northern anchovy"
"Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",2002,0,0,"breeding pairs",NA,10371,0.550302451448583,164.3,0.0820474406991261,-213.585671192308,"Northern anchovy"
"Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",2003,10371,0.550302451448583,"breeding pairs",NA,-9246,-0.490608086596625,127.6,0.0637203495630462,-250.285671192308,"Northern anchovy"
"Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",2004,1125,0.059694364851958,"breeding pairs",NA,2027,0.107555980048817,599.6,0.299425717852684,221.714328807692,"Northern anchovy"
