"pred_comm_name","ocean","prey_comm_name","nrefs","refs","prop_wt","prop_n","prop_energy","prop_occur","prop_use","prop_use_type"
"Pollock","NW Atlantic","Atlantic herring",2,"fishecology.org, Smith and Link 2010",0.081,NA,NA,NA,0.081,"wt"
"Pollock","NW Atlantic","Atlantic mackerel",2,"Bowman and Michael 1982, Smith and Link 2010",0.0423333333333333,NA,NA,NA,0.0423333333333333,"wt"
"Pollock","NW Atlantic","Longfin inshore squid",3,"Bowman et al. 2000, Smith and Link 2010, Staudinger and Juanes 2010a",0.378,NA,NA,NA,0.378,"wt"
"Pollock","NW Atlantic","Northern shortfin squid",2,"Bowman et al. 2000, fishecology.org",0.046,NA,NA,NA,0.046,"wt"
"Porbeagle shark","NW Atlantic","Atlantic herring",1,"Joyce et al. 2002 ",0.062,NA,NA,NA,0.062,"wt"
"Porbeagle shark","NW Atlantic","Atlantic mackerel",1,"Joyce et al. 2002 ",0.0311,NA,NA,NA,0.0311,"wt"
"Porbeagle shark","NW Atlantic","Northern shortfin squid",2,"Bowman et al. 2000, Joyce et al. 2002 ",0.37455,NA,NA,NA,0.37455,"wt"
"Red drum","NW Atlantic","Gulf menhaden",1,"Scharf and Schlight 2000",0.38925,NA,NA,NA,0.38925,"wt"
"Red hake","NW Atlantic","Atlantic herring",2,"fishecology.org, Smith and Link 2010",0.034,NA,NA,NA,0.034,"wt"
"Red hake","NW Atlantic","Atlantic mackerel",1,"Bowman et al. 2000",0.051,NA,NA,NA,0.051,"wt"
"Red hake","NW Atlantic","Longfin inshore squid",1,"Smith and Link 2010",0.056,NA,NA,NA,0.056,"wt"
"Red hake","NW Atlantic","Northern shortfin squid",2,"fishecology.org, Smith and Link 2010",0.02,NA,NA,NA,0.02,"wt"
"Rhinoceros auklet","NE Pacific","California market squid",3,"Baltz and Morejohn 1977, Carle et al. 2015, Morejohn et al. 1978",0.46,0.492,0.03375,0.846,0.46,"wt"
"Rhinoceros auklet","NE Pacific","Northern anchovy",2,"Baltz and Morejohn 1977, Carle et al. 2015",0.205,0.17,0.40375,0.385,0.205,"wt"
"Sablefish","NE Pacific","Northern anchovy",1,"Buckley et al. 1999",0.0638,0.0009,NA,0.031,0.0638,"wt"
"Sablefish","NE Pacific","Pacific hake",1,"Buckley et al. 1999",0.11765,0.02585,NA,0.11005,0.11765,"wt"
"Sandbar shark","NW Atlantic","Atlantic menhaden",1,"Stillwell 1993",0.0336,NA,NA,NA,0.0336,"wt"
"Sandbar shark","NW Atlantic","Northern shortfin squid",1,"Stillwell 1993",0.0164,NA,NA,NA,0.0164,"wt"
"Scup","NW Atlantic","Longfin inshore squid",1,"Bowman et al. 2000",0.009,NA,NA,NA,0.009,"wt"
"Short-beaked common dolphin","NE Pacific","California market squid",1,"Osnes-Erie 1999",NA,0.4479,NA,NA,0.4479,"n"
"Short-beaked common dolphin","NE Pacific","Northern anchovy",1,"Osnes-Erie 1999",NA,0.2515,NA,NA,0.2515,"n"
"Short-beaked common dolphin","NE Pacific","Pacific chub mackerel",1,"Osnes-Erie 1999",NA,0.1667,NA,NA,0.1667,"n"
"Short-beaked common dolphin","NE Pacific","Pacific hake",1,"Osnes-Erie 1999",NA,0.6088,NA,NA,0.6088,"n"
"Short-beaked common dolphin","NE Pacific","Pacific sardine",1,"Osnes-Erie 1999",NA,0.2,NA,NA,0.2,"n"
"Short-beaked common dolphin","NW Atlantic","Atlantic mackerel",1,"Overholtz and Waring 1991",NA,0.0834,NA,NA,0.0834,"n"
"Short-tailed shearwater","NE Pacific","California market squid",2,"Baltz and Morejohn 1977, Morejohn et al. 1978",NA,0.917,NA,0.667,0.917,"n"
"Shortfin mako shark","NE Pacific","California market squid",1,"Preti et al. 2012",0.0001,0.0131,NA,0.0336,0.0001,"wt"
"Shortfin mako shark","NE Pacific","Northern anchovy",1,"Preti et al. 2012",0.001,0.0131,NA,0.021,0.001,"wt"
"Shortfin mako shark","NE Pacific","Pacific chub mackerel",1,"Preti et al. 2012",0.0409,0.1058,NA,0.1513,0.0409,"wt"
"Shortfin mako shark","NE Pacific","Pacific sardine",1,"Preti et al. 2012",0.0211,0.1522,NA,0.1261,0.0211,"wt"
"Shortfin mako shark","NW Atlantic","Atlantic mackerel",2,"Bowman et al. 2000, Stillwell and Kohler 1982",0.006,NA,NA,NA,0.006,"wt"
"Shortfin mako shark","NW Atlantic","Atlantic menhaden",1,"Stillwell and Kohler 1982",0.001,NA,NA,NA,0.001,"wt"
"Shortfin mako shark","NW Atlantic","Longfin inshore squid",1,"Bowman et al. 2000",0.115,NA,NA,NA,0.115,"wt"
"Shortfin mako shark","NW Atlantic","Northern shortfin squid",3,"Bowman et al. 2000, Logan et al. 2013, Stillwell and Kohler 1982",0.341333333333333,NA,NA,NA,0.341333333333333,"wt"
"Shortspine thornyhead","NE Pacific","Pacific hake",1,"Buckley et al. 1999",0.224633333333333,0.0776666666666667,NA,0.0900333333333333,0.224633333333333,"wt"
"Silky shark","NE Pacific","Pacific chub mackerel",1,"Cabrera-Chavez-Costa et al. 2010",0.092,NA,NA,NA,0.092,"wt"
"Silky shark","NW Atlantic","Atlantic menhaden",1,"Bowman et al. 2000",0.169,NA,NA,NA,0.169,"wt"
"Silky shark","NW Atlantic","Northern shortfin squid",1,"Bowman et al. 2000",0.292,NA,NA,NA,0.292,"wt"
"Silver hake","NW Atlantic","Atlantic herring",5,"Bowman et al. 2000, fishecology.org, Garrison and Link 2000, Nichols and Breder 1927 cited by Bowman 1984, Vinogradov 1984",0.083375,NA,NA,NA,0.083375,"wt"
"Silver hake","NW Atlantic","Atlantic mackerel",4,"Bowman and Michael 1982, Bowman et al. 2000, Overholtz et al. 1991, Vinogradov 1984",0.127833333333333,NA,NA,NA,0.127833333333333,"wt"
"Silver hake","NW Atlantic","Longfin inshore squid",5,"Bowman and Michael 1982, Bowman et al. 2000, Staudinger 2006, Staudinger and Juanes 2010a, Waldron 1992",0.0815,NA,NA,NA,0.0815,"wt"
"Silver hake","NW Atlantic","Northern shortfin squid",3,"fishecology.org, Staudinger 2006, Waldron 1992",0.1075,NA,NA,NA,0.1075,"wt"
"Silvery John dory","NW Atlantic","Northern shortfin squid",1,"fishecology.org",NA,NA,NA,NA,NA,"none"
"Smooth dogfish","NW Atlantic","Longfin inshore squid",3,"Bowman et al. 2000, Smith and Link 2010, Staudinger and Juanes 2010a",0.034,NA,NA,NA,0.034,"wt"
"Smooth dogfish","NW Atlantic","Northern shortfin squid",1,"fishecology.org",NA,NA,NA,NA,NA,"none"
"Smooth hammerhead shark","NE Pacific","Pacific chub mackerel",2,"Aguilar Castro 2003, Ochoa Diaz 2009",0.130033333333333,0.0393,NA,0.0880666666666667,0.130033333333333,"wt"
"Smooth hammerhead shark","NE Pacific","Pacific sardine",2,"Aguilar Castro 2003, Ochoa Diaz 2009",0.02104,0.06106,NA,0.10148,0.02104,"wt"
"Smooth hammerhead shark","NW Atlantic","Atlantic herring",1,"Bowman et al. 2000",0.171,NA,NA,NA,0.171,"wt"
"Sooty shearwater","NE Pacific","California market squid",2,"Baltz and Morejohn 1977, Morejohn et al. 1978",0.2,0.366,NA,0.429,0.2,"wt"
"Sooty shearwater","NE Pacific","Northern anchovy",2,"Baltz and Morejohn 1977, Morejohn et al. 1978",0.18,0.086,NA,0.619,0.18,"wt"
"Soupfin shark","NE Pacific","Northern anchovy",1,"Brodeur et al. 1987",0.003,0.009,NA,0.083,0.003,"wt"
"Soupfin shark","NE Pacific","Pacific hake",1,"Brodeur et al. 1987",0.811,0.33,NA,0.583,0.811,"wt"
"Soupfin shark","NE Pacific","Pacific sardine",1,"Emmet et al. 2005",NA,NA,NA,0.154,0.154,"occur"
"Spinner shark","NW Atlantic","Gulf menhaden",2,"Bethea 2003, Bethea et al. 2004",0.6705,NA,NA,NA,0.6705,"wt"
"Spiny dogfish","NW Atlantic","Atlantic herring",4,"Bowman et al. 2000, fishecology.org, Overholtz and Link 2007, Vinogradov 1984",0.114478260869565,NA,NA,NA,0.114478260869565,"wt"
"Spiny dogfish","NW Atlantic","Atlantic mackerel",2,"Bowman et al. 2000, Overholtz et al. 1991",0.258,NA,NA,NA,0.258,"wt"
"Spiny dogfish","NW Atlantic","Atlantic menhaden",2,"Bangley 2012, Bowman et al. 2000",0.230475,NA,NA,NA,0.230475,"wt"
"Spiny dogfish","NW Atlantic","Longfin inshore squid",1,"Staudinger and Juanes 2010a",NA,NA,NA,NA,NA,"none"
"Spiny dogfish","NW Atlantic","Northern shortfin squid",1,"fishecology.org",NA,NA,NA,NA,NA,"none"
"Spotted hake","NW Atlantic","Atlantic herring",1,"Smith and Link 2010",0.03,NA,NA,NA,0.03,"wt"
"Spotted hake","NW Atlantic","Longfin inshore squid",2,"Smith and Link 2010, Staudinger and Juanes 2010a",0.099,NA,NA,NA,0.099,"wt"
"Spotted hake","NW Atlantic","Northern shortfin squid",1,"Smith and Link 2010",0.02875,NA,NA,NA,0.02875,"wt"
"Spotted spiny dogfish","NE Pacific","Northern anchovy",2,"Bigman 2013, Brodeur et al. 1987",0.077875,0.022,NA,0.0453333333333333,0.077875,"wt"
"Spotted spiny dogfish","NE Pacific","Pacific hake",2,"Bigman 2013, Brodeur et al. 1987",0.1469,0.0165,NA,0.09,0.1469,"wt"
"Spotted spiny dogfish","NE Pacific","Pacific sardine",1,"Bigman 2013",0.0621,NA,NA,NA,0.0621,"wt"
"Steller sea lion","NE Pacific","Northern anchovy",1,"Riemer et al. 2011",NA,NA,NA,0.14,0.14,"occur"
"Steller sea lion","NE Pacific","Pacific chub mackerel",1,"Riemer et al. 2011",NA,NA,NA,0.0105,0.0105,"occur"
"Steller sea lion","NE Pacific","Pacific hake",2,"Riemer et al. 2011, Tollit et al. 2015",NA,0.0616,0.074,0.583666666666667,0.0616,"n"
"Steller sea lion","NE Pacific","Pacific sardine",1,"Riemer et al. 2011",NA,NA,NA,0.0835,0.0835,"occur"
"Striped bass","NW Atlantic","Atlantic herring",4,"Austin and Walter 1998, Nelson et al. 2003, Nelson et al. 2006, Overton et al. 2008",0.0889,NA,NA,NA,0.0889,"wt"
"Striped bass","NW Atlantic","Atlantic mackerel",1,"Nelson et al. 2003",0.01,NA,NA,NA,0.01,"wt"
"Striped bass","NW Atlantic","Atlantic menhaden",5,"Austin and Walter 1998, Bowman et al. 2000, Griffin and Margraf 2003, Nelson et al. 2003, Overton et al. 2008",0.498505263157895,0.38,NA,NA,0.498505263157895,"wt"
"Striped bass","NW Atlantic","Longfin inshore squid",3,"Overton et al. 2008, Smith and Link 2010, Staudinger and Juanes 2010a",0.03,NA,NA,NA,0.03,"wt"
"Striped bass","NW Atlantic","Northern shortfin squid",1,"Nelson et al. 2003",0.00366666666666667,NA,NA,NA,0.00366666666666667,"wt"
"Striped marlin","NE Pacific","Pacific chub mackerel",1,"Abitia Cardenas 1992",0.26598,0.14568,NA,0.525,0.26598,"wt"
"Striped marlin","NE Pacific","Pacific hake",1,"Abitia Cardenas 1992",0.141533333333333,0.1454,NA,0.0948666666666667,0.141533333333333,"wt"
"Striped marlin","NE Pacific","Pacific sardine",1,"Abitia Cardenas 1992",0.1517,0.167366666666667,NA,0.232133333333333,0.1517,"wt"
"Summer flounder","NW Atlantic","Atlantic herring",1,"Smith and Link 2010",0.054,NA,NA,NA,0.054,"wt"
"Summer flounder","NW Atlantic","Atlantic mackerel",1,"Smith and Link 2010",0.0406666666666667,NA,NA,NA,0.0406666666666667,"wt"
"Summer flounder","NW Atlantic","Longfin inshore squid",4,"Bowman et al. 2000, Link et al. 2002b, Staudinger 2006, Staudinger and Juanes 2010a",0.1707,NA,NA,NA,0.1707,"wt"
"Summer flounder","NW Atlantic","Northern shortfin squid",2,"fishecology.org, Staudinger 2006",0.053,NA,NA,NA,0.053,"wt"
"Swordfish","NW Atlantic","Atlantic herring",1,"Bowman et al. 2000",0.002,NA,NA,NA,0.002,"wt"
"Swordfish","NW Atlantic","Atlantic mackerel",1,"Bowman et al. 2000",0.054,NA,NA,NA,0.054,"wt"
"Swordfish","NW Atlantic","Atlantic menhaden",1,"Bowman et al. 2000",0.005,NA,NA,NA,0.005,"wt"
"Swordfish","NW Atlantic","Northern shortfin squid",2,"Bowman et al. 2000, Logan et al. 2013",0.4785,NA,NA,NA,0.4785,"wt"
"Thorny skate","NW Atlantic","Atlantic herring",3,"Bowman et al. 2000, fishecology.org, Smith and Link 2010",0.2125,NA,NA,NA,0.2125,"wt"
"Thorny skate","NW Atlantic","Northern shortfin squid",1,"fishecology.org",NA,NA,NA,NA,NA,"none"
"Weakfish","NW Atlantic","Atlantic herring",1,"Smith and Link 2010",0.039,NA,NA,NA,0.039,"wt"
"Weakfish","NW Atlantic","Longfin inshore squid",2,"Smith and Link 2010, Staudinger and Juanes 2010a",0.054,NA,NA,NA,0.054,"wt"
"Weakfish","NW Atlantic","Northern shortfin squid",1,"Bowman et al. 2000",0.19,NA,NA,NA,0.19,"wt"
"Western Atlantic harbor seal","NW Atlantic","Atlantic herring",3,"Bowen and Harrison 1996, Selzer et al. 1986, Williams 1999",0.257666666666667,0.018,NA,NA,0.257666666666667,"wt"
"Western Atlantic harbor seal","NW Atlantic","Atlantic mackerel",1,"Williams 1999",0.016,NA,NA,NA,0.016,"wt"
"Western Atlantic harbor seal","NW Atlantic","Atlantic menhaden",1,"Williams 1999",NA,NA,NA,NA,NA,"none"
"Western Atlantic harbor seal","NW Atlantic","Longfin inshore squid",2,"Selzer et al. 1986, Williams 1999",NA,0.037,NA,NA,0.037,"n"
"Western Atlantic harbor seal","NW Atlantic","Northern shortfin squid",2,"Selzer et al. 1986, Williams 1999",NA,0.584,NA,NA,0.584,"n"
"Western gull","NE Pacific","California market squid",1,"Hunt and Butler 1980",0.173,NA,NA,0.1075,0.173,"wt"
"Western gull","NE Pacific","Northern anchovy",1,"Hunt and Butler 1980",0.182,NA,NA,0.135,0.182,"wt"
"Western gull","NE Pacific","Pacific hake",1,"Hunt and Butler 1980",0.05,NA,NA,0.03,0.05,"wt"
"White hake","NW Atlantic","Atlantic herring",3,"Bowman and Michael 1982, fishecology.org, Garrison and Link 2000",0.098,NA,NA,NA,0.098,"wt"
"White hake","NW Atlantic","Atlantic mackerel",1,"Smith and Link 2010",0.027,NA,NA,NA,0.027,"wt"
"White hake","NW Atlantic","Longfin inshore squid",2,"Bowman et al. 2000, Staudinger and Juanes 2010a",0.015,NA,NA,NA,0.015,"wt"
"White hake","NW Atlantic","Northern shortfin squid",2,"Bowman et al. 2000, fishecology.org",0.3095,NA,NA,NA,0.3095,"wt"
"White marlin","NW Atlantic","Northern shortfin squid",1,"Logan et al. 2013",0.541,NA,NA,NA,0.541,"wt"
"Widow rockfish","NE Pacific","Pacific hake",2,"Adams 1987, Lee and Sampson 2008",0.0375,NA,NA,0.054,0.0375,"wt"
"Winter skate","NW Atlantic","Atlantic herring",2,"fishecology.org, Smith and Link 2010",0.035,NA,NA,NA,0.035,"wt"
"Winter skate","NW Atlantic","Atlantic mackerel",1,"Smith and Link 2010",0.028,NA,NA,NA,0.028,"wt"
"Winter skate","NW Atlantic","Longfin inshore squid",1,"Smith and Link 2010",0.0155,NA,NA,NA,0.0155,"wt"
"Winter skate","NW Atlantic","Northern shortfin squid",1,"fishecology.org",NA,NA,NA,NA,NA,"none"
"Xantus's murrellet","NE Pacific","Northern anchovy",2,"Hamilton et al. 2004, Hunt et al. 1979 cited by Hamilton et al. 2004",NA,NA,NA,0.355,0.355,"occur"
"Yellowfin tuna","NW Atlantic","Northern shortfin squid",2,"Logan et al. 2013, Tefferet 2015",0.5055,NA,NA,NA,0.5055,"wt"
"Yellowtail rockfish","NE Pacific","California market squid",1,"Brodeur and Percy 1984",0.083,NA,NA,NA,0.083,"wt"
"Yellowtail rockfish","NE Pacific","Pacific hake",1,"Lee and Sampson 2008",0.163,NA,NA,0.172,0.163,"wt"
