"source","stocklong","stockid","dietid","region","area","location","pred_type","class","order","family","species","comm_name","reference","n_units","n_yr","diet_yn","diet_prop"
"Hilborn et al. (2017)","Pacific harbor seal Hood Canal [abundance (total est.)]",NA,"Pacific harbor seal NE Pacific","NE Pacific","Washington","Hood Canal","mammals","Mammalia","Carnivora","Phocidae","Phoca vitulina richardsi","Pacific harbor seal","Jeffries et al. 2003","abundance (total est.)",8,"Y",0.460916666666667
"Hilborn et al. (2017)","Pacific harbor seal Juan de la Fuca [abundance (total est.)]",NA,"Pacific harbor seal NE Pacific","NE Pacific","Washington","Juan de la Fuca","mammals","Mammalia","Carnivora","Phocidae","Phoca vitulina richardsi","Pacific harbor seal","Jeffries et al. 2003","abundance (total est.)",19,"Y",0.460916666666667
"Hilborn et al. (2017)","Pacific harbor seal Olympic Coast [abundance (total est.)]",NA,"Pacific harbor seal NE Pacific","NE Pacific","Washington","Olympic Coast","mammals","Mammalia","Carnivora","Phocidae","Phoca vitulina richardsi","Pacific harbor seal","Jeffries et al. 2003","abundance (total est.)",14,"Y",0.460916666666667
"Hilborn et al. (2017)","Pacific harbor seal Oregon [abundance (total est.)]",NA,"Pacific harbor seal NE Pacific","NE Pacific","Oregon","Oregon","mammals","Mammalia","Carnivora","Phocidae","Phoca vitulina richardsi","Pacific harbor seal","Brown et al. 2005","abundance (total est.)",20,"Y",0.460916666666667
"Hilborn et al. (2017)","Pacific harbor seal Puget Sound [abundance (total est.)]",NA,"Pacific harbor seal NE Pacific","NE Pacific","Washington","Puget Sound","mammals","Mammalia","Carnivora","Phocidae","Phoca vitulina richardsi","Pacific harbor seal","Jeffries et al. 2003","abundance (total est.)",10,"Y",0.460916666666667
"Hilborn et al. (2017)","Pacific harbor seal San Juan Islands [abundance (total est.)]",NA,"Pacific harbor seal NE Pacific","NE Pacific","Washington","San Juan Islands","mammals","Mammalia","Carnivora","Phocidae","Phoca vitulina richardsi","Pacific harbor seal","Jeffries et al. 2003","abundance (total est.)",18,"Y",0.460916666666667
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","SAURNWPAC","Pacific saury NE Pacific","NE Pacific","Russia Japan","Northwest Pacific","fish","Actinopterygii","Beloniformes","Scomberesocidae","Cololabis saira","Pacific saury","RAM","ram",8,"Y",0.046
"Hilborn et al. (2017)","Pacific white-sided dolphin CA/OR/WA [abundance (geometric mean)]",NA,"Pacific white-sided dolphin NE Pacific","NE Pacific","CA/OR/WA","CA/OR/WA","mammals","Mammalia","Cetacea","Delphinidae","Lagenorhynchus obliquidens","Pacific white-sided dolphin","NOAA 2008, NOAA 2013","abundance (geometric mean)",2,"Y",0.51
"Hilborn et al. (2017)","Pacific white-sided dolphin CA/OR/WA [abundance (weighted mean)]",NA,"Pacific white-sided dolphin NE Pacific","NE Pacific","CA/OR/WA","CA/OR/WA","mammals","Mammalia","Cetacea","Delphinidae","Lagenorhynchus obliquidens","Pacific white-sided dolphin","NOAA 2000, NOAA 2003","abundance (weighted mean)",2,"Y",0.51
"Hilborn et al. (2017)","Pink-footed shearwater Southern California [density (fall)]",NA,"Pink-footed shearwater NE Pacific","NE Pacific","California","Southern California","birds","Aves","Ciconiiformes","Procellariidae","Puffinus creatopus","Pink-footed shearwater","Hyrenbach and Veit 2003","density (fall)",11,"Y",0.801
"Hilborn et al. (2017)","Pink-footed shearwater Southern California [density (spring)]",NA,"Pink-footed shearwater NE Pacific","NE Pacific","California","Southern California","birds","Aves","Ciconiiformes","Procellariidae","Puffinus creatopus","Pink-footed shearwater","Hyrenbach and Veit 2003","density (spring)",12,"Y",0.801
"Hilborn et al. (2017)","Pink-footed shearwater Southern California [density (summer)]",NA,"Pink-footed shearwater NE Pacific","NE Pacific","California","Southern California","birds","Aves","Ciconiiformes","Procellariidae","Puffinus creatopus","Pink-footed shearwater","Hyrenbach and Veit 2003","density (summer)",11,"Y",0.801
"Hilborn et al. (2017)","Pink-footed shearwater Southern California [density (winter)]",NA,"Pink-footed shearwater NE Pacific","NE Pacific","California","Southern California","birds","Aves","Ciconiiformes","Procellariidae","Puffinus creatopus","Pink-footed shearwater","Hyrenbach and Veit 2003","density (winter)",11,"Y",0.801
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","POLL5YZ","Pollock NW Atlantic","NW Atlantic","US East Coast","Gulf of Maine / Georges Bank","fish","Actinopterygii","Gadiformes","Gadidae","Pollachius virens","Pollock","RAM","ram",40,"Y",0.547333333333333
"Hilborn et al. (2017)","Pollock NAFO-4VWX5",NA,"Pollock NW Atlantic","NW Atlantic","Canada East Coast","NAFO-4VWX5","fish","Actinopterygii","Gadiformes","Gadidae","Pollachius virens","Pollock","RAM","ram",35,"Y",0.547333333333333
"Hilborn et al. (2017)","Red drum Florida-South Carolina [abundance (ages 1-3)]",NA,"Red drum NW Atlantic","NW Atlantic","NW Atlantic","Florida-South Carolina","fish","Actinopterygii","Perciformes","Sciaenidae","Sciaenops ocellatus","Red drum","Red Drum Stock Assessment Summary 2009","abundance (ages 1-3)",18,"Y",0.38925
"Hilborn et al. (2017)","Red drum North of North Carolina [abundance (ages 1-3)]",NA,"Red drum NW Atlantic","NW Atlantic","NW Atlantic","North of North Carolina","fish","Actinopterygii","Perciformes","Sciaenidae","Sciaenops ocellatus","Red drum","Red Drum Stock Assessment Summary 2009","abundance (ages 1-3)",19,"Y",0.38925
"Hilborn et al. (2017)","Red hake Gulf of Maine [biomass (log-scale)]",NA,"Red hake NW Atlantic","NW Atlantic","Gulf of Maine","Gulf of Maine","fish","Actinopterygii","Gadiformes","Phycidae","Urophycis chuss","Red hake","Nye et al. 2010","biomass (log-scale)",25,"Y",0.161
"Hilborn et al. (2017)","Rhinoceros auklet Southern California [density (fall)]",NA,"Rhinoceros auklet NE Pacific","NE Pacific","California","Southern California","birds","Aves","Charadriiformes","Alcidae","Cerorhinca monocerata","Rhinoceros auklet","Hyrenbach and Veit 2003","density (fall)",11,"Y",0.4375
"Hilborn et al. (2017)","Rhinoceros auklet Southern California [density (spring)]",NA,"Rhinoceros auklet NE Pacific","NE Pacific","California","Southern California","birds","Aves","Charadriiformes","Alcidae","Cerorhinca monocerata","Rhinoceros auklet","Hyrenbach and Veit 2003","density (spring)",12,"Y",0.4375
"Hilborn et al. (2017)","Rhinoceros auklet Southern California [density (summer)]",NA,"Rhinoceros auklet NE Pacific","NE Pacific","California","Southern California","birds","Aves","Charadriiformes","Alcidae","Cerorhinca monocerata","Rhinoceros auklet","Hyrenbach and Veit 2003","density (summer)",11,"Y",0.4375
"Hilborn et al. (2017)","Rhinoceros auklet Southern California [density (winter)]",NA,"Rhinoceros auklet NE Pacific","NE Pacific","California","Southern California","birds","Aves","Charadriiformes","Alcidae","Cerorhinca monocerata","Rhinoceros auklet","Hyrenbach and Veit 2003","density (winter)",11,"Y",0.4375
"Hilborn et al. (2017)","Sablefish Pacific Coast","SABLEFPCOAST","Sablefish NE Pacific","NE Pacific","US West Coast","Pacific Coast","fish","Actinopterygii","Scorpaeniformes","Anoplopomatidae","Anoplopoma fimbria","Sablefish","RAM","ram",112,"Y",0.18145
"Hilborn et al. (2017)","Sandbar shark Atlantic","SBARSHARATL","Sandbar shark NW Atlantic","NW Atlantic","US Southeast and Gulf","Atlantic","fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus plumbeus","Sandbar shark","RAM","ram",0,"Y",0.05
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","SCUPNWATLC","Scup NW Atlantic","NW Atlantic","US East Coast","Northwestern Atlantic Coast","fish","Actinopterygii","Perciformes","Sparidae","Stenotomus chrysops","Scup","RAM","ram",24,"Y",0.009
"Hilborn et al. (2017)","Short-beaked common dolphin CA/OR/WA [abundance (geometric mean)]",NA,"Short-beaked common dolphin NE Pacific","NE Pacific","CA/OR/WA","CA/OR/WA","mammals","Mammalia","Cetacea","Delphinidae","Delphinus delphis","Short-beaked common dolphin","NOAA 2008, NOAA 2011","abundance (geometric mean)",2,"Y",1.6749
"Hilborn et al. (2017)","Short-beaked common dolphin CA/OR/WA [abundance (weighted mean)]",NA,"Short-beaked common dolphin NE Pacific","NE Pacific","CA/OR/WA","CA/OR/WA","mammals","Mammalia","Cetacea","Delphinidae","Delphinus delphis","Short-beaked common dolphin","NOAA 2000, NOAA 2003","abundance (weighted mean)",2,"Y",1.6749
"Hilborn et al. (2017)","Shortfin mako shark Northwest Atlantic [cpue (standardized)]",NA,"Shortfin mako shark NW Atlantic","NW Atlantic","NW Atlantic","Northwest Atlantic","fish","Elasmobranchii","Lamniformes","Lamnidae","Isurus oxyrinchus","Shortfin mako shark","Cortes et al. 2007","cpue (standardized)",21,"Y",0.463333333333333
"Hilborn et al. (2017)","Shortfin mako shark Scotian Shelf, Canada [cpue (standardized)]",NA,"Shortfin mako shark NW Atlantic","NW Atlantic","NW Atlantic","Scotian Shelf, Canada","fish","Elasmobranchii","Lamniformes","Lamnidae","Isurus oxyrinchus","Shortfin mako shark","Campana et al. 2005","cpue (standardized)",16,"Y",0.463333333333333
"Hilborn et al. (2017)","Shortspine thornyhead Pacific Coast","SSTHORNHPCOAST","Shortspine thornyhead NE Pacific","NE Pacific","US West Coast","Pacific Coast","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastolobus alascanus","Shortspine thornyhead","RAM","ram",105,"Y",0.224633333333333
"Hilborn et al. (2017)","Silky shark Northwest Atlantic [cpue (standardized)]",NA,"Silky shark NW Atlantic","NW Atlantic","NW Atlantic","Northwest Atlantic","fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus falciformis","Silky shark","Cortes et al. 2007","cpue (standardized)",14,"Y",0.461
"Hilborn et al. (2017)","Silver hake Gulf of Maine / Georges Bank","SHAKEGOMNGB","Silver hake NW Atlantic","NW Atlantic","US East Coast","Gulf of Maine / Georges Bank","fish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius bilinearis","Silver hake","RAM","ram",0,"Y",0.400208333333333
"Hilborn et al. (2017)","Silver hake Southern Georges Bank / Mid-Atlantic","SHAKESGBMATL","Silver hake NW Atlantic","NW Atlantic","US East Coast","Southern Georges Bank / Mid-Atlantic","fish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius bilinearis","Silver hake","RAM","ram",0,"Y",0.400208333333333
"Hilborn et al. (2017)","Smooth dogfish Northwest Atlantic Coast [biomass (pred.)]",NA,"Smooth dogfish NW Atlantic","NW Atlantic","Northwest Atlantic Coast","Northwest Atlantic Coast","fish","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus canis","Smooth dogfish","SEDAR 2015","biomass (pred.)",32,"Y",0.034
"Hilborn et al. (2017)","Sooty shearwater Southern California [density (fall)]",NA,"Sooty shearwater NE Pacific","NE Pacific","California","Southern California","birds","Aves","Procellariiformes","Procellariidae","Ardenna grisea","Sooty shearwater","Hyrenbach and Veit 2003","density (fall)",11,"Y",0.38
"Hilborn et al. (2017)","Sooty shearwater Southern California [density (spring)]",NA,"Sooty shearwater NE Pacific","NE Pacific","California","Southern California","birds","Aves","Procellariiformes","Procellariidae","Ardenna grisea","Sooty shearwater","Hyrenbach and Veit 2003","density (spring)",12,"Y",0.38
"Hilborn et al. (2017)","Sooty shearwater Southern California [density (summer)]",NA,"Sooty shearwater NE Pacific","NE Pacific","California","Southern California","birds","Aves","Procellariiformes","Procellariidae","Ardenna grisea","Sooty shearwater","Hyrenbach and Veit 2003","density (summer)",11,"Y",0.38
"Hilborn et al. (2017)","Sooty shearwater Southern California [density (winter)]",NA,"Sooty shearwater NE Pacific","NE Pacific","California","Southern California","birds","Aves","Procellariiformes","Procellariidae","Ardenna grisea","Sooty shearwater","Hyrenbach and Veit 2003","density (winter)",11,"Y",0.38
"Hilborn et al. (2017)","Spinner shark Florida-Maryland & Gulf Coast-Louisiana [cpue (standardized)]",NA,"Spinner shark NW Atlantic","NW Atlantic","NW Atlantic","Florida-Maryland & Gulf Coast-Louisiana","fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Carcharhinus brevipinna","Spinner shark","Carlson et al. 2012","cpue (standardized)",16,"Y",0.6705
"Hilborn et al. (2017)","Spiny dogfish Atlantic Coast","SDOGATLC","Spiny dogfish NW Atlantic","NW Atlantic","US East Coast","Atlantic Coast","fish","Elasmobranchii","Squaliformes","Squalidae","Squalus acanthias","Spiny dogfish","RAM","ram",16,"Y",0.602953260869565
"Hilborn et al. (2017)","Spotted spiny dogfish Pacific Coast","SPSDOGPCOAST","Spotted spiny dogfish NE Pacific","NE Pacific","US West Coast","Pacific Coast","fish","Elasmobranchii","Squaliformes","Squalidae","Squalus suckleyi","Spotted spiny dogfish","RAM","ram",96,"Y",0.286875
"Hilborn et al. (2017)","Steller sea lion California [abundance (total)]",NA,"Steller sea lion NE Pacific","NE Pacific","California","California","mammals","Mammalia","Carnivora","Otariidae","Eumetopias jubatus","Steller sea lion","NOAA 2013","abundance (total)",10,"Y",0.308
"Hilborn et al. (2017)","Steller sea lion Oregon [abundance (total)]",NA,"Steller sea lion NE Pacific","NE Pacific","Oregon","Oregon","mammals","Mammalia","Carnivora","Otariidae","Eumetopias jubatus","Steller sea lion","NOAA 2013","abundance (total)",9,"Y",0.308
"Hilborn et al. (2017)","Steller sea lion Washington [abundance (total)]",NA,"Steller sea lion NE Pacific","NE Pacific","Washington","Washington","mammals","Mammalia","Carnivora","Otariidae","Eumetopias jubatus","Steller sea lion","NOAA 2013","abundance (total)",13,"Y",0.308
"Hilborn et al. (2017)","Striped bass Gulf of Maine / Cape Hatteras","STRIPEDBASSGOMCHATT","Striped bass NW Atlantic","NW Atlantic","US East Coast","Gulf of Maine / Cape Hatteras","fish","Actinopterygii","Perciformes","Moronidae","Morone saxatilis","Striped bass","RAM","ram",31,"Y",0.631071929824562
"Hilborn et al. (2017)","Striped marlin North Pacific",NA,"Striped marlin NE Pacific","NE Pacific","Pacific Ocean","North Pacific","fish","Actinopterygii","Perciformes","Istiophoridae","Kajikia audax","Striped marlin","RAM","ram",53,"Y",0.559213333333333
"Hilborn et al. (2017)","Summer flounder Mid-Atlantic Coast","SFLOUNMATLC","Summer flounder NW Atlantic","NW Atlantic","US East Coast","Mid-Atlantic Coast","fish","Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys dentatus","Summer flounder","RAM","ram",31,"Y",0.318366666666667
"Hilborn et al. (2017)","Swordfish Northern Atlantic","SWORDNATL","Swordfish NW Atlantic","NW Atlantic","Atlantic Ocean","Northern Atlantic","fish","Actinopterygii","Perciformes","Xiphiidae","Xiphias gladius","Swordfish","RAM","ram",60,"Y",0.5395
"Hilborn et al. (2017)","Weakfish Atlantic Coast","WEAKFISHATLC","Weakfish NW Atlantic","NW Atlantic","US East Coast","Atlantic Coast","fish","Actinopterygii","Perciformes","Sciaenidae","Cynoscion regalis","Weakfish","RAM","ram",28,"Y",0.283
"Hilborn et al. (2017)","Western Atlantic harbor seal Maine coast [abundance (est.)]",NA,"Western Atlantic harbor seal NW Atlantic","NW Atlantic","NW Atlantic","Maine coast","mammals","Mammalia","Carnivora","Phocidae","Phoca vitulina concolor","Western Atlantic harbor seal","NOAA 2012, NOAA 2015","abundance (est.)",2,"Y",0.894666666666667
"Hilborn et al. (2017)","Western Atlantic harbor seal Maine coast [abundance (min est.)]",NA,"Western Atlantic harbor seal NW Atlantic","NW Atlantic","NW Atlantic","Maine coast","mammals","Mammalia","Carnivora","Phocidae","Phoca vitulina concolor","Western Atlantic harbor seal","NOAA 1998, NOAA 2001","abundance (min est.)",4,"Y",0.894666666666667
"Hilborn et al. (2017)","Western Atlantic harbor seal Maine coast [abundance (min est.)].1",NA,"Western Atlantic harbor seal NW Atlantic","NW Atlantic","NW Atlantic","Maine coast","mammals","Mammalia","Carnivora","Phocidae","Phoca vitulina concolor","Western Atlantic harbor seal","NOAA 1998","abundance (min est.)",1,"Y",0.894666666666667
"Hilborn et al. (2017)","White hake Gulf of Maine / Georges Bank","WHAKEGBGOM","White hake NW Atlantic","NW Atlantic","US East Coast","Gulf of Maine / Georges Bank","fish","Actinopterygii","Gadiformes","Phycidae","Urophycis tenuis","White hake","RAM","ram",45,"Y",0.4495
"Hilborn et al. (2017)","White marlin Atlantic Ocean","WMARLINATL","White marlin NW Atlantic","NW Atlantic","Atlantic Ocean","Atlantic Ocean","fish","Actinopterygii","Perciformes","Istiophoridae","Kajikia albida","White marlin","RAM","ram",56,"Y",0.541
"Hilborn et al. (2017)","Widow rockfish Pacific Coast","WROCKPCOAST","Widow rockfish NE Pacific","NE Pacific","US West Coast","Pacific Coast","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes entomelas","Widow rockfish","RAM","ram",96,"Y",0.0375
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (fall)]",NA,"Xantus's murrellet NE Pacific","NE Pacific","California","Southern California","birds","Aves","Charadriiformes","Alcidae","Synthliboramphus hypoleucus","Xantus's murrellet","Hyrenbach and Veit 2003","density (fall)",11,"Y",0.355
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (spring)]",NA,"Xantus's murrellet NE Pacific","NE Pacific","California","Southern California","birds","Aves","Charadriiformes","Alcidae","Synthliboramphus hypoleucus","Xantus's murrellet","Hyrenbach and Veit 2003","density (spring)",12,"Y",0.355
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (summer)]",NA,"Xantus's murrellet NE Pacific","NE Pacific","California","Southern California","birds","Aves","Charadriiformes","Alcidae","Synthliboramphus hypoleucus","Xantus's murrellet","Hyrenbach and Veit 2003","density (summer)",11,"Y",0.355
"Hilborn et al. (2017)","Xantus's murrellet Southern California [density (winter)]",NA,"Xantus's murrellet NE Pacific","NE Pacific","California","Southern California","birds","Aves","Charadriiformes","Alcidae","Synthliboramphus hypoleucus","Xantus's murrellet","Hyrenbach and Veit 2003","density (winter)",11,"Y",0.355
"Hilborn et al. (2017)","Yellowfin tuna Atlantic Ocean","YFINATL","Yellowfin tuna NW Atlantic","NW Atlantic","Atlantic Ocean","Atlantic Ocean","fish","Actinopterygii","Perciformes","Scombridae","Thunnus albacares","Yellowfin tuna","RAM","ram",62,"Y",0.5055
"Hilborn et al. (2017)","Yellowtail rockfish Northern Pacific Coast","YTROCKNPCOAST","Yellowtail rockfish NE Pacific","NE Pacific","US West Coast","Northern Pacific Coast","fish","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes flavidus","Yellowtail rockfish","RAM","ram",39,"Y",0.246
"Free et al. (in prep)","Black-legged kittiwake North Shields and Marsden (nests, with eggs)",NA,"Black-legged kittiwake Europe","Europe","England","North Shields and Marsden","birds","Aves","Ciconiiformes","Laridae","Rissa tridactyla","Black-legged kittiwake","Coulston and Thomas 1985 Figure 3","nests, with eggs",6,"Y",1.604325
"Free et al. (in prep)","Razorbill UK coast (index relative to 1986)",NA,"Razorbill Europe","Europe","England","UK coast","birds","Aves","Charadriiformes","Alcidae","Alca torda","Razorbill","Cook et al 2014 Figure 5","index relative to 1986",22,"Y",2.4413
"Free et al. (in prep)","Black-legged kittiwake Vedoy (nests, occupied)",NA,"Black-legged kittiwake Europe","Europe","Norway","Vedoy","birds","Aves","Ciconiiformes","Laridae","Rissa tridactyla","Black-legged kittiwake","Anker-Nilssen and Aarvak 2006","nests, occupied",24,"Y",1.604325
"Free et al. (in prep)","Atlantic puffin Hernyken Island (number of occupied burrows)",NA,"Atlantic puffin Europe","Europe","Norwegian Sea","Hernyken Island","birds","Aves","Charadriiformes","Alcidae","Fratercula arctica","Atlantic puffin","Anker-Nilssen and Aarvak 2006 Tabell 3.1","number of occupied burrows",23,"Y",2.76289487179487
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)",NA,"Black-legged kittiwake Europe","Europe","Scotland","Isle of May","birds","Aves","Ciconiiformes","Laridae","Rissa tridactyla","Black-legged kittiwake","Frederiksen et al 2004 Figure 1, Frederiksen et al 2004 Figure 3, Frederiksen et al 2004 Figure 5","nests, completed",28,"Y",1.604325
"Free et al. (in prep)","Black-legged kittiwake Isle of May (population size)",NA,"Black-legged kittiwake Europe","Europe","Scotland","Isle of May","birds","Aves","Ciconiiformes","Laridae","Rissa tridactyla","Black-legged kittiwake","Rindorf et al 2000 Figure 5","population size",13,"Y",1.604325
"Free et al. (in prep)","Common guillemot Isle of May (population size)",NA,"Common guillemot Europe","Europe","Scotland","Isle of May","birds","Aves","Charadriiformes","Alcidae","Uria aalge","Common guillemot","Rindorf et al 2000 Figure 5","population size",13,"Y",1.62448888888889
"Free et al. (in prep)","European shag Isle of May (number of breeding pairs)",NA,"European shag Europe","Europe","Scotland","Isle of May","birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax aristotelis","European shag","Wanless et al 1993 pdf p 10","number of breeding pairs",3,"Y",2.10272142857143
"Free et al. (in prep)","European shag Isle of May (population size)",NA,"European shag Europe","Europe","Scotland","Isle of May","birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax aristotelis","European shag","Rindorf et al 2000 Figure 5","population size",13,"Y",2.10272142857143
"Free et al. (in prep)","Common guillemot All Shetland Islands colonies (index relative to 1978)",NA,"Common guillemot Europe","Europe","Shetland Islands","All Shetland Islands colonies","birds","Aves","Charadriiformes","Alcidae","Uria aalge","Common guillemot","Dunnet and Heubeck 1995 Figure 8","index relative to 1978",18,"Y",1.62448888888889
"Free et al. (in prep)","European shag Burravoe (nests, max number)",NA,"European shag Europe","Europe","Shetland Islands","Burravoe","birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax aristotelis","European shag","Dunnet and Heubeck 1995 Table 4","nests, max number",10,"Y",2.10272142857143
"Free et al. (in prep)","Arctic skua Foula (occupied territory)",NA,"Arctic skua Europe","Europe","Shetland Islands","Foula","birds","Aves","Charadriiformes","Stercorariidae","Stercorarius parasiticus","Arctic skua","JNCC Data","occupied territory",4,"Y",1.9
"Free et al. (in prep)","Arctic tern Foula (occupied territory)",NA,"Arctic tern Europe","Europe","Shetland Islands","Foula","birds","Aves","Ciconiiformes","Laridae","Sterna paradisaea","Arctic tern","JNCC Data","occupied territory",38,"Y",1.75
"Free et al. (in prep)","Black-legged kittiwake Foula (nests, occupied)",NA,"Black-legged kittiwake Europe","Europe","Shetland Islands","Foula","birds","Aves","Ciconiiformes","Laridae","Rissa tridactyla","Black-legged kittiwake","JNCC Data","nests, occupied",14,"Y",1.604325
"Free et al. (in prep)","European shag Sumburgh (nests, max number)",NA,"European shag Europe","Europe","Shetland Islands","Sumburgh","birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax aristotelis","European shag","Dunnet and Heubeck 1995 Table 4","nests, max number",10,"Y",2.10272142857143
"Free et al. (in prep)","Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)",NA,"Black-legged kittiwake Europe","Europe","Shetland Islands","Sumburgh, Troswick, Eshaness and Burravoe","birds","Aves","Ciconiiformes","Laridae","Rissa tridactyla","Black-legged kittiwake","Dunnet and Heubeck 1995 Table 7","nests, max number occupied",13,"Y",1.604325
"Free et al. (in prep)","European shag Troswick (nests, max number)",NA,"European shag Europe","Europe","Shetland Islands","Troswick","birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax aristotelis","European shag","Dunnet and Heubeck 1995 Table 4","nests, max number",11,"Y",2.10272142857143
"Free et al. (in prep)","Guanay cormorant 6-14°S (number of adults)",NA,"Guanay cormorant Humboldt","Humboldt","Peru","6-14°S","birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax bougainvillii","Guanay cormorant","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3","number of adults",30,"Y",1.03082857142857
"Free et al. (in prep)","Peruvian booby 6-14°S (number of adults)",NA,"Peruvian booby Humboldt","Humboldt","Peru","6-14°S","birds","Aves","Ciconiiformes","Sulidae","Sula variegata","Peruvian booby","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 4","number of adults",30,"Y",0.795671428571429
"Free et al. (in prep)","Peruvian pelican 6-14°S (number of adults)",NA,"Peruvian pelican Humboldt","Humboldt","Peru","6-14°S","birds","Aves","Ciconiiformes","Pelecanidae","Pelecanus thagus","Peruvian pelican","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 5","number of adults",30,"Y",0.8
"Free et al. (in prep)","Guanay cormorant Grupo Pescadores (number of breeders)",NA,"Guanay cormorant Humboldt","Humboldt","Peru","Grupo Pescadores","birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax bougainvillii","Guanay cormorant","Table A.5.1 in Boyd 2012 ","number of breeders",1,"Y",1.03082857142857
"Free et al. (in prep)","Peruvian booby Grupo Pescadores (number of breeders)",NA,"Peruvian booby Humboldt","Humboldt","Peru","Grupo Pescadores","birds","Aves","Ciconiiformes","Sulidae","Sula variegata","Peruvian booby","Table A.5.1 in Boyd 2012 ","number of breeders",1,"Y",0.795671428571429
"Free et al. (in prep)","Guanay cormorant Peru (number of adults)",NA,"Guanay cormorant Humboldt","Humboldt","Peru","Peru","birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax bougainvillii","Guanay cormorant","IMARPE.Renato","number of adults",64,"Y",1.03082857142857
"Free et al. (in prep)","Peruvian booby Peru (number of adults)",NA,"Peruvian booby Humboldt","Humboldt","Peru","Peru","birds","Aves","Ciconiiformes","Sulidae","Sula variegata","Peruvian booby","IMARPE.Renato","number of adults",64,"Y",0.795671428571429
"Free et al. (in prep)","Peruvian pelican Peru (number of adults)",NA,"Peruvian pelican Humboldt","Humboldt","Peru","Peru","birds","Aves","Ciconiiformes","Pelecanidae","Pelecanus thagus","Peruvian pelican","IMARPE.Renato","number of adults",64,"Y",0.8
"Free et al. (in prep)","Guanay cormorant Peruvian Sea (number of individuals)",NA,"Guanay cormorant Humboldt","Humboldt","Peru","Peruvian Sea","birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax bougainvillii","Guanay cormorant","Jahncke 1998 Figuera 1","number of individuals",44,"Y",1.03082857142857
"Free et al. (in prep)","Peruvian booby Peruvian Sea (number of individuals)",NA,"Peruvian booby Humboldt","Humboldt","Peru","Peruvian Sea","birds","Aves","Ciconiiformes","Sulidae","Sula variegata","Peruvian booby","Jahncke 1998 Figuera 1","number of individuals",44,"Y",0.795671428571429
"Free et al. (in prep)","Peruvian pelican Peruvian Sea (number of individuals)",NA,"Peruvian pelican Humboldt","Humboldt","Peru","Peruvian Sea","birds","Aves","Ciconiiformes","Pelecanidae","Pelecanus thagus","Peruvian pelican","Jahncke 1998 Figuera 1","number of individuals",44,"Y",0.8
"Cury et al. (2011)","Pigeon guillemot Farallon (breeding adults)",NA,"Pigeon guillemot California Current","California Current","California Current","Farallon","birds","Aves","Charadriiformes","Alcidae","Cepphus columba","Pigeon guillemot","Warzybok et al 2009","breeding adults",30,"Y",0.2
"Cury et al. (2011)","Common guillemot Farallon (breeding adults)",NA,"Common guillemot California Current","California Current","California Current","Farallon","birds","Aves","Charadriiformes","Alcidae","Uria aalge","Common guillemot","Warzybok et al 2014","breeding adults",26,"Y",0.43
"Cury et al. (2011)","Black-legged kittiwake Vedoy (occupied nests)",NA,"Black-legged kittiwake Norwegian Sea","Norwegian Sea","Norwegian Sea","Vedoy","birds","Aves","Ciconiiformes","Laridae","Rissa tridactyla","Black-legged kittiwake","Anker-Nilssen and Aarvak 2006","occupied nests",24,"Y",0
"Cury et al. (2011)","Atlantic puffin Hernyken (apparently occupied burrows)",NA,"Atlantic puffin Norwegian Sea","Norwegian Sea","Norwegian Sea","Hernyken","birds","Aves","Charadriiformes","Alcidae","Fratercula arctica","Atlantic puffin","Anker-Nilssen and Aarvak 2006","apparently occupied burrows",23,"Y",0.56
