"stockid","stocklong","region","area","location","reference","type","class","order","family","species","comm_name","n_units","nprey","prey1","prey1_prop","prey_prop","r","r_se","r_lo","r_hi","k","k_se","k_lo","k_hi","betaT","betaT_se","betaT_lo","betaT_hi","betaT_inf","sigmaP","sigmaP_se","sigmaP_lo","sigmaP_hi"
"GUACORPERU","Guanay cormorant Peru (number of adults)","Humboldt","Peru","Peru","IMARPE.Renato","birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax bougainvillii","Guanay cormorant","number of adults",1,"Peruvian anchoveta",0.335,0.335,0.323535677719497,0.056107205576738,0.230305876867072,0.454505704245797,0.134651602113847,0.0177513618204767,0.103990589333742,0.174352833924586,-1.07657528123569,0.118075661401996,-1.30800357758361,-0.84514698488778,"negative",0.0719278673196872,0.00698624973496319,0.0594592859443516,0.0870111037324019
"GUACORPERU614S","Guanay cormorant 6-14°S (number of adults)","Humboldt","Peru","6-14°S","Tovar et al in Pauly and Tsukayama 1987 pdf p 224 Table 3","birds","Aves","Ciconiiformes","Phalacrocoracidae","Phalacrocorax bougainvillii","Guanay cormorant","number of adults",1,"Peruvian anchoveta",0.335,0.335,0.315883091924792,0.0829974225291231,0.188743229680036,0.52866599736118,0.157750079536332,0.0385897898060832,0.097665151972497,0.254800070353925,-1.4634004592487,0.327179607712051,-2.10467249036432,-0.822128428133075,"negative",0.108147001499854,0.0175437544264212,0.078691689071699,0.148627816626898
"HAKENRTN","Hake Northeast Atlantic North","Europe","European Union","IIIa-IV-VI-VII-VIIIabd","RAM","fish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius merluccius","European hake","MT",1,"Blue whiting",0.309,0.309,0.611845903653265,0.0497103415629198,0.521775442557437,0.717464601213139,2.06420979332473,0.264901547539637,1.60515328663132,2.65455150380064,0.00427594385957076,0.0543680297356063,-0.102285394422218,0.110837282141359,"none",0.0531237979120056,0.00644220461808749,0.0418855193158649,0.0673774123059917
"HAKESOTH","Hake Northeast Atlantic South","Europe","European Union","VIIIc-IXa","RAM","fish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius merluccius","European hake","MT",1,"Blue whiting",0.309,0.309,0.637300112585674,0.0625794058431604,0.525725564533267,0.772554086964154,1.82732232072776,0.266398124782643,1.37315498567761,2.43170428586554,0.0923106775071986,0.0543410910763562,-0.0141978610024596,0.198819216016857,"none",0.0672565044413949,0.00827870065023274,0.0528392609092435,0.0856075068393711
"HMACKIIa-IVa-Vb-VIa-VII-VIII","Horse mackerel IIa-IVa-Vb-VIa-VII-VIII","Europe","European Union","IIa-IVa-Vb-VIa-VII-VIII","RAM","fish","Actinopterygii","Perciformes","Carangidae","Trachurus trachurus","Horse mackerel","MT",1,"Norway pout",0.229,0.229,0.116702899549155,0.0457191469289929,0.0541516359233944,0.251507946730307,1.09272757642402,0.227556706607876,0.726522206709161,1.64351969595818,-0.10765404332878,0.282178242389776,-0.660723398412741,0.445415311755181,"none",0.050727311603222,0.00654886558495123,0.0393867564207924,0.0653331316496006
"MACKNEICES","Mackerel ICES Northeast Atlantic","Europe","European Union","IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa","RAM","fish","Actinopterygii","Perciformes","Scombridae","Scomber scombrus","Atlantic mackerel","MT",3,"Sandeel spp.",0.1899,0.2794,0.243320656300031,0.0689567676963006,0.139619185666338,0.424045889536743,1.79298857375436,0.563516189206443,0.968388252818521,3.31975115998868,-0.114169071862037,0.110438689910957,-0.330628904087513,0.102290760363439,"none",0.0539267064311792,0.00696190554355408,0.0418708972276925,0.069453722252487
"MONKSGBMATL","Monkfish Southern Georges Bank / Mid-Atlantic","USA/Canada East","US East Coast","Southern Georges Bank / Mid-Atlantic","RAM","fish","Actinopterygii","Lophiiformes","Lophiidae","Lophius americanus","Goosefish","MT",4,"Northern shortfin squid",0.24675,0.32755,0.484777545128774,0.0360922500503551,0.418955975672196,0.560940246487757,1.03997921668413,0.0188359070936195,1.00370843859614,1.07756070343264,-0.0769934568279887,0.050068252913877,-0.175127232539188,0.0211403188832103,"none",0.0178927349463766,0.00248127506951476,0.013634341986374,0.0234811451980036
"NFURSEALSMI","Northern fur seal San Miguel Islands [pups]","NE Pacific","California","San Miguel Islands","NOAA 2013","mammals","Mammalia","Carnivora","Otariidae","Callorhinus ursinus","Northern fur seal","pups",3,"Northern anchovy",0.32,0.52135,0.391777796566513,0.136243023993968,0.198163679013143,0.774560921794008,0.60718269942707,0.0749367388748102,0.476721366061322,0.773346564114604,-0.0480274233542549,0.334242972919698,-0.703143650276863,0.607088803568353,"none",0.133065251310305,0.0159043342259919,0.105274885869088,0.168191691305113
"NFURSTGEORGE","Northern fur seal St. George","Bering Sea","Pribolof Islands","St. George","Towell et al 2016 Figure 2","mammals","Mammalia","Carnivora","Otariidae","Callorhinus ursinus","Northern fur seal","# of males (harem males + idle males)",2,"Walleye pollock",57.370420325,93.0191258483333,0.0201820377941591,0.031563025811405,0.000941309085695774,0.432710844625278,0.903728389982739,0.0909597671088315,0.741930769300165,1.10081025973782,-1.85974792502164,0.938044481570405,-3.69831510889963,-0.0211807411436462,"negative",0.075345049654861,0.00853114409235846,0.0603494600293943,0.0940667324070248
"NFURSTPAUL","Northern fur seal St. Paul","Bering Sea","Pribolof Islands","St. Paul","Towell et al 2016 Figure 2","mammals","Mammalia","Carnivora","Otariidae","Callorhinus ursinus","Northern fur seal","# of males (harem males + idle males)",2,"Walleye pollock",57.370420325,93.0191258483333,0.0474454282715475,0.0584093656031453,0.00424887030361463,0.529804042725314,0.590602580624353,0.19967104826492,0.304449770016811,1.14571086133809,0.726163698406546,0.783149695883325,-0.80880970552477,2.26113710233786,"none",0.0754036818567303,0.00832694088345414,0.0607283345599899,0.0936254102594304
