"outfile","dataset","framework","covariate","type","stockid","r","r_se","r_lo","r_hi","k","k_se","k_lo","k_hi","betaT","betaT_se","betaT_lo","betaT_hi","betaT_inf","sigmaP","sigmaP_se","sigmaP_lo","sigmaP_hi"
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","birds","COMGUIFIUU",1.47011306263839e-07,2.49227547017057e-05,7.25969906943177e-152,2.97702755482015e+137,0.90624021261549,1.84040144226366,0.0169271244743795,48.5180648493738,8.94511949021389,103.91581106467,-194.729870196539,212.620109176967,"none",0.1012611216531,0.0184876610313358,0.0707998761699713,0.144828145374537
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","mammals","GSEALSABLEISL",0.109998148795238,0.0515604844354674,0.0438920841700361,0.275666853538012,2.42615314454927,2.32374370353439,0.371220059563831,15.8564143535841,-0.280360144926614,0.263986212797457,-0.797773122009629,0.237052832156401,"none",0.0395927122274585,0.006260155382432,0.0290419680874552,0.0539764680136629
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","birds","GUACORPERU",0.323535677719497,0.0561072055767347,0.230305876867076,0.454505704245788,0.134651602113847,0.0177513618204759,0.103990589333743,0.174352833924584,-1.07657528123569,0.118075661401996,-1.3080035775836,-0.845146984887782,"negative",0.0719278673196872,0.00698624973496333,0.0594592859443514,0.0870111037324022
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","fish","HAKENRTN",0.611845903653265,0.0497103415629196,0.521775442557438,0.717464601213139,2.06420979332473,0.264901547539614,1.60515328663135,2.65455150380058,0.00427594385957075,0.0543680297356073,-0.102285394422219,0.110837282141361,"none",0.0531237979120056,0.00644220461808707,0.0418855193158656,0.0673774123059906
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","fish","HAKESOTH",0.637300112585674,0.0625794058431605,0.525725564533267,0.772554086964154,1.82732232072775,0.266398124782645,1.37315498567761,2.43170428586554,0.0923106775071985,0.0543410910763568,-0.0141978610024608,0.198819216016858,"none",0.0672565044413949,0.00827870065023286,0.0528392609092433,0.0856075068393713
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","fish","HMACKIIa-IVa-Vb-VIa-VII-VIII",0.116702899549155,0.0457191469289918,0.0541516359233954,0.251507946730303,1.09272757642402,0.227556706607866,0.726522206709173,1.64351969595815,-0.10765404332878,0.282178242389776,-0.660723398412741,0.44541531175518,"none",0.050727311603222,0.00654886558495092,0.0393867564207929,0.0653331316495998
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","fish","MACKNEICES",0.243320656300031,0.0689567676963165,0.13961918566632,0.424045889536798,1.79298857375436,0.563516189206589,0.968388252818368,3.31975115998921,-0.114169071862038,0.110438689910963,-0.330628904087524,0.102290760363449,"none",0.0539267064311792,0.00696190554355373,0.041870897227693,0.0694537222524861
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","fish","MONKSGBMATL",0.484777545128774,0.0360922500503547,0.418955975672197,0.560940246487756,1.03997921668413,0.0188359070936195,1.00370843859614,1.07756070343264,-0.0769934568279888,0.050068252913877,-0.175127232539188,0.0211403188832102,"none",0.0178927349463766,0.00248127506951456,0.0136343419863743,0.0234811451980031
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","mammals","NFURSTGEORGE",0.0201820377941591,0.031563025811405,0.00094130908569577,0.432710844625278,0.903728389982739,0.0909597671088277,0.741930769300171,1.10081025973781,-1.85974792502164,0.93804448157037,-3.69831510889956,-0.0211807411437144,"negative",0.075345049654861,0.00853114409235846,0.0603494600293943,0.0940667324070248
"composite_pella_0.55p_fixed_cprey.Rdata","composite","fixed","composite","mammals","NFURSTPAUL",0.0474454282715476,0.0584093656031485,0.00424887030361409,0.529804042725382,0.590602580624354,0.19967104826495,0.304449770016781,1.14571086133821,0.726163698406546,0.783149695883319,-0.808809705524759,2.26113710233785,"none",0.0754036818567303,0.00832694088345414,0.0607283345599899,0.0936254102594304
