sort_cmf,sort_orig,country,location_orig,location,pred_common,pred_scientific,stocklong,season,source,year_orig,year,n,n_units,ff_common,ff_scientific,ff_eaten_mm,ff_eaten_yr,ff_diet_perc,ff_diet_perc_units,notes
127,265,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,,Frederiksen et al 2004 Figure 1,1981,1981,6139.407,completed nests,,,,,,,
128,266,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,,Frederiksen et al 2004 Figure 1,1982,1982,,completed nests,,,,,,,
129,267,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,,Frederiksen et al 2004 Figure 1,1983,1983,4720.9995,completed nests,,,,,,,
130,268,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,,Frederiksen et al 2004 Figure 1,1984,1984,6032.0596,completed nests,,,,,,,
131,269,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,,Frederiksen et al 2004 Figure 1,1985,1985,5516.5845,completed nests,,,,,,,
132,270,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,Jun-Jul,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",1986,1986,4816.657,completed nests,Lesser sand-eel,Ammodytes marinus,,38.125,98.75,unknown,age is the % of total sandeels that were 1+ group sandeel
133,271,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,Jun-Jul,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",1987,1987,6791.88,completed nests,Lesser sand-eel,Ammodytes marinus,,5,95.625,unknown,age is the % of total sandeels that were 1+ group sandeel
134,272,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,Jun-Jul,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",1988,1988,7660.1826,completed nests,Lesser sand-eel,Ammodytes marinus,,53.75,94.6875,unknown,age is the % of total sandeels that were 1+ group sandeel
135,273,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,Jun-Jul,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",1989,1989,7569.0146,completed nests,Lesser sand-eel,Ammodytes marinus,,77.8125,94.375,unknown,age is the % of total sandeels that were 1+ group sandeel
136,274,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,Jun-Jul,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",1990,1990,8160.562,completed nests,Lesser sand-eel,Ammodytes marinus,,28.4375,78.125,unknown,age is the % of total sandeels that were 1+ group sandeel
137,275,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,Jun-Jul,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",1991,1991,6574.8623,completed nests,Lesser sand-eel,Ammodytes marinus,,99.6875,49.375,unknown,age is the % of total sandeels that were 1+ group sandeel
138,276,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,Jun-Jul,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",1992,1992,6945.0566,completed nests,Lesser sand-eel,Ammodytes marinus,,20.9375,70.3125,unknown,age is the % of total sandeels that were 1+ group sandeel
139,277,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,Jun-Jul,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",1993,1993,7019.942,completed nests,Lesser sand-eel,Ammodytes marinus,,61.25,65.9375,unknown,age is the % of total sandeels that were 1+ group sandeel
140,278,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,Jun-Jul,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",1994,1994,3792.4165,completed nests,Lesser sand-eel,Ammodytes marinus,,23.125,73.4375,unknown,age is the % of total sandeels that were 1+ group sandeel
141,279,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,Jun-Jul,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",1995,1995,7631.075,completed nests,Lesser sand-eel,Ammodytes marinus,,7.8125,92.1875,unknown,age is the % of total sandeels that were 1+ group sandeel
142,280,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,Jun-Jul,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",1996,1996,6303.732,completed nests,Lesser sand-eel,Ammodytes marinus,,13.125,81.875,unknown,age is the % of total sandeels that were 1+ group sandeel
143,281,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,Jun-Jul,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",1997,1997,6563.224,completed nests,Lesser sand-eel,Ammodytes marinus,,33.75,89.6875,unknown,age is the % of total sandeels that were 1+ group sandeel
144,282,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,Jun-Jul,"#-Frederiksen et al 2004 Figure 1, diet=Rindorf et al 2000 Figure 6",1998,1998,4368.8164,completed nests,Lesser sand-eel,Ammodytes marinus,,35,79.6875,unknown,age is the % of total sandeels that were 1+ group sandeel
145,283,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,,Frederiksen et al 2004 Figure 1,1999,1999,4222.349,completed nests,,,,,,,
146,284,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,,Frederiksen et al 2004 Figure 1,2000,2000,4666.2935,completed nests,,,,,,,
147,285,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,,Frederiksen et al 2004 Figure 1,2001,2001,3689.4556,completed nests,,,,,,,
148,286,North Sea,Isle of May,Isle of May (Frederiksen et al. 2004),Black-legged kittiwake,Rissa tridactyla,Isle of May (Frederiksen et al. 2004) Black-legged kittiwake,,Frederiksen et al 2004 Figure 1,2002,2002,3709.1448,completed nests,,,,,,,
149,136,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Black-legged kittiwake,Rissa tridactyla,Isle of May (Rindorf et al. 2000) Black-legged kittiwake,,Rindorf et al 2000 Figure 5,1986,1986,4709.3022,population size,,,,,,,
150,137,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Black-legged kittiwake,Rissa tridactyla,Isle of May (Rindorf et al. 2000) Black-legged kittiwake,,Rindorf et al 2000 Figure 5,1987,1987,6697.6743,population size,,,,,,,
151,138,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Black-legged kittiwake,Rissa tridactyla,Isle of May (Rindorf et al. 2000) Black-legged kittiwake,,Rindorf et al 2000 Figure 5,1988,1988,7604.6514,population size,,,,,,,
152,139,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Black-legged kittiwake,Rissa tridactyla,Isle of May (Rindorf et al. 2000) Black-legged kittiwake,,Rindorf et al 2000 Figure 5,1989,1989,7569.7676,population size,,,,,,,
153,140,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Black-legged kittiwake,Rissa tridactyla,Isle of May (Rindorf et al. 2000) Black-legged kittiwake,,Rindorf et al 2000 Figure 5,1990,1990,8127.9067,population size,,,,,,,
154,141,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Black-legged kittiwake,Rissa tridactyla,Isle of May (Rindorf et al. 2000) Black-legged kittiwake,,Rindorf et al 2000 Figure 5,1991,1991,6488.372,population size,,,,,,,
155,142,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Black-legged kittiwake,Rissa tridactyla,Isle of May (Rindorf et al. 2000) Black-legged kittiwake,,Rindorf et al 2000 Figure 5,1992,1992,6906.9766,population size,,,,,,,
156,143,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Black-legged kittiwake,Rissa tridactyla,Isle of May (Rindorf et al. 2000) Black-legged kittiwake,,Rindorf et al 2000 Figure 5,1993,1993,6976.744,population size,,,,,,,
157,144,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Black-legged kittiwake,Rissa tridactyla,Isle of May (Rindorf et al. 2000) Black-legged kittiwake,,Rindorf et al 2000 Figure 5,1994,1994,3767.442,population size,,,,,,,
158,145,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Black-legged kittiwake,Rissa tridactyla,Isle of May (Rindorf et al. 2000) Black-legged kittiwake,,Rindorf et al 2000 Figure 5,1995,1995,7604.6514,population size,,,,,,,
159,146,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Black-legged kittiwake,Rissa tridactyla,Isle of May (Rindorf et al. 2000) Black-legged kittiwake,,Rindorf et al 2000 Figure 5,1996,1996,6244.186,population size,,,,,,,
160,147,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Black-legged kittiwake,Rissa tridactyla,Isle of May (Rindorf et al. 2000) Black-legged kittiwake,,Rindorf et al 2000 Figure 5,1997,1997,6523.256,population size,,,,,,,
161,148,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Black-legged kittiwake,Rissa tridactyla,Isle of May (Rindorf et al. 2000) Black-legged kittiwake,,Rindorf et al 2000 Figure 5,1998,1998,4290.6978,population size,,,,,,,
162,123,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Common guillemot,Uria aalge,Isle of May (Rindorf et al. 2000) Common guillemot,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1986,1986,13571.429,population size,Lesser sand-eel,Ammodytes marinus,,100,87.84194,unknown,age is the % of total sandeels that were 1+ group sandeel
163,124,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Common guillemot,Uria aalge,Isle of May (Rindorf et al. 2000) Common guillemot,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1987,1987,11596.639,population size,Lesser sand-eel,Ammodytes marinus,,100,82.06687,unknown,age is the % of total sandeels that were 1+ group sandeel
164,125,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Common guillemot,Uria aalge,Isle of May (Rindorf et al. 2000) Common guillemot,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1988,1988,11134.454,population size,Lesser sand-eel,Ammodytes marinus,,100,46.80851,unknown,age is the % of total sandeels that were 1+ group sandeel
165,126,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Common guillemot,Uria aalge,Isle of May (Rindorf et al. 2000) Common guillemot,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1989,1989,12647.059,population size,Lesser sand-eel,Ammodytes marinus,,98.784195,69.604866,unknown,age is the % of total sandeels that were 1+ group sandeel
166,127,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Common guillemot,Uria aalge,Isle of May (Rindorf et al. 2000) Common guillemot,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1990,1990,12605.042,population size,Lesser sand-eel,Ammodytes marinus,,97.56839,31.00304,unknown,age is the % of total sandeels that were 1+ group sandeel
167,128,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Common guillemot,Uria aalge,Isle of May (Rindorf et al. 2000) Common guillemot,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1991,1991,11302.521,population size,Lesser sand-eel,Ammodytes marinus,,100,65.653496,unknown,age is the % of total sandeels that were 1+ group sandeel
168,129,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Common guillemot,Uria aalge,Isle of May (Rindorf et al. 2000) Common guillemot,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1992,1992,11428.571,population size,Lesser sand-eel,Ammodytes marinus,,100,46.50456,unknown,age is the % of total sandeels that were 1+ group sandeel
169,130,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Common guillemot,Uria aalge,Isle of May (Rindorf et al. 2000) Common guillemot,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1993,1993,12352.941,population size,Lesser sand-eel,Ammodytes marinus,,100,17.629179,unknown,age is the % of total sandeels that were 1+ group sandeel
170,131,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Common guillemot,Uria aalge,Isle of May (Rindorf et al. 2000) Common guillemot,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1994,1994,13781.513,population size,Lesser sand-eel,Ammodytes marinus,,99.696045,13.981763,unknown,age is the % of total sandeels that were 1+ group sandeel
171,132,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Common guillemot,Uria aalge,Isle of May (Rindorf et al. 2000) Common guillemot,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1995,1995,15294.117,population size,Lesser sand-eel,Ammodytes marinus,,100,79.93921,unknown,age is the % of total sandeels that were 1+ group sandeel
172,133,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Common guillemot,Uria aalge,Isle of May (Rindorf et al. 2000) Common guillemot,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1996,1996,14453.781,population size,Lesser sand-eel,Ammodytes marinus,,100,44.07295,unknown,age is the % of total sandeels that were 1+ group sandeel
173,134,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Common guillemot,Uria aalge,Isle of May (Rindorf et al. 2000) Common guillemot,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1997,1997,17100.84,population size,Lesser sand-eel,Ammodytes marinus,,100,79.33131,unknown,age is the % of total sandeels that were 1+ group sandeel
174,135,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),Common guillemot,Uria aalge,Isle of May (Rindorf et al. 2000) Common guillemot,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1998,1998,17352.941,population size,Lesser sand-eel,Ammodytes marinus,,99.696045,21.580547,unknown,age is the % of total sandeels that were 1+ group sandeel
175,110,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),European shag,Phalacrocorax aristotelis,Isle of May (Rindorf et al. 2000) European shag,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1986,1986,1292.181,population size,Lesser sand-eel,Ammodytes marinus,,87.15278,100,unknown,age is the % of total sandeels that were 1+ group sandeel
176,111,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),European shag,Phalacrocorax aristotelis,Isle of May (Rindorf et al. 2000) European shag,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1987,1987,1893.0042,population size,Lesser sand-eel,Ammodytes marinus,,100,100,unknown,age is the % of total sandeels that were 1+ group sandeel
177,112,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),European shag,Phalacrocorax aristotelis,Isle of May (Rindorf et al. 2000) European shag,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1988,1988,1267.4897,population size,Lesser sand-eel,Ammodytes marinus,,99.65278,100,unknown,age is the % of total sandeels that were 1+ group sandeel
178,113,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),European shag,Phalacrocorax aristotelis,Isle of May (Rindorf et al. 2000) European shag,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1989,1989,1695.4733,population size,Lesser sand-eel,Ammodytes marinus,,20.48611,100,unknown,age is the % of total sandeels that were 1+ group sandeel
179,114,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),European shag,Phalacrocorax aristotelis,Isle of May (Rindorf et al. 2000) European shag,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1990,1990,1374.4856,population size,Lesser sand-eel,Ammodytes marinus,,2.0833333,100,unknown,age is the % of total sandeels that were 1+ group sandeel
180,115,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),European shag,Phalacrocorax aristotelis,Isle of May (Rindorf et al. 2000) European shag,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1991,1991,1481.4814,population size,Lesser sand-eel,Ammodytes marinus,,43.055557,100,unknown,age is the % of total sandeels that were 1+ group sandeel
181,116,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),European shag,Phalacrocorax aristotelis,Isle of May (Rindorf et al. 2000) European shag,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1992,1992,1613.1687,population size,Lesser sand-eel,Ammodytes marinus,,82.291664,96.18056,unknown,age is the % of total sandeels that were 1+ group sandeel
182,117,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),European shag,Phalacrocorax aristotelis,Isle of May (Rindorf et al. 2000) European shag,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1993,1993,707.8189,population size,Lesser sand-eel,Ammodytes marinus,,70.833336,96.18056,unknown,age is the % of total sandeels that were 1+ group sandeel
183,118,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),European shag,Phalacrocorax aristotelis,Isle of May (Rindorf et al. 2000) European shag,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1994,1994,395.06174,population size,Lesser sand-eel,Ammodytes marinus,,32.63889,84.72222,unknown,age is the % of total sandeels that were 1+ group sandeel
184,119,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),European shag,Phalacrocorax aristotelis,Isle of May (Rindorf et al. 2000) European shag,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1995,1995,502.05762,population size,Lesser sand-eel,Ammodytes marinus,,96.875,87.15278,unknown,age is the % of total sandeels that were 1+ group sandeel
185,120,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),European shag,Phalacrocorax aristotelis,Isle of May (Rindorf et al. 2000) European shag,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1996,1996,518.5185,population size,Lesser sand-eel,Ammodytes marinus,,100,100,unknown,age is the % of total sandeels that were 1+ group sandeel
186,121,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),European shag,Phalacrocorax aristotelis,Isle of May (Rindorf et al. 2000) European shag,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1997,1997,502.05762,population size,Lesser sand-eel,Ammodytes marinus,,100,100,unknown,age is the % of total sandeels that were 1+ group sandeel
187,122,North Sea,Isle of May,Isle of May (Rindorf et al. 2000),European shag,Phalacrocorax aristotelis,Isle of May (Rindorf et al. 2000) European shag,Jun-Jul,"% Rindorf et al 2000 Figure 6, # Figure 5",1998,1998,617.28394,population size,Lesser sand-eel,Ammodytes marinus,,100,96.875,unknown,age is the % of total sandeels that were 1+ group sandeel
188,106,North Sea,Isle of May,Isle of May (Wanless et al 2005),Common guillemot,Uria aalge,Isle of May (Wanless et al 2005) Common guillemot,,"Wanless et al 2005 Table 1, size=Table 2",1981-2003,1992,,,Lesser sand-eel,Ammodytes marinus,36-165,,52,by mass (mean),
189,107,North Sea,Isle of May,Isle of May (Wanless et al 2005),Common guillemot,Uria aalge,Isle of May (Wanless et al 2005) Common guillemot,,"Wanless et al 2005 Table 1, size=Table 2",1981-2003,1992,,,Lesser sand-eel,Ammodytes marinus,36-165,,58.7,by number (mean),
190,108,North Sea,Isle of May,Isle of May (Wanless et al 2005),Common guillemot,Uria aalge,Isle of May (Wanless et al 2005) Common guillemot,,"Wanless et al 2005 Table 1, size=Table 2",1981-2003,1992,,,Lesser sand-eel,Ammodytes marinus,36-165,,40-65,by mass (95 CI),
191,109,North Sea,Isle of May,Isle of May (Wanless et al 2005),Common guillemot,Uria aalge,Isle of May (Wanless et al 2005) Common guillemot,,"Wanless et al 2005 Table 1, size=Table 2",1981-2003,1992,,,Lesser sand-eel,Ammodytes marinus,36-165,,47-71,by number (95 CI),
192,104,North Sea,Isle of May,Isle of May (Wanless et al 2005),Common guillemot,Uria aalge,Isle of May (Wanless et al 2005) Common guillemot,,"Wanless et al 2005 Table 1, size=Table 2",2004,2004,,,Lesser sand-eel,Ammodytes marinus,36-165,,1,by mass (mean),
193,105,North Sea,Isle of May,Isle of May (Wanless et al 2005),Common guillemot,Uria aalge,Isle of May (Wanless et al 2005) Common guillemot,,"Wanless et al 2005 Table 1, size=Table 2",2004,2004,,,Lesser sand-eel,Ammodytes marinus,36-165,,1.6,by number (mean),
194,745,North Sea,Isle of May,Isle of May (Wanless et al 2005),European shag,Phalacrocorax aristotelis,Isle of May (Wanless et al 2005) European shag,Jul,Wanless et al 1991 Figure 1,1991,1991,,,,,85.5,,,,"weighted average, range 30-190"
195,149,North Sea,JNCC Sites in UK & Ireland,JNCC Sites in UK & Ireland,Razorbill,Alca torda,JNCC Sites in UK & Ireland Razorbill,,Cook et al 2014 Figure 5,1987.8948,1988,0.97894734,index,,,,,,,
196,150,North Sea,JNCC Sites in UK & Ireland,JNCC Sites in UK & Ireland,Razorbill,Alca torda,JNCC Sites in UK & Ireland Razorbill,,Cook et al 2014 Figure 5,1989.1228,1989,1.1178948,index,,,,,,,
197,151,North Sea,JNCC Sites in UK & Ireland,JNCC Sites in UK & Ireland,Razorbill,Alca torda,JNCC Sites in UK & Ireland Razorbill,,Cook et al 2014 Figure 5,1990,1990,1.03,index,,,,,,,
198,152,North Sea,JNCC Sites in UK & Ireland,JNCC Sites in UK & Ireland,Razorbill,Alca torda,JNCC Sites in UK & Ireland Razorbill,,Cook et al 2014 Figure 5,1991.0964,1991,0.87789476,index,,,,,,,
199,153,North Sea,JNCC Sites in UK & Ireland,JNCC Sites in UK & Ireland,Razorbill,Alca torda,JNCC Sites in UK & Ireland Razorbill,,Cook et al 2014 Figure 5,1992.1052,1992,1.0831579,index,,,,,,,
200,154,North Sea,JNCC Sites in UK & Ireland,JNCC Sites in UK & Ireland,Razorbill,Alca torda,JNCC Sites in UK & Ireland Razorbill,,Cook et al 2014 Figure 5,1993.2018,1993,1.0736842,index,,,,,,,
201,155,North Sea,JNCC Sites in UK & Ireland,JNCC Sites in UK & Ireland,Razorbill,Alca torda,JNCC Sites in UK & Ireland Razorbill,,Cook et al 2014 Figure 5,1993.9036,1994,0.99473685,index,,,,,,,
202,156,North Sea,JNCC Sites in UK & Ireland,JNCC Sites in UK & Ireland,Razorbill,Alca torda,JNCC Sites in UK & Ireland Razorbill,,Cook et al 2014 Figure 5,1995,1995,1.2347368,index,,,,,,,
203,157,North Sea,JNCC Sites in UK & Ireland,JNCC Sites in UK & Ireland,Razorbill,Alca torda,JNCC Sites in UK & Ireland Razorbill,,Cook et al 2014 Figure 5,1996.1842,1996,1.1273685,index,,,,,,,
204,158,North Sea,JNCC Sites in UK & Ireland,JNCC Sites in UK & Ireland,Razorbill,Alca torda,JNCC Sites in UK & Ireland Razorbill,,Cook et al 2014 Figure 5,1997,1997,1.1273685,index,,,,,,,
205,159,North Sea,JNCC Sites in UK & Ireland,JNCC Sites in UK & Ireland,Razorbill,Alca torda,JNCC Sites in UK & Ireland Razorbill,,Cook et al 2014 Figure 5,1998.114,1998,1.1652632,index,,,,,,,
206,160,North Sea,JNCC Sites in UK & Ireland,JNCC Sites in UK & Ireland,Razorbill,Alca torda,JNCC Sites in UK & Ireland Razorbill,,Cook et al 2014 Figure 5,1999.035,1999,1.1305263,index,,,,,,,
207,161,North Sea,JNCC Sites in UK & Ireland,JNCC Sites in UK & Ireland,Razorbill,Alca torda,JNCC Sites in UK & Ireland Razorbill,,Cook et al 2014 Figure 5,2000.0438,2000,0.46421054,index,,,,,,,
208,162,North Sea,JNCC Sites in UK & Ireland,JNCC Sites in UK & Ireland,Razorbill,Alca torda,JNCC Sites in UK & Ireland Razorbill,,Cook et al 2014 Figure 5,2001.0964,2001,1.2378948,index,,,,,,,
209,163,North Sea,JNCC Sites in UK & Ireland,JNCC Sites in UK & Ireland,Razorbill,Alca torda,JNCC Sites in UK & Ireland Razorbill,,Cook et al 2014 Figure 5,2001.9298,2002,1.0989474,index,,,,,,,
210,164,North Sea,JNCC Sites in UK & Ireland,JNCC Sites in UK & Ireland,Razorbill,Alca torda,JNCC Sites in UK & Ireland Razorbill,,Cook et al 2014 Figure 5,2003.0702,2003,1.231579,index,,,,,,,
211,165,North Sea,JNCC Sites in UK & Ireland,JNCC Sites in UK & Ireland,Razorbill,Alca torda,JNCC Sites in UK & Ireland Razorbill,,Cook et al 2014 Figure 5,2004.035,2004,0.99157894,index,,,,,,,
212,166,North Sea,JNCC Sites in UK & Ireland,JNCC Sites in UK & Ireland,Razorbill,Alca torda,JNCC Sites in UK & Ireland Razorbill,,Cook et al 2014 Figure 5,2005.1316,2005,1.0642105,index,,,,,,,
213,167,North Sea,JNCC Sites in UK & Ireland,JNCC Sites in UK & Ireland,Razorbill,Alca torda,JNCC Sites in UK & Ireland Razorbill,,Cook et al 2014 Figure 5,2006.0526,2006,0.9031579,index,,,,,,,
214,168,North Sea,JNCC Sites in UK & Ireland,JNCC Sites in UK & Ireland,Razorbill,Alca torda,JNCC Sites in UK & Ireland Razorbill,,Cook et al 2014 Figure 5,2006.886,2007,1.0989474,index,,,,,,,
215,169,North Sea,JNCC Sites in UK & Ireland,JNCC Sites in UK & Ireland,Razorbill,Alca torda,JNCC Sites in UK & Ireland Razorbill,,Cook et al 2014 Figure 5,2008.0264,2008,1.14,index,,,,,,,
216,170,North Sea,JNCC Sites in UK & Ireland,JNCC Sites in UK & Ireland,Razorbill,Alca torda,JNCC Sites in UK & Ireland Razorbill,,Cook et al 2014 Figure 5,2009.1666,2009,0.9505263,index,,,,,,,
217,358,North Sea,,Mackinson & Daskalov 2007,European hake,Merluccius merluccius,Mackinson & Daskalov 2007 European hake,,Mackinson and Daskalov 2007 Table 3.4,,,,,Whiting,Merlangius merlangus,,,30.9,,
218,751,North Sea,,Mackinson & Daskalov 2007,European hake,Merluccius merluccius,Mackinson & Daskalov 2007 European hake,,Mackinson and Daskalov 2007 Table 3.4,,,,,Blue whiting,Micromesistius poutassou,,,30.9,diet matrix,
219,361,North Sea,,Mackinson & Daskalov 2007,Horse mackerel,Trachurus trachurus,Mackinson & Daskalov 2007 Horse mackerel,,Mackinson and Daskalov 2007 Table 3.4,,,,,Norway pout,Trisopterus esmarkii,,,22.9,,
220,748,North Sea,,Mackinson & Daskalov 2007,Horse mackerel,Trachurus trachurus,Mackinson & Daskalov 2007 Horse mackerel,,Mackinson and Daskalov 2007 Table 3.4,,,,,Norway pout,Trisopterus esmarkii,,,22.9,diet matrix,
