Ref Cury,Year,Main LOC,Focused LOC,Spp Fish,Mean Biomass,Unit,Notes
Mills et al 2008,1982,New Zealand,Kaikoura,Nyctiphanes australis,0.14817072,Krill Index,
Mills et al 2008,1983,New Zealand,Kaikoura,Nyctiphanes australis,0.21859756,Krill Index,
Mills et al 2008,1984,New Zealand,Kaikoura,Nyctiphanes australis,0.26432925,Krill Index,
Mills et al 2008,1985,New Zealand,Kaikoura,Nyctiphanes australis,0.13628049,Krill Index,
Mills et al 2008,1986,New Zealand,Kaikoura,Nyctiphanes australis,0.21219513,Krill Index,
Mills et al 2008,1987,New Zealand,Kaikoura,Nyctiphanes australis,0.087804876,Krill Index,
Mills et al 2008,1988,New Zealand,Kaikoura,Nyctiphanes australis,0.30457318,Krill Index,
Mills et al 2008,1989,New Zealand,Kaikoura,Nyctiphanes australis,0.20487805,Krill Index,
Mills et al 2008,1990,New Zealand,Kaikoura,Nyctiphanes australis,0.18384147,Krill Index,
Mills et al 2008,1991,New Zealand,Kaikoura,Nyctiphanes australis,0.29634145,Krill Index,
Mills et al 2008,1992,New Zealand,Kaikoura,Nyctiphanes australis,0.15182927,Krill Index,
Mills et al 2008,1993,New Zealand,Kaikoura,Nyctiphanes australis,0.12256098,Krill Index,
Mills et al 2008,1994,New Zealand,Kaikoura,Nyctiphanes australis,0.1070122,Krill Index,
Mills et al 2008,1995,New Zealand,Kaikoura,Nyctiphanes australis,0.039329268,Krill Index,
Mills et al 2008,1996,New Zealand,Kaikoura,Nyctiphanes australis,0.26432925,Krill Index,
Mills et al 2008,1997,New Zealand,Kaikoura,Nyctiphanes australis,0.1637195,Krill Index,
Mills et al 2008,1998,New Zealand,Kaikoura,Nyctiphanes australis,0.43719512,Krill Index,
Mills et al 2008,1999,New Zealand,Kaikoura,Nyctiphanes australis,0.23048781,Krill Index,
Mills et al 2008,2000,New Zealand,Kaikoura,Nyctiphanes australis,0.3640244,Krill Index,
Mills et al 2008,2001,New Zealand,Kaikoura,Nyctiphanes australis,0.25792682,Krill Index,
Mills et al 2008,2002,New Zealand,Kaikoura,Nyctiphanes australis,0.1097561,Krill Index,
Mills et al 2008,2003,New Zealand,Kaikoura,Nyctiphanes australis,0.075,Krill Index,
Mills et al 2008,2004,New Zealand,Kaikoura,Nyctiphanes australis,0.12256098,Krill Index,
Crawford et al 2006,1989,Benguela,Robben Island,anchovy,0.8979033,million tons,spawners
Crawford et al 2006,1990,Benguela,Robben Island,anchovy,0.8179839,million tons,spawners
Crawford et al 2006,1991,Benguela,Robben Island,anchovy,2.5985513,million tons,spawners
Crawford et al 2006,1992,Benguela,Robben Island,anchovy,2.3946023,million tons,spawners
Crawford et al 2006,1993,Benguela,Robben Island,anchovy,1.1157285,million tons,spawners
Crawford et al 2006,1994,Benguela,Robben Island,anchovy,0.80846196,million tons,spawners
Crawford et al 2006,1995,Benguela,Robben Island,anchovy,0.6871586,million tons,spawners
Crawford et al 2006,1996,Benguela,Robben Island,anchovy,0.29716477,million tons,spawners
Crawford et al 2006,1997,Benguela,Robben Island,anchovy,1.6228344,million tons,spawners
Crawford et al 2006,1998,Benguela,Robben Island,anchovy,1.3154864,million tons,spawners
Crawford et al 2006,1999,Benguela,Robben Island,anchovy,2.1243656,million tons,spawners
Crawford et al 2006,2000,Benguela,Robben Island,anchovy,4.7524695,million tons,spawners
Crawford et al 2006,2001,Benguela,Robben Island,anchovy,6.781056,million tons,spawners
Crawford et al 2006,2002,Benguela,Robben Island,anchovy,3.9311793,million tons,spawners
Crawford et al 2006,2003,Benguela,Robben Island,anchovy,3.62375,million tons,spawners
Crawford et al 2006,2004,Benguela,Robben Island,anchovy,2.158954,million tons,spawners
Crawford et al 2006,1989,Benguela,Robben Island,sardine,0.63084847,million tons,spawners
Crawford et al 2006,1990,Benguela,Robben Island,sardine,0.21157138,million tons,spawners
Crawford et al 2006,1991,Benguela,Robben Island,sardine,0.19078797,million tons,spawners
Crawford et al 2006,1992,Benguela,Robben Island,sardine,0.590323,million tons,spawners
Crawford et al 2006,1993,Benguela,Robben Island,sardine,0.49704725,million tons,spawners
Crawford et al 2006,1994,Benguela,Robben Island,sardine,0.51978487,million tons,spawners
Crawford et al 2006,1995,Benguela,Robben Island,sardine,0.1729288,million tons,spawners
Crawford et al 2006,1996,Benguela,Robben Island,sardine,0.44201472,million tons,spawners
Crawford et al 2006,1997,Benguela,Robben Island,sardine,0.15308684,million tons,spawners
Crawford et al 2006,1998,Benguela,Robben Island,sardine,0.47288314,million tons,spawners
Crawford et al 2006,1999,Benguela,Robben Island,sardine,0.4956208,million tons,spawners
Crawford et al 2006,2000,Benguela,Robben Island,sardine,0.8589239,million tons,spawners
Crawford et al 2006,2001,Benguela,Robben Island,sardine,2.736677,million tons,spawners
Crawford et al 2006,2002,Benguela,Robben Island,sardine,2.534734,million tons,spawners
Crawford et al 2006,2003,Benguela,Robben Island,sardine,1.513965,million tons,spawners
Crawford et al 2006,2004,Benguela,Robben Island,sardine,1.4787173,million tons,spawners
Crawford et al 2006,2005,Benguela,Robben Island,sardine,1.0738617,million tons,spawners
Crawford et al 2006,1989,Benguela,Robben Island,anchovy,0.63084847,million tons,YOY
Crawford et al 2006,1990,Benguela,Robben Island,anchovy,0.20429647,million tons,YOY
Crawford et al 2006,1991,Benguela,Robben Island,anchovy,0.19803435,million tons,YOY
Crawford et al 2006,1992,Benguela,Robben Island,anchovy,0.5758159,million tons,YOY
Crawford et al 2006,1993,Benguela,Robben Island,anchovy,0.49709004,million tons,YOY
Crawford et al 2006,1994,Benguela,Robben Island,anchovy,0.51978487,million tons,YOY
Crawford et al 2006,1995,Benguela,Robben Island,anchovy,0.15118966,million tons,YOY
Crawford et al 2006,1996,Benguela,Robben Island,anchovy,0.44200045,million tons,YOY
Crawford et al 2006,1997,Benguela,Robben Island,anchovy,0.16031896,million tons,YOY
Crawford et al 2006,1998,Benguela,Robben Island,anchovy,0.48015806,million tons,YOY
Crawford et al 2006,1999,Benguela,Robben Island,anchovy,0.48836014,million tons,YOY
Crawford et al 2006,2000,Benguela,Robben Island,anchovy,0.8589096,million tons,YOY
Crawford et al 2006,2001,Benguela,Robben Island,anchovy,2.7294307,million tons,YOY
Crawford et al 2006,2002,Benguela,Robben Island,anchovy,1.5139507,million tons,YOY
Crawford et al 2006,2003,Benguela,Robben Island,anchovy,1.471471,million tons,YOY
Crawford et al 2006,2004,Benguela,Robben Island,anchovy,1.0666153,million tons,YOY
Crawford et al 2006,1989,Benguela,Robben Island,sardine,0.03668835,million tons,YOY
Crawford et al 2006,1990,Benguela,Robben Island,sardine,0.11012211,million tons,YOY
Crawford et al 2006,1991,Benguela,Robben Island,sardine,0.05310681,million tons,YOY
Crawford et al 2006,1992,Benguela,Robben Island,sardine,0.06133744,million tons,YOY
Crawford et al 2006,1993,Benguela,Robben Island,sardine,0.12027844,million tons,YOY
Crawford et al 2006,1994,Benguela,Robben Island,sardine,0.16471243,million tons,YOY
Crawford et al 2006,1995,Benguela,Robben Island,sardine,0.10045076,million tons,YOY
Crawford et al 2006,1996,Benguela,Robben Island,sardine,0.26086956,million tons,YOY
Crawford et al 2006,1997,Benguela,Robben Island,sardine,0.116912015,million tons,YOY
Crawford et al 2006,1998,Benguela,Robben Island,sardine,0.29176652,million tons,YOY
Crawford et al 2006,1999,Benguela,Robben Island,sardine,0.17676595,million tons,YOY
Crawford et al 2006,2000,Benguela,Robben Island,sardine,0.19947506,million tons,YOY
Crawford et al 2006,2001,Benguela,Robben Island,sardine,0.24392332,million tons,YOY
Crawford et al 2006,2002,Benguela,Robben Island,sardine,0.67241526,million tons,YOY
Crawford et al 2006,2003,Benguela,Robben Island,sardine,0.5936894,million tons,YOY
Crawford et al 2006,2004,Benguela,Robben Island,sardine,0.49318156,million tons,YOY
Crawford et al 2006,2005,Benguela,Robben Island,sardine,0.11010784,million tons,YOY
Hill et al 2005,1991,Scotia,Bird Island,Euphausia superba,6.36,Krill Index,
Hill et al 2005,1992,Scotia,Bird Island,Euphausia superba,94.96,Krill Index,
Hill et al 2005,1993,Scotia,Bird Island,Euphausia superba,65.82,Krill Index,
Hill et al 2005,1994,Scotia,Bird Island,Euphausia superba,7.4,Krill Index,
Hill et al 2005,1996,Scotia,Bird Island,Euphausia superba,26.7,Krill Index,
Hill et al 2005,1997,Scotia,Bird Island,Euphausia superba,25.2,Krill Index,
Hill et al 2005,1999,Scotia,Bird Island,Euphausia superba,12,Krill Index,
Hill et al 2005,2000,Scotia,Bird Island,Euphausia superba,12.3,Krill Index,
Hill et al 2005,2001,Scotia,Bird Island,Euphausia superba,34.7,Krill Index,
Hill et al 2005,2002,Scotia,Bird Island,Euphausia superba,46.6,Krill Index,
