region,area,location,comm_name,sci_name,reference,year,n,n_units,catch,catch_units,Date,NB Notes
North Sea,Channel Islands,Little Sark,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1994,22,Occupied sites,,,,
North Sea,Channel Islands,Sark,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1994,30,Occupied sites,,,,
North Sea,Channel Islands,Jersey,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1998,165,Occupied sites,,,,
North Sea,Channel Islands,Alderney,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1999,50,Occupied sites,,,,
North Sea,Channel Islands,Agois,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1999,6,Occupied sites,,,,
North Sea,Channel Islands,G. Becquete,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1999,29,Occupied sites,,,,
North Sea,Channel Islands,Grosnez,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1999,4,Occupied sites,,,,
North Sea,Channel Islands,Lecqe,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1999,10,Occupied sites,,,,
North Sea,Channel Islands,L'etaquerez Fort,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1999,1,Occupied sites,,,,
North Sea,Channel Islands,Plemont,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1999,2,Occupied sites,,,,
North Sea,Channel Islands,Plemont E.,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1999,88,Occupied sites,,,,
North Sea,Channel Islands,Tete des Hougues,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1999,11,Occupied sites,,,,
North Sea,Channel Islands,Sorel Point,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,2000,5,Occupied sites,,,,
North Sea,Channel Islands,Wolf's Caves,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,2000,18,Occupied sites,,,,
North Sea,Channel Islands,Alderney,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,2007,26,Occupied sites,,,,
North Sea,Channel Islands,Alderney,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,2009,38,Occupied sites,,,,
North Sea,Channel Islands,Alderney,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,2010,34,Occupied sites,,,,
North Sea,Channel Islands,Alderney,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,2012,34,Occupied sites,,,,
North Sea,Channel Islands,Alderney,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,2013,29,Occupied sites,,,,
North Sea,Channel Islands,Alderney,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,2014,27,Occupied sites,,,,
North Sea,Channel Islands,Jersey,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,2015,106,Occupied sites,,,,
North Sea,Channel Islands,Brecqhou,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,2015,3,Occupied sites,,,,
North Sea,Channel Islands,Guernsey Southwest,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,2015,29,Occupied sites,,,,
North Sea,Channel Islands,Herm,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,2015,18,Occupied sites,,,,
North Sea,Channel Islands,Agois,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,2015,31,Occupied sites,,,,
North Sea,Channel Islands,Plemont E.,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,2015,54,Occupied sites,,,,
North Sea,Channel Islands,Jethou,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,2015,15,Occupied sites,,,,
North Sea,Channel Islands,Little Sark,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,2015,10,Occupied sites,,,,
North Sea,Channel Islands,Sark,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,2015,28,Occupied sites,,,,
North Sea,Channel Islands,Plemont,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,2016,9,Occupied sites,,,,
North Sea,Channel Islands,Brecqhou,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1999-2000,1,Occupied sites,,,,
North Sea,Channel Islands,Guernsey (East),Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1999-2000,7,Occupied sites,,,,
North Sea,Channel Islands,Guernsey (West),Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1999-2000,19,Occupied sites,,,,
North Sea,Channel Islands,Herm,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1999-2000,9,Occupied sites,,,,
North Sea,Channel Islands,Jethou,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1999-2000,8,Occupied sites,,,,
North Sea,Channel Islands,Sark,Fulmar,Fulmarus glacialis,JNCC Channel Islands 11.15 NB,1999-2000,49,Occupied sites,,,,
North Sea,Channel Islands,Lihou Island,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1986,1,Occupied nests,,,,
North Sea,Channel Islands,Herm,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1986,1,Occupied nests,,,,
North Sea,Channel Islands,Jersey,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1987,10,Occ. nests/sites,,,,
North Sea,Channel Islands,Alderney,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1987,5,Occupied nests,,,,
North Sea,Channel Islands,Burhou,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1987,22,Occupied nests,,,,
North Sea,Channel Islands,Guernsey Southwest,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1987,17,Occ. nests/sites,,,,
North Sea,Channel Islands,Lihou Island,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1987,5,Occupied nests,,,,
North Sea,Channel Islands,Herm,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1987,4,Occupied nests,,,,
North Sea,Channel Islands,Les Amfroques,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1987,11,Occupied nests,,,,
North Sea,Channel Islands,Les Ecrehous,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1987,8,Occupied nests,,,,
North Sea,Channel Islands,Les Minquiers,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1987,1,Individuals on land,,,,
North Sea,Channel Islands,Jethou,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1987,6,Individuals on land,,,,
North Sea,Channel Islands,Les Autelets,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1987,1,Occupied nests,,,,
North Sea,Channel Islands,Little Sark,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1987,1,Occupied nests,,,,
North Sea,Channel Islands,Sark,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1987,5,Occupied nests,,,,
North Sea,Channel Islands,Burhou,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1988,17,Occupied nests,,,,
North Sea,Channel Islands,Brecqhou,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1988,4,Occupied nests,,,,
North Sea,Channel Islands,Herm,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1988,1,Occupied nests,,,,
North Sea,Channel Islands,Les Amfroques,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1988,11,Individuals on land,,,,
North Sea,Channel Islands,Jethou,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1988,3,Occupied nests,,,,
North Sea,Channel Islands,Les Autelets,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1988,1,Occupied nests,,,,
North Sea,Channel Islands,Little Sark,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1988,3,Occupied nests,,,,
North Sea,Channel Islands,Sark,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1988,4,Occupied nests,,,,
North Sea,Channel Islands,Les Autelets,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1989,1,Occupied nests,,,,
North Sea,Channel Islands,Les Autelets,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1990,1,Occupied nests,,,,
North Sea,Channel Islands,Les Autelets,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1991,1,Occupied nests,,,,
North Sea,Channel Islands,Lihou Island,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1992,5,Occupied nests,,,,
North Sea,Channel Islands,Herm,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1994,4,Occupied nests,,,,
North Sea,Channel Islands,Les Autelets,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1994,1,Occupied nests,,,,
North Sea,Channel Islands,Les Ecrehous,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1995,14,Occupied territory,,,,
North Sea,Channel Islands,Les Ecrehous,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1998,24,Occupied nests,,,,
North Sea,Channel Islands,Les Minquiers,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1998,6,Occupied nests,,,,
North Sea,Channel Islands,Alderney,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1999,21,Occupied territory,,,,
North Sea,Channel Islands,Agois,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1999,1,Occupied nests,,,,
North Sea,Channel Islands,Corbiere South,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1999,1,Occupied nests,,,,
North Sea,Channel Islands,Fiquet to Beauport,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1999,1,Occupied nests,,,,
North Sea,Channel Islands,Icho Tower,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1999,2,Occupied nests,,,,
North Sea,Channel Islands,La Moye Point to Fiquet,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1999,2,Occupied nests,,,,
North Sea,Channel Islands,Lecqe,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1999,4,Occupied nests,,,,
North Sea,Channel Islands,L'etaquerez Fort,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1999,1,Occupied nests,,,,
North Sea,Channel Islands,Noirmont,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1999,4,Occupied nests,,,,
North Sea,Channel Islands,Petit Port,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1999,1,Occupied nests,,,,
North Sea,Channel Islands,Plemont,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1999,2,Occupied nests,,,,
North Sea,Channel Islands,Plemont E.,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1999,3,Occupied nests,,,,
North Sea,Channel Islands,Portelet Headland,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1999,5,Occupied nests,,,,
North Sea,Channel Islands,Tete des Hougues,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,1999,1,Occupied nests,,,,
North Sea,Channel Islands,Devil's Hole,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2000,2,Occupied nests,,,,
North Sea,Channel Islands,Elizabeth Castle,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2000,4,Occupied nests,,,,
North Sea,Channel Islands,La Belle Hougue,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2000,2,Occupied nests,,,,
North Sea,Channel Islands,La Chretienne,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2000,5,Occupied nests,,,,
North Sea,Channel Islands,Les Ecrehous,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2000,20,Occupied nests,,,,
North Sea,Channel Islands,Les Minquiers,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2000,6,Occupied nests,,,,
North Sea,Channel Islands,Sorel Point,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2000,2,Occupied nests,,,,
North Sea,Channel Islands,Wolf's Caves,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2000,5,Occupied nests,,,,
North Sea,Channel Islands,St. Helier,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2001,6,Occupied nests,,,,
North Sea,Channel Islands,Burhou,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2005,18,Occupied nests,,,,
North Sea,Channel Islands,Burhou,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2006,18,Occupied nests,,,,
North Sea,Channel Islands,Burhou,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2007,16,Occupied nests,,,,
North Sea,Channel Islands,Burhou,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2008,17,Occupied nests,,,,
North Sea,Channel Islands,Burhou,Great Black-Backed Gull,Larus marinus,JNCC Channel Islands 11.15 NB,2010,23,Occupied nests,,,,
