"stockid","stocklong","year","catch","catch_sd","catch_type","catch_units","tb","tb_sd","tb_units","sp","sp_sd","sp_units","prey1","prey1_stocks","prey1_b","prey1_b_sd","prey1_lag1_b","prey1_lag1_b_sd","prey1_lag2_b","prey1_lag2_b_sd","prey1_btype","prey1_bunits","prey_impt","prey_stocks","prey_b","prey_b_sd","prey_lag1_b","prey_lag1_b_sd","prey_lag2_b","prey_lag2_b_sd","prey_btype","prey_bunits","sst_c","sst_c_sd","sst_c_sd2"
"ALBANATL","Albacore tuna North Atlantic",1958,52400,0.056771397616468,"tl","MT",809000,0.876489707475623,"MT",27400,0.0296858071505959,"MT","Northern shortfin squid","NANCHSCAL",438300,-0.19727745164696,972300,0.728456076162721,34000,-0.941204465046289,"ssb","MT","Northern shortfin squid","NANCHSCAL",438300,-0.19727745164696,972300,0.728456076162721,34000,-0.941204465046289,"ssb","MT",14.0187500317891,-0.0129166522312687,-0.030058477562278
"ALBANATL","Albacore tuna North Atlantic",1959,49900,0.0540628385698808,"tl","MT",784000,0.849404117009751,"MT",20900,0.0226435536294691,"MT","Northern shortfin squid","NANCHSCAL",539600,-0.0185717253153578,438300,-0.212820619370821,972300,0.711804905118295,"ssb","MT","Northern shortfin squid","NANCHSCAL",539600,-0.0185717253153578,438300,-0.212820619370821,972300,0.711804905118295,"ssb","MT",14.1370833714803,0.105416687459893,0.245316284588986
"ALBANATL","Albacore tuna North Atlantic",1960,52900,0.0573131094257855,"tl","MT",755000,0.817984832069339,"MT",34900,0.0378114842903575,"MT","Northern shortfin squid","NANCHSCAL",510000,-0.0707897855267639,539600,-0.0342600776900201,438300,-0.228946457631239,"ssb","MT","Northern shortfin squid","NANCHSCAL",510000,-0.0707897855267639,539600,-0.0342600776900201,438300,-0.228946457631239,"ssb","MT",13.5749999682109,-0.456666715809558,-1.06271392810059
"ALBANATL","Albacore tuna North Atlantic",1961,42700,0.0462621885157096,"tl","MT",737000,0.798483206933911,"MT",21700,0.023510292524377,"MT","Northern shortfin squid","NANCHSCAL",253300,-0.523640327968248,510000,-0.086435714745812,539600,-0.050485571776318,"ssb","MT","Northern shortfin squid","NANCHSCAL",253300,-0.523640327968248,510000,-0.086435714745812,539600,-0.050485571776318,"ssb","MT",13.8287499745687,-0.202916709451728,-0.472209613517399
"ALBANATL","Albacore tuna North Atlantic",1962,58800,0.0637053087757313,"tl","MT",716000,0.775731310942579,"MT",38800,0.0420368364030336,"MT","Northern shortfin squid","NANCHSCAL",675200,0.220643442409867,253300,-0.53891835096952,510000,-0.10263208926206,"ssb","MT","Northern shortfin squid","NANCHSCAL",675200,0.220643442409867,253300,-0.53891835096952,510000,-0.10263208926206,"ssb","MT",13.8229166666667,-0.208750017353747,-0.485784365825295
"ALBANATL","Albacore tuna North Atlantic",1963,60300,0.0653304442036836,"tl","MT",696000,0.754062838569881,"MT",15300,0.0165763813651138,"MT","Northern shortfin squid","NANCHSCAL",1145400,1.05013438536268,675200,0.204760746119621,253300,-0.554862191917126,"ssb","MT","Northern shortfin squid","NANCHSCAL",1145400,1.05013438536268,675200,0.204760746119621,253300,-0.554862191917126,"ssb","MT",13.6587500572205,-0.372916626799954,-0.867818213153659
"ALBANATL","Albacore tuna North Atlantic",1964,64600,0.0699891657638137,"tl","MT",651000,0.705308775731311,"MT",43600,0.047237269772481,"MT","Northern shortfin squid","NANCHSCAL",2070900,2.68283082879701,1145400,1.03357779151264,675200,0.188401852921878,"ssb","MT","Northern shortfin squid","NANCHSCAL",2070900,2.68283082879701,1145400,1.03357779151264,675200,0.188401852921878,"ssb","MT",13.877916653951,-0.153750030069403,-0.357793315659068
"ALBANATL","Albacore tuna North Atlantic",1965,60700,0.0657638136511376,"tl","MT",630000,0.682556879739978,"MT",21700,0.023510292524377,"MT","Northern shortfin squid","NANCHSCAL",1976300,2.51594473095921,2070900,2.66494779472667,1145400,1.01675633000958,"ssb","MT","Northern shortfin squid","NANCHSCAL",1976300,2.51594473095921,2070900,2.66494779472667,1145400,1.01675633000958,"ssb","MT",13.871250073115,-0.160416610905383,-0.373307186195143
"ALBANATL","Albacore tuna North Atlantic",1966,47400,0.0513542795232936,"tl","MT",591000,0.640303358613218,"MT",28400,0.0307692307692308,"MT","Northern shortfin squid","NANCHSCAL",2093600,2.72287643578346,1976300,2.49819727900107,2070900,2.64721585477492,"ssb","MT","Northern shortfin squid","NANCHSCAL",2093600,2.72287643578346,1976300,2.49819727900107,2070900,2.64721585477492,"ssb","MT",13.8120834032694,-0.219583280750964,-0.510994567270775
"ALBANATL","Albacore tuna North Atlantic",1967,59100,0.0640303358613218,"tl","MT",572000,0.619718309859155,"MT",49100,0.0531960996749729,"MT","Northern shortfin squid","NANCHSCAL",550127.451,2.8920142106339e-11,2093600,2.70496086773905,1976300,2.48055840362116,"ssb","MT","Northern shortfin squid","NANCHSCAL",550127.451,2.8920142106339e-11,2093600,2.70496086773905,1976300,2.48055840362116,"ssb","MT",13.6545832951864,-0.377083388834052,-0.877514729005195
"ALBANATL","Albacore tuna North Atlantic",1968,45200,0.0489707475622969,"tl","MT",562000,0.608884073672806,"MT",30200,0.0327193932827736,"MT","Northern shortfin squid","NANCHSCAL",465100,-0.149998937671768,550127.451,-0.0157034404434447,2093600,2.68720659622513,"ssb","MT","Northern shortfin squid","NANCHSCAL",465100,-0.149998937671768,550127.451,-0.0157034404434447,2093600,2.68720659622513,"ssb","MT",13.7137499650319,-0.317916718988471,-0.739827347929563
"ALBANATL","Albacore tuna North Atlantic",1969,46700,0.0505958829902492,"tl","MT",547000,0.592632719393283,"MT",34700,0.0375947995666306,"MT","Northern shortfin squid","NANCHSCAL",1173800,1.10023549718713,465100,-0.165580515550037,550127.451,-0.0319392911124061,"ssb","MT","Northern shortfin squid","NANCHSCAL",1173800,1.10023549718713,465100,-0.165580515550037,550127.451,-0.0319392911124061,"ssb","MT",13.6729165712992,-0.358750112721179,-0.834851168911209
"ALBANATL","Albacore tuna North Atlantic",1970,45900,0.0497291440953413,"tl","MT",535000,0.579631635969664,"MT",31900,0.0345612134344529,"MT","Northern shortfin squid","NANCHSCAL",550127.451,2.8920142106339e-11,1173800,1.08363820003914,465100,-0.181732718826581,"ssb","MT","Northern shortfin squid","NANCHSCAL",550127.451,2.8920142106339e-11,1173800,1.08363820003914,465100,-0.181732718826581,"ssb","MT",13.8279167811076,-0.203749902912829,-0.47414854680345
"ALBANATL","Albacore tuna North Atlantic",1971,56800,0.0615384615384615,"tl","MT",521000,0.564463705308776,"MT",33800,0.0366197183098592,"MT","Northern shortfin squid","NANCHSCAL",550127.451,2.8920142106339e-11,550127.451,-0.0157034404434447,1173800,1.06678879948914,"ssb","MT","Northern shortfin squid","NANCHSCAL",550127.451,2.8920142106339e-11,550127.451,-0.0157034404434447,1173800,1.06678879948914,"ssb","MT",13.9404167334239,-0.0912499505965449,-0.212348721902209
"ALBANATL","Albacore tuna North Atlantic",1972,48800,0.0528710725893825,"tl","MT",498000,0.539544962080173,"MT",37800,0.0409534127843987,"MT","Northern shortfin squid","NANCHSCAL",399200,-0.266254686588378,550127.451,-0.0157034404434447,550127.451,-0.0319392911124061,"ssb","MT","Northern shortfin squid","NANCHSCAL",399200,-0.266254686588378,550127.451,-0.0157034404434447,550127.451,-0.0319392911124061,"ssb","MT",13.5270834763845,-0.504583207635932,-1.17422090131919
"ALBANATL","Albacore tuna North Atlantic",1973,45700,0.0495124593716143,"tl","MT",487000,0.52762730227519,"MT",41700,0.0451787648970748,"MT","Northern shortfin squid","NANCHSCAL",550127.451,2.8920142106339e-11,399200,-0.281741815616817,550127.451,-0.0319392911124061,"ssb","MT","Northern shortfin squid","NANCHSCAL",550127.451,2.8920142106339e-11,399200,-0.281741815616817,550127.451,-0.0319392911124061,"ssb","MT",13.9187501271566,-0.112916556863837,-0.262769309735295
"ALBANATL","Albacore tuna North Atlantic",1974,49600,0.0537378114842904,"tl","MT",483000,0.52329360780065,"MT",39600,0.0429035752979415,"MT","Northern shortfin squid","NANCHSCAL",550127.451,2.8920142106339e-11,550127.451,-0.0157034404434447,399200,-0.297829188499229,"ssb","MT","Northern shortfin squid","NANCHSCAL",550127.451,2.8920142106339e-11,550127.451,-0.0157034404434447,399200,-0.297829188499229,"ssb","MT",13.0287499427795,-1.00291674124087,-2.33389812032283
"ALBANATL","Albacore tuna North Atlantic",1975,41900,0.0453954496208017,"tl","MT",473000,0.512459371614301,"MT",28900,0.0313109425785482,"MT","Northern shortfin squid","NANCHSCAL",1892700,2.3684639933351,550127.451,-0.0157034404434447,550127.451,-0.0319392911124061,"ssb","MT","Northern shortfin squid","NANCHSCAL",1892700,2.3684639933351,550127.451,-0.0157034404434447,550127.451,-0.0319392911124061,"ssb","MT",13.6720832188924,-0.359583465127997,-0.836790472081514
