"stocklong","area","location","comm_name","sci_name","year","n","n_units","type","ref"
"Rockfish spp. SE Farallon Island MRI8","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1991,1.1353987,"index","MRI8","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI8","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1992,-1.5757552,"index","MRI8","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI8","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1993,0.8791766,"index","MRI8","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI8","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1994,-0.9771574,"index","MRI8","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI8","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1995,-1.3653862,"index","MRI8","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI8","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1996,-0.5271343,"index","MRI8","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI8","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1998,-2.214206,"index","MRI8","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI9","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1987,3.4689364,"index","MRI9","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI9","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1988,3.266493,"index","MRI9","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI9","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1989,0.9084169,"index","MRI9","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI9","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1990,-1.1894966,"index","MRI9","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI9","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1991,0.5408309,"index","MRI9","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI9","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1992,-1.6129214,"index","MRI9","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI9","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1993,1.1951779,"index","MRI9","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI9","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1994,-0.84703135,"index","MRI9","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI9","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1995,-1.2352602,"index","MRI9","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI9","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1996,-0.6200048,"index","MRI9","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI9","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1997,-0.8596141,"index","MRI9","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI9","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1998,-2.0655415,"index","MRI9","Mills et al 2007"
"Rockfish spp. SE Farallon Island MRI9","CA","SE Farallon Island","Rockfish spp.","Sebastes spp.",1999,-0.6512601,"index","MRI9","Mills et al 2007"
"Sand lance/capelin/walleye pollock Barren","Cook Inlet","Barren","Sand lance/capelin/walleye pollock","Misc. spp.",1995,0.0164,"g/m3","","Piatt ed 2002"
"Sand lance/capelin/walleye pollock Barren","Cook Inlet","Barren","Sand lance/capelin/walleye pollock","Misc. spp.",1996,0.0197,"g/m3","","Piatt ed 2002"
"Sand lance/capelin/walleye pollock Barren","Cook Inlet","Barren","Sand lance/capelin/walleye pollock","Misc. spp.",1997,0.0248,"g/m3","","Piatt ed 2002"
"Sand lance/capelin/walleye pollock Barren","Cook Inlet","Barren","Sand lance/capelin/walleye pollock","Misc. spp.",1998,0.0191,"g/m3","","Piatt ed 2002"
"Sand lance/capelin/walleye pollock Barren","Cook Inlet","Barren","Sand lance/capelin/walleye pollock","Misc. spp.",1999,0.0154,"g/m3","","Piatt ed 2002"
"Sand lance/capelin/walleye pollock Chisik","Cook Inlet","Chisik","Sand lance/capelin/walleye pollock","Misc. spp.",1995,0.012,"g/m3","","Piatt ed 2002"
"Sand lance/capelin/walleye pollock Chisik","Cook Inlet","Chisik","Sand lance/capelin/walleye pollock","Misc. spp.",1996,0.0089,"g/m3","","Piatt ed 2002"
"Sand lance/capelin/walleye pollock Chisik","Cook Inlet","Chisik","Sand lance/capelin/walleye pollock","Misc. spp.",1997,0.0122,"g/m3","","Piatt ed 2002"
"Sand lance/capelin/walleye pollock Chisik","Cook Inlet","Chisik","Sand lance/capelin/walleye pollock","Misc. spp.",1998,0.0082,"g/m3","","Piatt ed 2002"
"Sand lance/capelin/walleye pollock Chisik","Cook Inlet","Chisik","Sand lance/capelin/walleye pollock","Misc. spp.",1999,0.0034,"g/m3","","Piatt ed 2002"
"Sand lance/capelin/walleye pollock Gull","Cook Inlet","Gull ","Sand lance/capelin/walleye pollock","Misc. spp.",1995,0.0691,"g/m3","","Piatt ed 2002"
"Sand lance/capelin/walleye pollock Gull","Cook Inlet","Gull ","Sand lance/capelin/walleye pollock","Misc. spp.",1996,0.0446,"g/m3","","Piatt ed 2002"
"Sand lance/capelin/walleye pollock Gull","Cook Inlet","Gull ","Sand lance/capelin/walleye pollock","Misc. spp.",1997,0.0588,"g/m3","","Piatt ed 2002"
"Sand lance/capelin/walleye pollock Gull","Cook Inlet","Gull ","Sand lance/capelin/walleye pollock","Misc. spp.",1998,0.036,"g/m3","","Piatt ed 2002"
"Sand lance/capelin/walleye pollock Gull","Cook Inlet","Gull ","Sand lance/capelin/walleye pollock","Misc. spp.",1999,0.0147,"g/m3","","Piatt ed 2002"
"Sardine Robben Island spawners","Benguela","Robben Island","Sardine","Sardinops sagax",1989,0.63084847,"million tons","spawners","Crawford et al 2006"
"Sardine Robben Island spawners","Benguela","Robben Island","Sardine","Sardinops sagax",1990,0.21157138,"million tons","spawners","Crawford et al 2006"
"Sardine Robben Island spawners","Benguela","Robben Island","Sardine","Sardinops sagax",1991,0.19078797,"million tons","spawners","Crawford et al 2006"
"Sardine Robben Island spawners","Benguela","Robben Island","Sardine","Sardinops sagax",1992,0.590323,"million tons","spawners","Crawford et al 2006"
"Sardine Robben Island spawners","Benguela","Robben Island","Sardine","Sardinops sagax",1993,0.49704725,"million tons","spawners","Crawford et al 2006"
"Sardine Robben Island spawners","Benguela","Robben Island","Sardine","Sardinops sagax",1994,0.51978487,"million tons","spawners","Crawford et al 2006"
"Sardine Robben Island spawners","Benguela","Robben Island","Sardine","Sardinops sagax",1995,0.1729288,"million tons","spawners","Crawford et al 2006"
"Sardine Robben Island spawners","Benguela","Robben Island","Sardine","Sardinops sagax",1996,0.44201472,"million tons","spawners","Crawford et al 2006"
"Sardine Robben Island spawners","Benguela","Robben Island","Sardine","Sardinops sagax",1997,0.15308684,"million tons","spawners","Crawford et al 2006"
"Sardine Robben Island spawners","Benguela","Robben Island","Sardine","Sardinops sagax",1998,0.47288314,"million tons","spawners","Crawford et al 2006"
"Sardine Robben Island spawners","Benguela","Robben Island","Sardine","Sardinops sagax",1999,0.4956208,"million tons","spawners","Crawford et al 2006"
"Sardine Robben Island spawners","Benguela","Robben Island","Sardine","Sardinops sagax",2000,0.8589239,"million tons","spawners","Crawford et al 2006"
"Sardine Robben Island spawners","Benguela","Robben Island","Sardine","Sardinops sagax",2001,2.736677,"million tons","spawners","Crawford et al 2006"
"Sardine Robben Island spawners","Benguela","Robben Island","Sardine","Sardinops sagax",2002,2.534734,"million tons","spawners","Crawford et al 2006"
"Sardine Robben Island spawners","Benguela","Robben Island","Sardine","Sardinops sagax",2003,1.513965,"million tons","spawners","Crawford et al 2006"
"Sardine Robben Island spawners","Benguela","Robben Island","Sardine","Sardinops sagax",2004,1.4787173,"million tons","spawners","Crawford et al 2006"
"Sardine Robben Island spawners","Benguela","Robben Island","Sardine","Sardinops sagax",2005,1.0738617,"million tons","spawners","Crawford et al 2006"
"Sardine Robben Island YOY","Benguela","Robben Island","Sardine","Sardinops sagax",1989,0.03668835,"million tons","YOY","Crawford et al 2006"
"Sardine Robben Island YOY","Benguela","Robben Island","Sardine","Sardinops sagax",1990,0.11012211,"million tons","YOY","Crawford et al 2006"
"Sardine Robben Island YOY","Benguela","Robben Island","Sardine","Sardinops sagax",1991,0.05310681,"million tons","YOY","Crawford et al 2006"
"Sardine Robben Island YOY","Benguela","Robben Island","Sardine","Sardinops sagax",1992,0.06133744,"million tons","YOY","Crawford et al 2006"
"Sardine Robben Island YOY","Benguela","Robben Island","Sardine","Sardinops sagax",1993,0.12027844,"million tons","YOY","Crawford et al 2006"
"Sardine Robben Island YOY","Benguela","Robben Island","Sardine","Sardinops sagax",1994,0.16471243,"million tons","YOY","Crawford et al 2006"
"Sardine Robben Island YOY","Benguela","Robben Island","Sardine","Sardinops sagax",1995,0.10045076,"million tons","YOY","Crawford et al 2006"
"Sardine Robben Island YOY","Benguela","Robben Island","Sardine","Sardinops sagax",1996,0.26086956,"million tons","YOY","Crawford et al 2006"
"Sardine Robben Island YOY","Benguela","Robben Island","Sardine","Sardinops sagax",1997,0.116912015,"million tons","YOY","Crawford et al 2006"
"Sardine Robben Island YOY","Benguela","Robben Island","Sardine","Sardinops sagax",1998,0.29176652,"million tons","YOY","Crawford et al 2006"
"Sardine Robben Island YOY","Benguela","Robben Island","Sardine","Sardinops sagax",1999,0.17676595,"million tons","YOY","Crawford et al 2006"
"Sardine Robben Island YOY","Benguela","Robben Island","Sardine","Sardinops sagax",2000,0.19947506,"million tons","YOY","Crawford et al 2006"
"Sardine Robben Island YOY","Benguela","Robben Island","Sardine","Sardinops sagax",2001,0.24392332,"million tons","YOY","Crawford et al 2006"
"Sardine Robben Island YOY","Benguela","Robben Island","Sardine","Sardinops sagax",2002,0.67241526,"million tons","YOY","Crawford et al 2006"
"Sardine Robben Island YOY","Benguela","Robben Island","Sardine","Sardinops sagax",2003,0.5936894,"million tons","YOY","Crawford et al 2006"
"Sardine Robben Island YOY","Benguela","Robben Island","Sardine","Sardinops sagax",2004,0.49318156,"million tons","YOY","Crawford et al 2006"
"Sardine Robben Island YOY","Benguela","Robben Island","Sardine","Sardinops sagax",2005,0.11010784,"million tons","YOY","Crawford et al 2006"
