stocklong,year,SSB,R,TB,Abundance,AbundanceType
Pacific chub mackerel Pacific Coast,1969,19114.7,180759000,NA,19114.7,SSB
Pacific chub mackerel Pacific Coast,1970,29403.1,40830500,NA,29403.1,SSB
Pacific chub mackerel Pacific Coast,1971,39319.3,153731000,NA,39319.3,SSB
Pacific chub mackerel Pacific Coast,1972,43519.9,79784900,NA,43519.9,SSB
Pacific chub mackerel Pacific Coast,1973,47194.4,572756000,NA,47194.4,SSB
Pacific chub mackerel Pacific Coast,1974,52977.2,105878000,NA,52977.2,SSB
Pacific chub mackerel Pacific Coast,1975,67411.2,3195610000,NA,67411.2,SSB
Pacific chub mackerel Pacific Coast,1976,91854.8,1572670000,NA,91854.8,SSB
Pacific chub mackerel Pacific Coast,1977,139675,6249070000,NA,139675,SSB
Pacific chub mackerel Pacific Coast,1978,243480,698876000,NA,243480,SSB
Pacific chub mackerel Pacific Coast,1979,367600,3087500000,NA,367600,SSB
Pacific chub mackerel Pacific Coast,1980,437089,3675720000,NA,437089,SSB
Pacific chub mackerel Pacific Coast,1981,546112,1021510000,NA,546112,SSB
Pacific chub mackerel Pacific Coast,1982,611964,502391000,NA,611964,SSB
Pacific chub mackerel Pacific Coast,1983,591001,804937000,NA,591001,SSB
Pacific chub mackerel Pacific Coast,1984,572172,982993000,NA,572172,SSB
Pacific chub mackerel Pacific Coast,1985,493089,951396000,NA,493089,SSB
Pacific chub mackerel Pacific Coast,1986,419170,459336000,NA,419170,SSB
Pacific chub mackerel Pacific Coast,1987,345766,1501650000,NA,345766,SSB
Pacific chub mackerel Pacific Coast,1988,297606,470734000,NA,297606,SSB
Pacific chub mackerel Pacific Coast,1989,237230,735979000,NA,237230,SSB
Pacific chub mackerel Pacific Coast,1990,211149,556558000,NA,211149,SSB
Pacific chub mackerel Pacific Coast,1991,170401,402952000,NA,170401,SSB
Pacific chub mackerel Pacific Coast,1992,127154,888898000,NA,127154,SSB
Pacific chub mackerel Pacific Coast,1993,110197,644569000,NA,110197,SSB
Pacific chub mackerel Pacific Coast,1994,92115.1,843485000,NA,92115.1,SSB
Pacific chub mackerel Pacific Coast,1995,104429,502186000,NA,104429,SSB
Pacific chub mackerel Pacific Coast,1996,116908,218035000,NA,116908,SSB
Pacific chub mackerel Pacific Coast,1997,125597,124645000,NA,125597,SSB
Pacific chub mackerel Pacific Coast,1998,102816,175248000,NA,102816,SSB
Pacific chub mackerel Pacific Coast,1999,69736.9,235521000,NA,69736.9,SSB
Pacific chub mackerel Pacific Coast,2000,54266.5,265956000,NA,54266.5,SSB
Pacific chub mackerel Pacific Coast,2001,32720.8,113006000,NA,32720.8,SSB
Pacific chub mackerel Pacific Coast,2002,27249.5,183753000,NA,27249.5,SSB
Pacific chub mackerel Pacific Coast,2003,31670.1,331431000,NA,31670.1,SSB
Pacific chub mackerel Pacific Coast,2004,32062.8,615782000,NA,32062.8,SSB
Pacific chub mackerel Pacific Coast,2005,29420.1,603758000,NA,29420.1,SSB
Pacific chub mackerel Pacific Coast,2006,40167.2,781553000,NA,40167.2,SSB
Pacific chub mackerel Pacific Coast,2007,56688.2,307250000,NA,56688.2,SSB
Pacific chub mackerel Pacific Coast,2008,83183.3,NA,NA,83183.3,SSB
Atlantic herring Northwestern Atlantic Coast,1960,NA,NA,NA,NA,SSB
Atlantic herring Northwestern Atlantic Coast,1961,NA,NA,NA,NA,SSB
Atlantic herring Northwestern Atlantic Coast,1962,NA,NA,NA,NA,SSB
Atlantic herring Northwestern Atlantic Coast,1963,NA,NA,NA,NA,SSB
Atlantic herring Northwestern Atlantic Coast,1964,NA,NA,NA,NA,SSB
Atlantic herring Northwestern Atlantic Coast,1965,NA,NA,NA,NA,SSB
Atlantic herring Northwestern Atlantic Coast,1966,NA,NA,NA,NA,SSB
Atlantic herring Northwestern Atlantic Coast,1967,1450950,2632730000,NA,1450950,SSB
Atlantic herring Northwestern Atlantic Coast,1968,1244410,2526740000,NA,1244410,SSB
Atlantic herring Northwestern Atlantic Coast,1969,979686,1846020000,NA,979686,SSB
Atlantic herring Northwestern Atlantic Coast,1970,794644,8086560000,NA,794644,SSB
Atlantic herring Northwestern Atlantic Coast,1971,686286,504404000,NA,686286,SSB
Atlantic herring Northwestern Atlantic Coast,1972,530878,393002000,NA,530878,SSB
Atlantic herring Northwestern Atlantic Coast,1973,687446,1325790000,NA,687446,SSB
Atlantic herring Northwestern Atlantic Coast,1974,530295,1095610000,NA,530295,SSB
Atlantic herring Northwestern Atlantic Coast,1975,359463,1077230000,NA,359463,SSB
Atlantic herring Northwestern Atlantic Coast,1976,217530,1912320000,NA,217530,SSB
Atlantic herring Northwestern Atlantic Coast,1977,134349,1715750000,NA,134349,SSB
Atlantic herring Northwestern Atlantic Coast,1978,161004,409242000,NA,161004,SSB
Atlantic herring Northwestern Atlantic Coast,1979,173409,748511000,NA,173409,SSB
Atlantic herring Northwestern Atlantic Coast,1980,180155,681454000,NA,180155,SSB
Atlantic herring Northwestern Atlantic Coast,1981,139610,868923000,NA,139610,SSB
Atlantic herring Northwestern Atlantic Coast,1982,108207,709897000,NA,108207,SSB
Atlantic herring Northwestern Atlantic Coast,1983,105470,1677990000,NA,105470,SSB
Atlantic herring Northwestern Atlantic Coast,1984,138005,1045760000,NA,138005,SSB
Atlantic herring Northwestern Atlantic Coast,1985,163850,1299240000,NA,163850,SSB
Atlantic herring Northwestern Atlantic Coast,1986,218469,1660320000,NA,218469,SSB
Atlantic herring Northwestern Atlantic Coast,1987,215244,2715390000,NA,215244,SSB
Atlantic herring Northwestern Atlantic Coast,1988,225632,3518780000,NA,225632,SSB
Atlantic herring Northwestern Atlantic Coast,1989,288671,3963370000,NA,288671,SSB
Atlantic herring Northwestern Atlantic Coast,1990,352937,3568620000,NA,352937,SSB
Atlantic herring Northwestern Atlantic Coast,1991,460320,1288600000,NA,460320,SSB
Atlantic herring Northwestern Atlantic Coast,1992,632953,1592010000,NA,632953,SSB
Atlantic herring Northwestern Atlantic Coast,1993,806918,1916120000,NA,806918,SSB
Atlantic herring Northwestern Atlantic Coast,1994,735917,7223450000,NA,735917,SSB
Atlantic herring Northwestern Atlantic Coast,1995,739406,3068760000,NA,739406,SSB
Atlantic herring Northwestern Atlantic Coast,1996,795292,2978810000,NA,795292,SSB
Atlantic herring Northwestern Atlantic Coast,1997,984776,1768030000,NA,984776,SSB
Atlantic herring Northwestern Atlantic Coast,1998,1031830,5519540000,NA,1031830,SSB
Atlantic herring Northwestern Atlantic Coast,1999,1048570,1158360000,NA,1048570,SSB
Atlantic herring Northwestern Atlantic Coast,2000,1168850,1520820000,NA,1168850,SSB
Atlantic herring Northwestern Atlantic Coast,2001,1265530,2410820000,NA,1265530,SSB
Atlantic herring Northwestern Atlantic Coast,2002,1054080,4768130000,NA,1054080,SSB
Atlantic herring Northwestern Atlantic Coast,2003,1033180,1483900000,NA,1033180,SSB
Atlantic herring Northwestern Atlantic Coast,2004,1024840,NA,NA,1024840,SSB
Atlantic herring Northwestern Atlantic Coast,2005,1047040,NA,NA,1047040,SSB
Longfin inshore squid Atlantic Coast,1963,NA,NA,NA,NA,TB
Longfin inshore squid Atlantic Coast,1964,NA,NA,NA,NA,TB
Longfin inshore squid Atlantic Coast,1965,NA,NA,NA,NA,TB
Longfin inshore squid Atlantic Coast,1966,NA,NA,NA,NA,TB
Longfin inshore squid Atlantic Coast,1967,NA,NA,NA,NA,TB
Longfin inshore squid Atlantic Coast,1968,NA,NA,NA,NA,TB
Longfin inshore squid Atlantic Coast,1969,NA,NA,NA,NA,TB
Longfin inshore squid Atlantic Coast,1970,NA,NA,NA,NA,TB
Longfin inshore squid Atlantic Coast,1971,NA,NA,NA,NA,TB
Longfin inshore squid Atlantic Coast,1972,NA,NA,NA,NA,TB
Longfin inshore squid Atlantic Coast,1973,NA,NA,NA,NA,TB
Longfin inshore squid Atlantic Coast,1974,NA,NA,NA,NA,TB
Longfin inshore squid Atlantic Coast,1975,NA,NA,NA,NA,TB
Longfin inshore squid Atlantic Coast,1976,NA,NA,143108,143108,TB
Longfin inshore squid Atlantic Coast,1977,NA,NA,67786,67786,TB
Longfin inshore squid Atlantic Coast,1978,NA,NA,53041,53041,TB
Longfin inshore squid Atlantic Coast,1979,NA,NA,61832,61832,TB
Longfin inshore squid Atlantic Coast,1980,NA,NA,94889,94889,TB
Longfin inshore squid Atlantic Coast,1981,NA,NA,78399,78399,TB
Longfin inshore squid Atlantic Coast,1982,NA,NA,83317,83317,TB
Longfin inshore squid Atlantic Coast,1983,NA,NA,140594,140594,TB
Longfin inshore squid Atlantic Coast,1984,NA,NA,137445,137445,TB
Longfin inshore squid Atlantic Coast,1985,NA,NA,122040,122040,TB
Longfin inshore squid Atlantic Coast,1986,NA,NA,93995,93995,TB
Longfin inshore squid Atlantic Coast,1987,NA,NA,26304,26304,TB
Longfin inshore squid Atlantic Coast,1988,NA,NA,72353,72353,TB
Longfin inshore squid Atlantic Coast,1989,NA,NA,142912,142912,TB
Longfin inshore squid Atlantic Coast,1990,NA,NA,71220,71220,TB
Longfin inshore squid Atlantic Coast,1991,NA,NA,85942,85942,TB
Longfin inshore squid Atlantic Coast,1992,NA,NA,76329,76329,TB
Longfin inshore squid Atlantic Coast,1993,NA,NA,35429,35429,TB
Longfin inshore squid Atlantic Coast,1994,NA,NA,153280,153280,TB
Longfin inshore squid Atlantic Coast,1995,NA,NA,43269,43269,TB
Longfin inshore squid Atlantic Coast,1996,NA,NA,25806,25806,TB
Longfin inshore squid Atlantic Coast,1997,NA,NA,70791,70791,TB
Longfin inshore squid Atlantic Coast,1998,NA,NA,33944,33944,TB
Longfin inshore squid Atlantic Coast,1999,NA,NA,106032,106032,TB
Longfin inshore squid Atlantic Coast,2000,NA,NA,175894,175894,TB
Longfin inshore squid Atlantic Coast,2001,NA,NA,59688,59688,TB
Longfin inshore squid Atlantic Coast,2002,NA,NA,154284,154284,TB
Longfin inshore squid Atlantic Coast,2003,NA,NA,80563,80563,TB
Longfin inshore squid Atlantic Coast,2004,NA,NA,51120,51120,TB
Longfin inshore squid Atlantic Coast,2005,NA,NA,63894,63894,TB
Longfin inshore squid Atlantic Coast,2006,NA,NA,141909,141909,TB
Longfin inshore squid Atlantic Coast,2007,NA,NA,74939,74939,TB
Longfin inshore squid Atlantic Coast,2008,NA,NA,69092,69092,TB
Longfin inshore squid Atlantic Coast,2009,NA,NA,39792,39792,TB
Gulf menhaden Gulf of Mexico,1948,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1949,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1950,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1951,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1952,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1953,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1954,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1955,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1956,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1957,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1958,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1959,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1960,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1961,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1962,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1963,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1964,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1965,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1966,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1967,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1968,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1969,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1970,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1971,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1972,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1973,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1974,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1975,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1976,NA,NA,NA,NA,SSB
Gulf menhaden Gulf of Mexico,1977,1.70E+13,1.34E+11,NA,1.70E+13,SSB
Gulf menhaden Gulf of Mexico,1978,3.67E+13,1.23E+11,NA,3.67E+13,SSB
Gulf menhaden Gulf of Mexico,1979,4.57E+13,6.57E+10,NA,4.57E+13,SSB
Gulf menhaden Gulf of Mexico,1980,4.73E+13,1.35E+11,NA,4.73E+13,SSB
Gulf menhaden Gulf of Mexico,1981,2.27E+13,1.46E+11,NA,2.27E+13,SSB
Gulf menhaden Gulf of Mexico,1982,5.40E+13,1.15E+11,NA,5.40E+13,SSB
Gulf menhaden Gulf of Mexico,1983,6.02E+13,1.23E+11,NA,6.02E+13,SSB
Gulf menhaden Gulf of Mexico,1984,4.35E+13,1.75E+11,NA,4.35E+13,SSB
Gulf menhaden Gulf of Mexico,1985,3.46E+13,1.15E+11,NA,3.46E+13,SSB
Gulf menhaden Gulf of Mexico,1986,6.25E+13,9.98E+10,NA,6.25E+13,SSB
Gulf menhaden Gulf of Mexico,1987,4.97E+13,8.50E+10,NA,4.97E+13,SSB
Gulf menhaden Gulf of Mexico,1988,3.07E+13,8.19E+10,NA,3.07E+13,SSB
Gulf menhaden Gulf of Mexico,1989,2.68E+13,9.53E+10,NA,2.68E+13,SSB
Gulf menhaden Gulf of Mexico,1990,2.55E+13,7.05E+10,NA,2.55E+13,SSB
Gulf menhaden Gulf of Mexico,1991,3.49E+13,6.64E+10,NA,3.49E+13,SSB
Gulf menhaden Gulf of Mexico,1992,2.68E+13,1.43E+11,NA,2.68E+13,SSB
Gulf menhaden Gulf of Mexico,1993,2.64E+13,9.96E+10,NA,2.64E+13,SSB
Gulf menhaden Gulf of Mexico,1994,6.09E+13,8.25E+10,NA,6.09E+13,SSB
Gulf menhaden Gulf of Mexico,1995,4.38E+13,1.17E+11,NA,4.38E+13,SSB
Gulf menhaden Gulf of Mexico,1996,4.05E+13,1.01E+11,NA,4.05E+13,SSB
Gulf menhaden Gulf of Mexico,1997,5.69E+13,1.02E+11,NA,5.69E+13,SSB
Gulf menhaden Gulf of Mexico,1998,4.97E+13,1.24E+11,NA,4.97E+13,SSB
Gulf menhaden Gulf of Mexico,1999,5.24E+13,1.13E+11,NA,5.24E+13,SSB
Gulf menhaden Gulf of Mexico,2000,5.63E+13,9.84E+10,NA,5.63E+13,SSB
Gulf menhaden Gulf of Mexico,2001,5.75E+13,9.95E+10,NA,5.75E+13,SSB
Gulf menhaden Gulf of Mexico,2002,5.31E+13,8.02E+10,NA,5.31E+13,SSB
Gulf menhaden Gulf of Mexico,2003,4.91E+13,9.91E+10,NA,4.91E+13,SSB
Gulf menhaden Gulf of Mexico,2004,3.96E+13,8.85E+10,NA,3.96E+13,SSB
Gulf menhaden Gulf of Mexico,2005,4.78E+13,8.28E+10,NA,4.78E+13,SSB
Gulf menhaden Gulf of Mexico,2006,4.76E+13,1.34E+11,NA,4.76E+13,SSB
Gulf menhaden Gulf of Mexico,2007,4.28E+13,1.21E+11,NA,4.28E+13,SSB
Gulf menhaden Gulf of Mexico,2008,6.93E+13,4.70E+10,NA,6.93E+13,SSB
Gulf menhaden Gulf of Mexico,2009,7.71E+13,9.95E+10,NA,7.71E+13,SSB
Gulf menhaden Gulf of Mexico,2010,3.64E+13,2.70E+11,NA,3.64E+13,SSB
Gulf menhaden Gulf of Mexico,2011,5.05E+13,1.08E+11,NA,5.05E+13,SSB
Atlantic menhaden Atlantic,1940,NA,NA,NA,NA,TB
Atlantic menhaden Atlantic,1941,NA,NA,NA,NA,TB
Atlantic menhaden Atlantic,1942,NA,NA,NA,NA,TB
Atlantic menhaden Atlantic,1943,NA,NA,NA,NA,TB
Atlantic menhaden Atlantic,1944,NA,NA,NA,NA,TB
Atlantic menhaden Atlantic,1945,NA,NA,NA,NA,TB
Atlantic menhaden Atlantic,1946,NA,NA,NA,NA,TB
Atlantic menhaden Atlantic,1947,NA,NA,NA,NA,TB
Atlantic menhaden Atlantic,1948,NA,NA,NA,NA,TB
Atlantic menhaden Atlantic,1949,NA,NA,NA,NA,TB
Atlantic menhaden Atlantic,1950,NA,NA,NA,NA,TB
Atlantic menhaden Atlantic,1951,NA,NA,NA,NA,TB
Atlantic menhaden Atlantic,1952,NA,NA,NA,NA,TB
Atlantic menhaden Atlantic,1953,NA,NA,NA,NA,TB
Atlantic menhaden Atlantic,1954,NA,NA,NA,NA,TB
Atlantic menhaden Atlantic,1955,NA,3.11E+10,1626108,1626108,TB
Atlantic menhaden Atlantic,1956,NA,2.89E+10,1767421,1767421,TB
Atlantic menhaden Atlantic,1957,NA,1.69E+10,1848265,1848265,TB
Atlantic menhaden Atlantic,1958,NA,6.17E+10,1587645,1587645,TB
Atlantic menhaden Atlantic,1959,NA,9.25E+09,3069553,3069553,TB
Atlantic menhaden Atlantic,1960,NA,1.34E+10,2259925,2259925,TB
Atlantic menhaden Atlantic,1961,NA,8.69E+09,1741110,1741110,TB
Atlantic menhaden Atlantic,1962,NA,8.22E+09,1188255,1188255,TB
Atlantic menhaden Atlantic,1963,NA,6.59E+09,731627.8,731627.8,TB
Atlantic menhaden Atlantic,1964,NA,8.41E+09,565500.9,565500.9,TB
Atlantic menhaden Atlantic,1965,NA,6.58E+09,542905.7,542905.7,TB
Atlantic menhaden Atlantic,1966,NA,9.31E+09,444184.5,444184.5,TB
Atlantic menhaden Atlantic,1967,NA,4.94E+09,613669.1,613669.1,TB
Atlantic menhaden Atlantic,1968,NA,7.83E+09,502921,502921,TB
Atlantic menhaden Atlantic,1969,NA,1.32E+10,600990.3,600990.3,TB
Atlantic menhaden Atlantic,1970,NA,6.48E+09,812401.6,812401.6,TB
Atlantic menhaden Atlantic,1971,NA,1.56E+10,794839.7,794839.7,TB
Atlantic menhaden Atlantic,1972,NA,1.10E+10,1023394,1023394,TB
Atlantic menhaden Atlantic,1973,NA,1.31E+10,896575.3,896575.3,TB
Atlantic menhaden Atlantic,1974,NA,1.63E+10,773732.2,773732.2,TB
Atlantic menhaden Atlantic,1975,NA,2.76E+10,754995.3,754995.3,TB
Atlantic menhaden Atlantic,1976,NA,2.26E+10,1003684,1003684,TB
Atlantic menhaden Atlantic,1977,NA,2.05E+10,976358.9,976358.9,TB
Atlantic menhaden Atlantic,1978,NA,2.14E+10,893343.9,893343.9,TB
Atlantic menhaden Atlantic,1979,NA,3.65E+10,992905.9,992905.9,TB
Atlantic menhaden Atlantic,1980,NA,2.15E+10,1190071,1190071,TB
Atlantic menhaden Atlantic,1981,NA,3.24E+10,1010331,1010331,TB
Atlantic menhaden Atlantic,1982,NA,1.23E+10,1139750,1139750,TB
Atlantic menhaden Atlantic,1983,NA,2.23E+10,891250.5,891250.5,TB
Atlantic menhaden Atlantic,1984,NA,3.08E+10,801268.2,801268.2,TB
Atlantic menhaden Atlantic,1985,NA,2.53E+10,1097484,1097484,TB
Atlantic menhaden Atlantic,1986,NA,1.84E+10,1076322,1076322,TB
Atlantic menhaden Atlantic,1987,NA,1.38E+10,1163603,1163603,TB
Atlantic menhaden Atlantic,1988,NA,2.73E+10,866595.9,866595.9,TB
Atlantic menhaden Atlantic,1989,NA,1.05E+10,1071328,1071328,TB
Atlantic menhaden Atlantic,1990,NA,1.90E+10,1124183,1124183,TB
Atlantic menhaden Atlantic,1991,NA,2.25E+10,1011980,1011980,TB
Atlantic menhaden Atlantic,1992,NA,1.82E+10,1152560,1152560,TB
Atlantic menhaden Atlantic,1993,NA,1.26E+10,1314469,1314469,TB
Atlantic menhaden Atlantic,1994,NA,1.69E+10,1022785,1022785,TB
Atlantic menhaden Atlantic,1995,NA,9.35E+09,1187298,1187298,TB
Atlantic menhaden Atlantic,1996,NA,9.04E+09,1054017,1054017,TB
Atlantic menhaden Atlantic,1997,NA,7.91E+09,864314.2,864314.2,TB
Atlantic menhaden Atlantic,1998,NA,1.03E+10,729439.8,729439.8,TB
Atlantic menhaden Atlantic,1999,NA,1.01E+10,653877.5,653877.5,TB
Atlantic menhaden Atlantic,2000,NA,5.53E+09,758258.1,758258.1,TB
Atlantic menhaden Atlantic,2001,NA,9.32E+09,792123.9,792123.9,TB
Atlantic menhaden Atlantic,2002,NA,1.49E+10,745577.7,745577.7,TB
Atlantic menhaden Atlantic,2003,NA,1.27E+10,1077214,1077214,TB
Atlantic menhaden Atlantic,2004,NA,5.44E+09,869167.7,869167.7,TB
Atlantic menhaden Atlantic,2005,NA,8.81E+09,689357.4,689357.4,TB
Pacific hake Pacific Coast,1966,960000,1.26E+09,NA,960000,SSB
Pacific hake Pacific Coast,1967,887000,3.12E+09,NA,887000,SSB
Pacific hake Pacific Coast,1968,835000,1.82E+09,NA,835000,SSB
Pacific hake Pacific Coast,1969,887000,7.61E+08,NA,887000,SSB
Pacific hake Pacific Coast,1970,940000,7.00E+09,NA,940000,SSB
Pacific hake Pacific Coast,1971,928000,6.16E+08,NA,928000,SSB
Pacific hake Pacific Coast,1972,1107000,3.91E+08,NA,1107000,SSB
Pacific hake Pacific Coast,1973,1262000,3.83E+09,NA,1262000,SSB
Pacific hake Pacific Coast,1974,1279000,3.44E+08,NA,1279000,SSB
Pacific hake Pacific Coast,1975,1274000,1.20E+09,NA,1274000,SSB
Pacific hake Pacific Coast,1976,1248000,3.03E+08,NA,1248000,SSB
Pacific hake Pacific Coast,1977,1180000,4.53E+09,NA,1180000,SSB
Pacific hake Pacific Coast,1978,1092000,2.57E+08,NA,1092000,SSB
Pacific hake Pacific Coast,1979,1126000,8.14E+08,NA,1126000,SSB
Pacific hake Pacific Coast,1980,1134000,1.51E+10,NA,1134000,SSB
Pacific hake Pacific Coast,1981,1114000,2.63E+08,NA,1114000,SSB
Pacific hake Pacific Coast,1982,1499000,2.38E+08,NA,1499000,SSB
Pacific hake Pacific Coast,1983,1882000,3.94E+08,NA,1882000,SSB
Pacific hake Pacific Coast,1984,2007000,1.23E+10,NA,2007000,SSB
Pacific hake Pacific Coast,1985,1920000,1.72E+08,NA,1920000,SSB
Pacific hake Pacific Coast,1986,2141000,1.90E+08,NA,2141000,SSB
Pacific hake Pacific Coast,1987,2261000,5.20E+09,NA,2261000,SSB
Pacific hake Pacific Coast,1988,2174000,1.85E+09,NA,2174000,SSB
Pacific hake Pacific Coast,1989,2097000,1.74E+08,NA,2097000,SSB
Pacific hake Pacific Coast,1990,1978000,4.28E+09,NA,1978000,SSB
Pacific hake Pacific Coast,1991,1806000,5.00E+08,NA,1806000,SSB
Pacific hake Pacific Coast,1992,1661000,1.77E+08,NA,1661000,SSB
Pacific hake Pacific Coast,1993,1502000,3.18E+09,NA,1502000,SSB
Pacific hake Pacific Coast,1994,1321000,2.34E+09,NA,1321000,SSB
Pacific hake Pacific Coast,1995,1105000,1.33E+09,NA,1105000,SSB
Pacific hake Pacific Coast,1996,1049000,1.50E+09,NA,1049000,SSB
Pacific hake Pacific Coast,1997,956000,1.22E+09,NA,956000,SSB
Pacific hake Pacific Coast,1998,854000,1.72E+09,NA,854000,SSB
Pacific hake Pacific Coast,1999,742000,1.04E+10,NA,742000,SSB
Pacific hake Pacific Coast,2000,648000,3.47E+08,NA,648000,SSB
Pacific hake Pacific Coast,2001,924000,7.92E+08,NA,924000,SSB
Pacific hake Pacific Coast,2002,1179000,6.40E+07,NA,1179000,SSB
Pacific hake Pacific Coast,2003,1288000,1.27E+09,NA,1288000,SSB
Pacific hake Pacific Coast,2004,1219000,6.40E+07,NA,1219000,SSB
Pacific hake Pacific Coast,2005,1020000,1.96E+09,NA,1020000,SSB
Pacific hake Pacific Coast,2006,774000,1.58E+09,NA,774000,SSB
Pacific hake Pacific Coast,2007,580000,7.00E+07,NA,580000,SSB
Pacific hake Pacific Coast,2008,491000,5.25E+09,NA,491000,SSB
Pacific hake Pacific Coast,2009,384000,1.74E+09,NA,384000,SSB
Pacific hake Pacific Coast,2010,483000,9.32E+08,NA,483000,SSB
Pacific hake Pacific Coast,2011,587000,7.63E+08,NA,587000,SSB
Pacific hake Pacific Coast,2012,616000,7.62E+08,NA,616000,SSB
