Specie,Year,Abundance,Abundance_Type,Area,Large.Area,Reference,Catch,Unique
Brandt Cormoran,2000,5898,Breeding Adults,South Farallon Island,CA,Elliot et al 2015,NA,Brandt Cormoran Breeding Adults South Farallon Island
Brandt Cormoran,2001,6609,Breeding Adults,South Farallon Island,CA,Elliot et al 2015,NA,Brandt Cormoran Breeding Adults South Farallon Island
Brandt Cormoran,2002,9400,Breeding Adults,South Farallon Island,CA,Elliot et al 2015,NA,Brandt Cormoran Breeding Adults South Farallon Island
Brandt Cormoran,2003,11181,Breeding Adults,South Farallon Island,CA,Elliot et al 2015,NA,Brandt Cormoran Breeding Adults South Farallon Island
Brandt Cormoran,2004,16704,Breeding Adults,South Farallon Island,CA,Elliot et al 2015,NA,Brandt Cormoran Breeding Adults South Farallon Island
Brandt Cormoran,2005,11653,Breeding Adults,South Farallon Island,CA,Elliot et al 2015,NA,Brandt Cormoran Breeding Adults South Farallon Island
Brandt Cormoran,2006,15572,Breeding Adults,South Farallon Island,CA,Elliot et al 2015,NA,Brandt Cormoran Breeding Adults South Farallon Island
Brandt Cormoran,2007,20561,Breeding Adults,South Farallon Island,CA,Elliot et al 2015,NA,Brandt Cormoran Breeding Adults South Farallon Island
Brandt Cormoran,2008,4817,Breeding Adults,South Farallon Island,CA,Elliot et al 2015,NA,Brandt Cormoran Breeding Adults South Farallon Island
Brandt Cormoran,2009,1311,Breeding Adults,South Farallon Island,CA,Elliot et al 2015,NA,Brandt Cormoran Breeding Adults South Farallon Island
Brandt Cormoran,2010,5052,Breeding Adults,South Farallon Island,CA,Elliot et al 2015,NA,Brandt Cormoran Breeding Adults South Farallon Island
Brandt Cormoran,2011,4872,Breeding Adults,South Farallon Island,CA,Elliot et al 2015,NA,Brandt Cormoran Breeding Adults South Farallon Island
Brandt Cormoran,2012,3505,Breeding Adults,South Farallon Island,CA,Elliot et al 2015,NA,Brandt Cormoran Breeding Adults South Farallon Island
Brandt Cormoran,1979,10947,Total Nests,Gulf Farallonls,CA,Capitolo et al 2014,NA,Brandt Cormoran Total Nests Gulf Farallonls
Brandt Cormoran,1980,8575,Total Nests,Gulf Farallonls,CA,Capitolo et al 2014,NA,Brandt Cormoran Total Nests Gulf Farallonls
Brandt Cormoran,1986,3537,Total Nests,Gulf Farallonls,CA,Capitolo et al 2014,NA,Brandt Cormoran Total Nests Gulf Farallonls
Brandt Cormoran,1987,4618,Total Nests,Gulf Farallonls,CA,Capitolo et al 2014,NA,Brandt Cormoran Total Nests Gulf Farallonls
Brandt Cormoran,1988,6407,Total Nests,Gulf Farallonls,CA,Capitolo et al 2014,NA,Brandt Cormoran Total Nests Gulf Farallonls
Brandt Cormoran,1989,8455,Total Nests,Gulf Farallonls,CA,Capitolo et al 2014,NA,Brandt Cormoran Total Nests Gulf Farallonls
Brandt Cormoran,1990,5097,Total Nests,Gulf Farallonls,CA,Capitolo et al 2014,NA,Brandt Cormoran Total Nests Gulf Farallonls
Brandt Cormoran,1993,5688,Total Nests,Gulf Farallonls,CA,Capitolo et al 2014,NA,Brandt Cormoran Total Nests Gulf Farallonls
Brandt Cormoran,1994,6816,Total Nests,Gulf Farallonls,CA,Capitolo et al 2014,NA,Brandt Cormoran Total Nests Gulf Farallonls
Brandt Cormoran,1995,6589,Total Nests,Gulf Farallonls,CA,Capitolo et al 2014,NA,Brandt Cormoran Total Nests Gulf Farallonls
Brandt Cormoran,1997,6789,Total Nests,Gulf Farallonls,CA,Capitolo et al 2014,NA,Brandt Cormoran Total Nests Gulf Farallonls
Brandt Cormoran,1998,3526,Total Nests,Gulf Farallonls,CA,Capitolo et al 2014,NA,Brandt Cormoran Total Nests Gulf Farallonls
Brandt Cormoran,1999,5509,Total Nests,Gulf Farallonls,CA,Capitolo et al 2014,NA,Brandt Cormoran Total Nests Gulf Farallonls
Brandt Cormoran,2000,5682,Total Nests,Gulf Farallonls,CA,Capitolo et al 2014,NA,Brandt Cormoran Total Nests Gulf Farallonls
Brandt Cormoran,2001,6522,Total Nests,Gulf Farallonls,CA,Capitolo et al 2014,NA,Brandt Cormoran Total Nests Gulf Farallonls
Brandt Cormoran,2002,9976,Total Nests,Gulf Farallonls,CA,Capitolo et al 2014,NA,Brandt Cormoran Total Nests Gulf Farallonls
Brandt Cormoran,2003,9447,Total Nests,Gulf Farallonls,CA,Capitolo et al 2014,NA,Brandt Cormoran Total Nests Gulf Farallonls
Brandt Cormoran,2004,12357,Total Nests,Gulf Farallonls,CA,Capitolo et al 2014,NA,Brandt Cormoran Total Nests Gulf Farallonls
Brandt Cormoran,2005,10959,Total Nests,Gulf Farallonls,CA,Capitolo et al 2014,NA,Brandt Cormoran Total Nests Gulf Farallonls
Brandt Cormoran,2006,17438,Total Nests,Gulf Farallonls,CA,Capitolo et al 2014,NA,Brandt Cormoran Total Nests Gulf Farallonls
Brown Pelican,1971,663,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1972,531,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1973,616,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1974,1305,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1975,633,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1976,933,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1977,348,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1978,466,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1979,2202,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1980,2977,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1981,3732,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1982,2757,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1983,2733,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1984,1500,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1985,6964,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1986,7977,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1987,7900,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1988,3544,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1989,5939,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1990,2481,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1991,6454,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1992,1936,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1993,4440,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1994,6145,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1995,6251,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1996,6616,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1997,6614,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1998,3414,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1999,6005,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,2004,7500,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,2005,5948,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,2006,9000,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,2007,5944,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,2009,11695,Total Nests,South California Bight,CA,http://www.esasuccess.org/birds.shtml,NA,Brown Pelican Total Nests South California Bight
Brown Pelican,1987,840.6205,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,1988,2883.3822,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,1989,3281.9396,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,1990,4933.431,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,1991,7613,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,1992,3714.5805,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,1993,4485.2825,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,1994,3533.4878,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,1996,5759.7584,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,1997,1186.6207,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,1998,2114.0354,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,1999,2003.8199,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,2000,5025.1727,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,2001,2644.6696,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,2002,3239.2776,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,2003,4224.9641,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,2004,2607.7479,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,2005,11501.2861,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,2007,7581.4757,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,2008,5553.0327,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,2009,6343.2439,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,2010,3884.1927,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,2011,3538.9083,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,2012,3742.1183,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,2013,3632.0308,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,2014,1523,Total Counts,Washington ,WA,Stinson 2014,NA,Brown Pelican Total Counts Washington 
Brown Pelican,1987,3151.2051,Total Counts,Oregon ,OR,Stinson 2014,NA,Brown Pelican Total Counts Oregon 
Brown Pelican,1988,1455.6965,Total Counts,Oregon ,OR,Stinson 2014,NA,Brown Pelican Total Counts Oregon 
Brown Pelican,1989,1619.5046,Total Counts,Oregon ,OR,Stinson 2014,NA,Brown Pelican Total Counts Oregon 
Brown Pelican,1990,1900.7511,Total Counts,Oregon ,OR,Stinson 2014,NA,Brown Pelican Total Counts Oregon 
Brown Pelican,1991,2455.9573,Total Counts,Oregon ,OR,Stinson 2014,NA,Brown Pelican Total Counts Oregon 
Brown Pelican,1992,1602.0281,Total Counts,Oregon ,OR,Stinson 2014,NA,Brown Pelican Total Counts Oregon 
Brown Pelican,1993,1961.6311,Total Counts,Oregon ,OR,Stinson 2014,NA,Brown Pelican Total Counts Oregon 
Brown Pelican,1996,3314.4634,Total Counts,Oregon ,OR,Stinson 2014,NA,Brown Pelican Total Counts Oregon 
Brown Pelican,1997,4691.484,Total Counts,Oregon ,OR,Stinson 2014,NA,Brown Pelican Total Counts Oregon 
Brown Pelican,2001,4016.0011,Total Counts,Oregon ,OR,Stinson 2014,NA,Brown Pelican Total Counts Oregon 
Brown Pelican,2002,8838.1429,Total Counts,Oregon ,OR,Stinson 2014,NA,Brown Pelican Total Counts Oregon 
Brown Pelican,2003,4852.7734,Total Counts,Oregon ,OR,Stinson 2014,NA,Brown Pelican Total Counts Oregon 
Brown Pelican,2004,12454.2953,Total Counts,Oregon ,OR,Stinson 2014,NA,Brown Pelican Total Counts Oregon 
Brown Pelican,2005,5023.8048,Total Counts,Oregon ,OR,Stinson 2014,NA,Brown Pelican Total Counts Oregon 
Brown Pelican,2007,11223.3507,Total Counts,Oregon ,OR,Stinson 2014,NA,Brown Pelican Total Counts Oregon 
Brown Pelican,2008,7002.7205,Total Counts,Oregon ,OR,Stinson 2014,NA,Brown Pelican Total Counts Oregon 
Brown Pelican,2009,11824.9902,Total Counts,Oregon ,OR,Stinson 2014,NA,Brown Pelican Total Counts Oregon 
Brown Pelican,2010,8700.5814,Total Counts,Oregon ,OR,Stinson 2014,NA,Brown Pelican Total Counts Oregon 
Brown Pelican,2011,14305.6472,Total Counts,Oregon ,OR,Stinson 2014,NA,Brown Pelican Total Counts Oregon 
Brown Pelican,2012,8636.6077,Total Counts,Oregon ,OR,Stinson 2014,NA,Brown Pelican Total Counts Oregon 
Brown Pelican,2013,3594.2909,Total Counts,Oregon ,OR,Stinson 2014,NA,Brown Pelican Total Counts Oregon 
Brown Pelican,2014,1996.4561,Total Counts,Oregon ,OR,Stinson 2014,NA,Brown Pelican Total Counts Oregon 
California Gulls,1983,45095,Breeding Adults,Lake Mono,CA,Wrege et al 2006,NA,California Gulls Breeding Adults Lake Mono
California Gulls,1984,44914,Breeding Adults,Lake Mono,CA,Wrege et al 2006,NA,California Gulls Breeding Adults Lake Mono
California Gulls,1985,44649,Breeding Adults,Lake Mono,CA,Wrege et al 2006,NA,California Gulls Breeding Adults Lake Mono
California Gulls,1986,49612,Breeding Adults,Lake Mono,CA,Wrege et al 2006,NA,California Gulls Breeding Adults Lake Mono
California Gulls,1987,47744,Breeding Adults,Lake Mono,CA,Wrege et al 2006,NA,California Gulls Breeding Adults Lake Mono
California Gulls,1988,45117,Breeding Adults,Lake Mono,CA,Wrege et al 2006,NA,California Gulls Breeding Adults Lake Mono
California Gulls,1989,44260,Breeding Adults,Lake Mono,CA,Wrege et al 2006,NA,California Gulls Breeding Adults Lake Mono
California Gulls,1990,61368,Breeding Adults,Lake Mono,CA,Wrege et al 2006,NA,California Gulls Breeding Adults Lake Mono
California Gulls,1991,37488,Breeding Adults,Lake Mono,CA,Wrege et al 2006,NA,California Gulls Breeding Adults Lake Mono
California Gulls,1992,64716,Breeding Adults,Lake Mono,CA,Wrege et al 2006,NA,California Gulls Breeding Adults Lake Mono
California Gulls,1993,60992,Breeding Adults,Lake Mono,CA,Wrege et al 2006,NA,California Gulls Breeding Adults Lake Mono
California Gulls,1994,63173,Breeding Adults,Lake Mono,CA,Wrege et al 2006,NA,California Gulls Breeding Adults Lake Mono
California Gulls,1995,50003,Breeding Adults,Lake Mono,CA,Wrege et al 2006,NA,California Gulls Breeding Adults Lake Mono
California Gulls,1996,47629,Breeding Adults,Lake Mono,CA,Wrege et al 2006,NA,California Gulls Breeding Adults Lake Mono
California Gulls,1997,49726,Breeding Adults,Lake Mono,CA,Wrege et al 2006,NA,California Gulls Breeding Adults Lake Mono
California Gulls,1998,35291,Breeding Adults,Lake Mono,CA,Wrege et al 2006,NA,California Gulls Breeding Adults Lake Mono
California Gulls,1999,40508,Breeding Adults,Lake Mono,CA,Wrege et al 2006,NA,California Gulls Breeding Adults Lake Mono
California Gulls,2000,49266,Breeding Adults,Lake Mono,CA,Wrege et al 2006,NA,California Gulls Breeding Adults Lake Mono
California Gulls,2001,47735,Breeding Adults,Lake Mono,CA,Wrege et al 2006,NA,California Gulls Breeding Adults Lake Mono
California Gulls,2002,45783,Breeding Adults,Lake Mono,CA,Wrege et al 2006,NA,California Gulls Breeding Adults Lake Mono
California Gulls,2003,40035,Breeding Adults,Lake Mono,CA,Wrege et al 2006,NA,California Gulls Breeding Adults Lake Mono
California Sea Lion,1975,12200,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,1976,11602,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,1977,11401,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,1978,11299,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,1979,14573,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,1980,16755,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,1981,15958,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,1982,19232,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,1983,12379,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,1984,13965,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,1985,15154,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,1986,17336,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,1987,19319,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,1988,19515,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,1989,23882,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,1990,24573,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,1991,29933,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,1992,20597,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,1993,22878,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,1994,35585,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,1995,36179,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,1996,41240,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,1997,41436,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,1998,14923,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,1999,42225,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,2000,49570,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,2001,49171,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,2002,45494,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,2003,36556,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,2004,48465,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,2005,56208,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,2006,54319,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,2007,59777,Pups,Southern SCB,CA,NOAA 2011,NA,California Sea Lion Pups Southern SCB
California Sea Lion,1927,1621.5965,Total Counts,Southern SCB,CA,Lowry and Maravilla 2005,NA,California Sea Lion Total Counts Southern SCB
California Sea Lion,1928,2233.0288,Total Counts,Southern SCB,CA,Lowry and Maravilla 2005,NA,California Sea Lion Total Counts Southern SCB
California Sea Lion,1930,2023.7974,Total Counts,Southern SCB,CA,Lowry and Maravilla 2005,NA,California Sea Lion Total Counts Southern SCB
California Sea Lion,1936,3647.5622,Total Counts,Southern SCB,CA,Lowry and Maravilla 2005,NA,California Sea Lion Total Counts Southern SCB
California Sea Lion,1938,4461938,Total Counts,Southern SCB,CA,Lowry and Maravilla 2005,NA,California Sea Lion Total Counts Southern SCB
California Sea Lion,1946,6080.7159,Total Counts,Southern SCB,CA,Lowry and Maravilla 2005,NA,California Sea Lion Total Counts Southern SCB
California Sea Lion,1947,3826.8723,Total Counts,Southern SCB,CA,Lowry and Maravilla 2005,NA,California Sea Lion Total Counts Southern SCB
California Sea Lion,1958,12193.9546,Total Counts,Southern SCB,CA,Lowry and Maravilla 2005,NA,California Sea Lion Total Counts Southern SCB
California Sea Lion,1959,15059.6642,Total Counts,Southern SCB,CA,Lowry and Maravilla 2005,NA,California Sea Lion Total Counts Southern SCB
California Sea Lion,1961,18736.714,Total Counts,Southern SCB,CA,Lowry and Maravilla 2005,NA,California Sea Lion Total Counts Southern SCB
California Sea Lion,1964,34490.2021,Total Counts,Southern SCB,CA,Lowry and Maravilla 2005,NA,California Sea Lion Total Counts Southern SCB
California Sea Lion,1965,16885.5051,Total Counts,Southern SCB,CA,Lowry and Maravilla 2005,NA,California Sea Lion Total Counts Southern SCB
California Sea Lion,1969,17081.2934,Total Counts,Southern SCB,CA,Lowry and Maravilla 2005,NA,California Sea Lion Total Counts Southern SCB
California Sea Lion,1970,18102.5156,Total Counts,Southern SCB,CA,Lowry and Maravilla 2005,NA,California Sea Lion Total Counts Southern SCB
California Sea Lion,1975,35898.0141,Total Counts,Southern SCB,CA,Lowry and Maravilla 2005,NA,California Sea Lion Total Counts Southern SCB
