"stocklong","region","area","location","pred_comm","pred_species","reference","year","n","n_units","notes"
"Atlantic puffin Hernyken Island (number of occupied burrows)","Europe","Norwegian Sea","Hernyken Island","Atlantic puffin","Fratercula arctica","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1993,45760,"number of occupied burrows",NA
"Atlantic puffin Hernyken Island (number of occupied burrows)","Europe","Norwegian Sea","Hernyken Island","Atlantic puffin","Fratercula arctica","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1994,46560,"number of occupied burrows",NA
"Atlantic puffin Hernyken Island (number of occupied burrows)","Europe","Norwegian Sea","Hernyken Island","Atlantic puffin","Fratercula arctica","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1995,46680,"number of occupied burrows",NA
"Atlantic puffin Hernyken Island (number of occupied burrows)","Europe","Norwegian Sea","Hernyken Island","Atlantic puffin","Fratercula arctica","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1996,41840,"number of occupied burrows",NA
"Atlantic puffin Hernyken Island (number of occupied burrows)","Europe","Norwegian Sea","Hernyken Island","Atlantic puffin","Fratercula arctica","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1997,52480,"number of occupied burrows",NA
"Atlantic puffin Hernyken Island (number of occupied burrows)","Europe","Norwegian Sea","Hernyken Island","Atlantic puffin","Fratercula arctica","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1998,43040,"number of occupied burrows",NA
"Atlantic puffin Hernyken Island (number of occupied burrows)","Europe","Norwegian Sea","Hernyken Island","Atlantic puffin","Fratercula arctica","Anker-Nilssen and Aarvak 2006 Tabell 3.1",1999,41880,"number of occupied burrows",NA
"Atlantic puffin Hernyken Island (number of occupied burrows)","Europe","Norwegian Sea","Hernyken Island","Atlantic puffin","Fratercula arctica","Anker-Nilssen and Aarvak 2006 Tabell 3.1",2000,41520,"number of occupied burrows",NA
"Atlantic puffin Hernyken Island (number of occupied burrows)","Europe","Norwegian Sea","Hernyken Island","Atlantic puffin","Fratercula arctica","Anker-Nilssen and Aarvak 2006 Tabell 3.1",2001,37520,"number of occupied burrows",NA
"Atlantic puffin Hernyken Island (number of occupied burrows)","Europe","Norwegian Sea","Hernyken Island","Atlantic puffin","Fratercula arctica","Anker-Nilssen and Aarvak 2006 Tabell 3.1",2002,31880,"number of occupied burrows",NA
"Atlantic puffin Hernyken Island (number of occupied burrows)","Europe","Norwegian Sea","Hernyken Island","Atlantic puffin","Fratercula arctica","Anker-Nilssen and Aarvak 2006 Tabell 3.1",2003,33840,"number of occupied burrows",NA
"Atlantic puffin Hernyken Island (number of occupied burrows)","Europe","Norwegian Sea","Hernyken Island","Atlantic puffin","Fratercula arctica","Anker-Nilssen and Aarvak 2006 Tabell 3.1",2004,35600,"number of occupied burrows",NA
"Atlantic puffin Hernyken Island (number of occupied burrows)","Europe","Norwegian Sea","Hernyken Island","Atlantic puffin","Fratercula arctica","Anker-Nilssen and Aarvak 2006 Tabell 3.1",2005,36080,"number of occupied burrows",NA
"Black-legged kittiwake Foula (nests, occupied)","Europe","Shetland Islands","Foula","Black-legged kittiwake","Rissa tridactyla","JNCC Data",1987,4350,"nests, occupied",NA
"Black-legged kittiwake Foula (nests, occupied)","Europe","Shetland Islands","Foula","Black-legged kittiwake","Rissa tridactyla","JNCC Data",1992,4306,"nests, occupied",NA
"Black-legged kittiwake Foula (nests, occupied)","Europe","Shetland Islands","Foula","Black-legged kittiwake","Rissa tridactyla","JNCC Data",1996,2775,"nests, occupied",NA
"Black-legged kittiwake Foula (nests, occupied)","Europe","Shetland Islands","Foula","Black-legged kittiwake","Rissa tridactyla","JNCC Data",1997,2359,"nests, occupied",NA
"Black-legged kittiwake Foula (nests, occupied)","Europe","Shetland Islands","Foula","Black-legged kittiwake","Rissa tridactyla","JNCC Data",1998,2091,"nests, occupied",NA
"Black-legged kittiwake Foula (nests, occupied)","Europe","Shetland Islands","Foula","Black-legged kittiwake","Rissa tridactyla","JNCC Data",1999,2218,"nests, occupied",NA
"Black-legged kittiwake Foula (nests, occupied)","Europe","Shetland Islands","Foula","Black-legged kittiwake","Rissa tridactyla","JNCC Data",2000,1934,"nests, occupied",NA
"Black-legged kittiwake Foula (nests, occupied)","Europe","Shetland Islands","Foula","Black-legged kittiwake","Rissa tridactyla","JNCC Data",2002,1298,"nests, occupied",NA
"Black-legged kittiwake Foula (nests, occupied)","Europe","Shetland Islands","Foula","Black-legged kittiwake","Rissa tridactyla","JNCC Data",2003,1081,"nests, occupied",NA
"Black-legged kittiwake Foula (nests, occupied)","Europe","Shetland Islands","Foula","Black-legged kittiwake","Rissa tridactyla","JNCC Data",2004,942,"nests, occupied",NA
"Black-legged kittiwake Foula (nests, occupied)","Europe","Shetland Islands","Foula","Black-legged kittiwake","Rissa tridactyla","JNCC Data",2005,898,"nests, occupied",NA
"Black-legged kittiwake Foula (nests, occupied)","Europe","Shetland Islands","Foula","Black-legged kittiwake","Rissa tridactyla","JNCC Data",2006,1035,"nests, occupied",NA
"Black-legged kittiwake Foula (nests, occupied)","Europe","Shetland Islands","Foula","Black-legged kittiwake","Rissa tridactyla","JNCC Data",2007,997,"nests, occupied",NA
"Black-legged kittiwake Foula (nests, occupied)","Europe","Shetland Islands","Foula","Black-legged kittiwake","Rissa tridactyla","JNCC Data",2009,509,"nests, occupied",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",1969,3100.076,"nests, completed",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 3",1971,3471.3542,"nests, completed",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 5",1973,3473.625,"nests, completed",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",1974,3068.852,"nests, completed",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",1975,3900.3062,"nests, completed",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",1976,3403.1782,"nests, completed",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",1979,4974.866,"nests, completed",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",1981,6139.407,"nests, completed",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",1983,4720.9995,"nests, completed",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",1984,6032.0596,"nests, completed",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",1985,5516.5845,"nests, completed",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",1986,4816.657,"nests, completed",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",1987,6791.88,"nests, completed",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",1988,7660.1826,"nests, completed",NA
