sort_cmf,sort_orig,ecoregion,country,island group,location,pred_common,pred_scientific,predator stage,stage units,stocklong,season,source,year_orig,year,n,n_units,ff_common,ff_scientific,ff_eaten_mm,ff_eaten_yr,ff_diet_perc,ff_diet_perc_units,notes
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1988,,3544,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1989,,5939,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1990,,2481,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1991,,6454,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1992,,1936,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1993,,4440,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1994,,6145,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1995,,6251,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1996,,6616,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1997,,6614,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1998,,3414,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,1999,,6005,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,2004,,7500,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,2005,,5948,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,2006,,9000,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,2007,,5944,Total Nests,,,,,,,
,,CA Current,CA,South California Bight (Pt. Conception to San Diego),,CA Brown Pelican,Pelecanus occidentalis californicus,,,,,http://www.esasuccess.org/birds.shtml,2009,,11695,Total Nests,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,1987,,840.6205,Total Counts,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,1988,,2883.3822,Total Counts,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,1989,,3281.9396,Total Counts,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,1990,,4933.431,Total Counts,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,1991,,7613,Total Counts,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,1992,,3714.5805,Total Counts,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,1993,,4485.2825,Total Counts,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,1994,,3533.4878,Total Counts,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,1996,,5759.7584,Total Counts,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,1997,,1186.6207,Total Counts,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,1998,,2114.0354,Total Counts,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,1999,,2003.8199,Total Counts,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2000,,5025.1727,Total Counts,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2001,,2644.6696,Total Counts,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2002,,3239.2776,Total Counts,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2003,,4224.9641,Total Counts,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2004,,2607.7479,Total Counts,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2005,,11501.2861,Total Counts,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2007,,7581.4757,Total Counts,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2008,,5553.0327,Total Counts,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2009,,6343.2439,Total Counts,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2010,,3884.1927,Total Counts,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2011,,3538.9083,Total Counts,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2012,,3742.1183,Total Counts,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2013,,3632.0308,Total Counts,,,,,,,
,,CA Current,WA,Washington Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2014,,1523,Total Counts,,,,,,,
,,CA Current,OR,Oregon Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,1987,,3151.2051,Total Counts,,,,,,,
,,CA Current,OR,Oregon Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,1988,,1455.6965,Total Counts,,,,,,,
,,CA Current,OR,Oregon Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,1989,,1619.5046,Total Counts,,,,,,,
,,CA Current,OR,Oregon Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,1990,,1900.7511,Total Counts,,,,,,,
,,CA Current,OR,Oregon Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,1991,,2455.9573,Total Counts,,,,,,,
,,CA Current,OR,Oregon Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,1992,,1602.0281,Total Counts,,,,,,,
,,CA Current,OR,Oregon Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,1993,,1961.6311,Total Counts,,,,,,,
,,CA Current,OR,Oregon Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,1996,,3314.4634,Total Counts,,,,,,,
,,CA Current,OR,Oregon Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,1997,,4691.484,Total Counts,,,,,,,
,,CA Current,OR,Oregon Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2001,,4016.0011,Total Counts,,,,,,,
,,CA Current,OR,Oregon Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2002,,8838.1429,Total Counts,,,,,,,
,,CA Current,OR,Oregon Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2003,,4852.7734,Total Counts,,,,,,,
,,CA Current,OR,Oregon Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2004,,12454.2953,Total Counts,,,,,,,
,,CA Current,OR,Oregon Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2005,,5023.8048,Total Counts,,,,,,,
,,CA Current,OR,Oregon Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2007,,11223.3507,Total Counts,,,,,,,
,,CA Current,OR,Oregon Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2008,,7002.7205,Total Counts,,,,,,,
,,CA Current,OR,Oregon Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2009,,11824.9902,Total Counts,,,,,,,
,,CA Current,OR,Oregon Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2010,,8700.5814,Total Counts,,,,,,,
,,CA Current,OR,Oregon Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2011,,14305.6472,Total Counts,,,,,,,
,,CA Current,OR,Oregon Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2012,,8636.6077,Total Counts,,,,,,,
,,CA Current,OR,Oregon Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2013,,3594.2909,Total Counts,,,,,,,
,,CA Current,OR,Oregon Coast,,CA Brown Pelican,Pelecanus occidentalis californicus,,,,Sep,Stinson 2014 Figure 8,2014,,1996.4561,Total Counts,,,,,,,
,,,CA,Mono Lake,,California Gull,Larus californicus,,,,,Wrege et al 2006,1983,,45095,Breeding Adults,,,,,,,freshwater
,,,CA,Mono Lake,,California Gull,Larus californicus,,,,,Wrege et al 2006,1984,,44914,Breeding Adults,,,,,,,freshwater
,,,CA,Mono Lake,,California Gull,Larus californicus,,,,,Wrege et al 2006,1985,,44649,Breeding Adults,,,,,,,freshwater
,,,CA,Mono Lake,,California Gull,Larus californicus,,,,,Wrege et al 2006,1986,,49612,Breeding Adults,,,,,,,freshwater
,,,CA,Mono Lake,,California Gull,Larus californicus,,,,,Wrege et al 2006,1987,,47744,Breeding Adults,,,,,,,freshwater
,,,CA,Mono Lake,,California Gull,Larus californicus,,,,,Wrege et al 2006,1988,,45117,Breeding Adults,,,,,,,freshwater
,,,CA,Mono Lake,,California Gull,Larus californicus,,,,,Wrege et al 2006,1989,,44260,Breeding Adults,,,,,,,freshwater
,,,CA,Mono Lake,,California Gull,Larus californicus,,,,,Wrege et al 2006,1990,,61368,Breeding Adults,,,,,,,freshwater
,,,CA,Mono Lake,,California Gull,Larus californicus,,,,,Wrege et al 2006,1991,,37488,Breeding Adults,,,,,,,freshwater
,,,CA,Mono Lake,,California Gull,Larus californicus,,,,,Wrege et al 2006,1992,,64716,Breeding Adults,,,,,,,freshwater
,,,CA,Mono Lake,,California Gull,Larus californicus,,,,,Wrege et al 2006,1993,,60992,Breeding Adults,,,,,,,freshwater
,,,CA,Mono Lake,,California Gull,Larus californicus,,,,,Wrege et al 2006,1994,,63173,Breeding Adults,,,,,,,freshwater
,,,CA,Mono Lake,,California Gull,Larus californicus,,,,,Wrege et al 2006,1995,,50003,Breeding Adults,,,,,,,freshwater
,,,CA,Mono Lake,,California Gull,Larus californicus,,,,,Wrege et al 2006,1996,,47629,Breeding Adults,,,,,,,freshwater
,,,CA,Mono Lake,,California Gull,Larus californicus,,,,,Wrege et al 2006,1997,,49726,Breeding Adults,,,,,,,freshwater
,,,CA,Mono Lake,,California Gull,Larus californicus,,,,,Wrege et al 2006,1998,,35291,Breeding Adults,,,,,,,freshwater
,,,CA,Mono Lake,,California Gull,Larus californicus,,,,,Wrege et al 2006,1999,,40508,Breeding Adults,,,,,,,freshwater
,,,CA,Mono Lake,,California Gull,Larus californicus,,,,,Wrege et al 2006,2000,,49266,Breeding Adults,,,,,,,freshwater
,,,CA,Mono Lake,,California Gull,Larus californicus,,,,,Wrege et al 2006,2001,,47735,Breeding Adults,,,,,,,freshwater
,,,CA,Mono Lake,,California Gull,Larus californicus,,,,,Wrege et al 2006,2002,,45783,Breeding Adults,,,,,,,freshwater
,,,CA,Mono Lake,,California Gull,Larus californicus,,,,,Wrege et al 2006,2003,,40035,Breeding Adults,,,,,,,freshwater
,,CA Current,CA,Southern California,,California Sea Lion,Zalophus californianus californianus,,,,Jul,Carretta et al 2011 Figure 2,1975,,12200,Pups,,,,,,,
,,CA Current,CA,Southern California,,California Sea Lion,Zalophus californianus californianus,,,,Jul,Carretta et al 2011 Figure 2,1976,,11602,Pups,,,,,,,
,,CA Current,CA,Southern California,,California Sea Lion,Zalophus californianus californianus,,,,Jul,Carretta et al 2011 Figure 2,1977,,11401,Pups,,,,,,,
,,CA Current,CA,Southern California,,California Sea Lion,Zalophus californianus californianus,,,,Jul,Carretta et al 2011 Figure 2,1978,,11299,Pups,,,,,,,
,,CA Current,CA,Southern California,,California Sea Lion,Zalophus californianus californianus,,,,Jul,Carretta et al 2011 Figure 2,1979,,14573,Pups,,,,,,,
,,CA Current,CA,Southern California,,California Sea Lion,Zalophus californianus californianus,,,,Jul,Carretta et al 2011 Figure 2,1980,,16755,Pups,,,,,,,
,,CA Current,CA,Southern California,,California Sea Lion,Zalophus californianus californianus,,,,Jul,Carretta et al 2011 Figure 2,1981,,15958,Pups,,,,,,,
,,CA Current,CA,Southern California,,California Sea Lion,Zalophus californianus californianus,,,,Jul,Carretta et al 2011 Figure 2,1982,,19232,Pups,,,,,,,
,,CA Current,CA,Southern California,,California Sea Lion,Zalophus californianus californianus,,,,Jul,Carretta et al 2011 Figure 2,1983,,12379,Pups,,,,,,,
